ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
86.96.192.46,mail.unec.ae.,AE,"",9.3.4-P1,,false,1.0,2015-10-22 23:50:46 +0200,2014-12-27 15:21:04 +0100
213.42.26.10,"",AE,"","",,false,1.0,2015-10-23 00:00:17 +0200,2014-12-29 13:32:55 +0100
94.201.109.82,"",AE,"",dnsmasq-2.40,,false,1.0,2015-10-23 00:06:10 +0200,2014-12-29 14:22:53 +0100
213.42.52.79,"",AE,Dubai,"",,false,1.0,2015-10-23 00:07:28 +0200,2014-12-29 14:30:25 +0100
94.201.109.70,"",AE,"","",,false,1.0,2015-10-23 00:14:22 +0200,2014-12-29 15:10:16 +0100
195.229.95.202,"",AE,"","",,false,1.0,2015-10-23 00:18:23 +0200,2014-12-29 15:32:26 +0100
94.201.219.143,"",AE,"",dnsmasq-2.40,,false,1.0,2015-10-23 00:22:14 +0200,2014-12-29 15:53:44 +0100
86.96.249.58,mail.aoryx.ae.,AE,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 00:27:01 +0200,2014-12-29 16:17:44 +0100
83.110.81.71,bba449397.alshamil.net.ae.,AE,Abu Dhabi,dnsmasq-2.40,,false,0.01,2015-10-23 00:34:12 +0200,2014-12-29 16:58:49 +0100
194.170.30.254,"",AE,"","",,false,1.0,2015-10-23 00:35:10 +0200,2014-12-29 17:05:18 +0100
213.42.43.226,"",AE,"","",,false,1.0,2015-10-23 00:36:33 +0200,2014-12-29 17:18:01 +0100
94.56.143.34,"",AE,"",9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.6,,false,0.99,2015-10-23 00:44:28 +0200,2014-12-29 18:35:31 +0100
94.200.59.205,"",AE,"",dnsmasq-2.66,,false,0.61,2015-10-23 00:59:28 +0200,2014-12-29 21:04:55 +0100
213.42.52.22,"",AE,Dubai,Microsoft DNS 6.1.7600 (1DB04001),,false,0.99,2015-10-23 01:00:58 +0200,2014-12-29 21:16:26 +0100
94.205.155.246,"",AE,"","",,false,1.0,2015-10-23 01:01:51 +0200,2014-12-29 21:23:30 +0100
94.200.137.226,"",AE,Dubai,"",,false,1.0,2015-10-23 01:10:55 +0200,2014-12-29 22:30:07 +0100
94.56.71.94,"",AE,"","",,false,0.39,2015-10-23 01:20:15 +0200,2014-12-30 01:12:22 +0100
94.56.105.169,"",AE,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-23 01:21:51 +0200,2014-12-30 01:42:40 +0100
94.56.205.211,"",AE,"",Microsoft DNS 6.1.7600 (1DB04001),,false,1.0,2015-10-23 01:29:22 +0200,2014-12-30 10:40:34 +0100
94.204.111.48,"",AE,"","",,false,1.0,2015-10-23 01:29:36 +0200,2014-12-30 10:43:52 +0100
94.56.214.92,"",AE,"","",,false,0.99,2015-10-23 01:41:16 +0200,2014-12-30 12:39:19 +0100
94.205.252.246,"",AE,"","",,false,0.95,2015-10-23 01:52:04 +0200,2014-12-30 14:09:12 +0100
213.132.38.68,"",AE,"","",,false,0.99,2015-10-23 01:54:00 +0200,2014-12-30 14:22:14 +0100
94.56.96.13,"",AE,"","",,false,1.0,2015-10-23 02:01:22 +0200,2014-12-30 15:36:02 +0100
91.74.168.42,"",AE,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.97,2015-10-23 02:04:45 +0200,2014-12-30 16:10:01 +0100
94.56.103.17,"",AE,"","",,false,1.0,2015-10-23 02:07:03 +0200,2014-12-30 16:27:46 +0100
217.165.22.37,bba163613.alshamil.net.ae.,AE,Dubai,"",,false,1.0,2015-10-23 02:15:47 +0200,2014-12-30 18:01:53 +0100
91.74.132.6,"",AE,"",dnsmasq-2.62,,false,1.0,2015-10-22 17:46:45 +0200,2014-12-31 22:05:44 +0100
213.42.51.144,ns1.iacad.gov.ae.,AE,Dubai,"",,false,0.99,2015-10-22 17:47:51 +0200,2014-12-31 22:36:34 +0100
