ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
202.86.16.86,ns.multinet.af.,AF,"",9.10.2-P3,,true,0.99,2015-10-29 11:26:40 +0100,2013-01-30 19:07:34 +0100
121.127.32.1,"",AF,Rana,"",,false,1.0,2015-10-29 12:45:01 +0100,2014-12-29 21:56:17 +0100
103.233.183.2,"",AF,"","",,false,0.83,2015-10-29 13:04:30 +0100,2014-12-30 09:57:30 +0100
180.94.94.194,ns1.afghantelecom.af.,AF,Kabul,Microsoft DNS 6.1.7601 (1DB1446A),,false,0.97,2015-10-29 13:05:56 +0100,2014-12-30 10:19:05 +0100
180.222.139.57,"",AF,"","",,false,1.0,2015-10-29 13:23:06 +0100,2014-12-30 13:13:18 +0100
103.7.105.71,"",AF,Kandahar,dnsmasq-2.47,,false,0.95,2015-10-29 13:54:13 +0100,2014-12-30 18:13:28 +0100
103.7.105.130,"",AF,Kandahar,dnsmasq-2.47,,true,0.53,2015-10-29 14:07:29 +0100,2014-12-31 19:31:06 +0100
175.106.39.241,"",AF,Herat,"",,false,0.24,2015-10-29 14:14:13 +0100,2014-12-31 22:54:51 +0100
180.94.91.122,"",AF,Kabul,"",,false,0.98,2015-10-29 14:37:40 +0100,2015-01-06 05:07:26 +0100
103.243.179.2,"",AF,"","",,false,0.99,2015-10-29 14:53:02 +0100,2015-01-06 12:36:38 +0100
121.127.35.1,"",AF,Rana,"",,false,0.99,2015-10-29 14:59:46 +0100,2015-01-06 15:33:15 +0100
103.235.176.61,"",AF,"","",,false,0.57,2015-10-29 15:11:03 +0100,2015-01-06 20:17:29 +0100
103.235.176.169,"",AF,"","",,false,0.63,2015-10-29 15:12:22 +0100,2015-01-06 20:53:55 +0100
103.235.176.81,"",AF,"","",,false,0.67,2015-10-29 15:12:42 +0100,2015-01-06 21:00:42 +0100
103.235.176.97,"",AF,"","",,false,0.68,2015-10-29 15:12:43 +0100,2015-01-06 21:02:09 +0100
103.235.176.109,"",AF,"","",,false,0.72,2015-10-29 15:12:43 +0100,2015-01-06 21:03:12 +0100
103.243.179.237,"",AF,"","",,false,0.99,2015-10-29 15:43:32 +0100,2015-01-07 13:11:11 +0100
103.243.179.105,"",AF,"","",,false,0.95,2015-10-29 15:44:50 +0100,2015-01-07 13:53:17 +0100
103.243.179.181,"",AF,"","",,false,0.99,2015-10-29 15:45:02 +0100,2015-01-07 14:00:31 +0100
103.243.179.189,"",AF,"","",,false,0.98,2015-10-29 15:45:16 +0100,2015-01-07 14:07:20 +0100
103.243.179.89,"",AF,"","",,false,0.98,2015-10-29 15:45:17 +0100,2015-01-07 14:07:43 +0100
103.243.179.193,"",AF,"","",,false,0.98,2015-10-29 15:47:08 +0100,2015-01-07 14:58:14 +0100
103.243.179.97,"",AF,"","",,false,0.99,2015-10-29 15:48:42 +0100,2015-01-07 15:49:12 +0100
180.222.142.26,"",AF,"","",,false,1.0,2015-10-29 15:53:54 +0100,2015-01-07 18:25:42 +0100
103.243.179.145,"",AF,"","",,false,0.98,2015-10-29 15:55:24 +0100,2015-01-07 19:10:44 +0100
103.243.179.165,"",AF,"","",,false,0.98,2015-10-29 15:55:37 +0100,2015-01-07 19:17:17 +0100
103.243.179.177,"",AF,"","",,false,0.98,2015-10-29 15:56:37 +0100,2015-01-07 19:52:23 +0100
180.94.87.90,"",AF,Kabul,Microsoft DNS 6.1.7601 (1DB1446A),,false,0.95,2015-10-29 07:28:35 +0100,2015-01-08 01:39:40 +0100
203.174.27.19,"",AF,Kabul,"",,false,0.98,2015-10-29 07:34:23 +0100,2015-01-08 04:10:14 +0100
128.41.128.50,"",AF,"","",,false,0.73,2015-10-29 08:05:47 +0100,2015-01-08 22:13:06 +0100
103.235.177.181,"",AF,"","",,false,0.64,2015-10-29 08:46:47 +0100,2015-01-09 19:43:38 +0100
103.235.177.77,"",AF,"","",,false,0.64,2015-10-29 08:46:49 +0100,2015-01-09 19:47:05 +0100
103.235.177.185,"",AF,"","",,false,0.67,2015-10-29 08:47:37 +0100,2015-01-09 20:11:19 +0100
103.235.177.153,"",AF,"","",,false,0.71,2015-10-29 08:48:27 +0100,2015-01-09 20:37:50 +0100
103.235.177.233,"",AF,"","",,false,0.69,2015-10-29 08:48:24 +0100,2015-01-09 20:37:50 +0100
103.235.177.217,"",AF,"","",,false,0.7,2015-10-29 08:48:24 +0100,2015-01-09 20:38:01 +0100
103.235.177.201,"",AF,"","",,false,0.69,2015-10-29 08:51:14 +0100,2015-01-09 22:29:24 +0100
103.235.177.169,"",AF,"","",,false,0.72,2015-10-29 08:52:08 +0100,2015-01-09 22:59:19 +0100
103.235.177.225,"",AF,"","",,false,0.71,2015-10-29 08:53:30 +0100,2015-01-09 23:54:55 +0100
103.235.177.69,"",AF,"","",,false,0.72,2015-10-29 08:53:47 +0100,2015-01-10 00:02:03 +0100
175.106.46.51,"",AF,"","",,false,1.0,2015-10-29 08:54:39 +0100,2015-01-10 00:32:28 +0100
103.235.177.157,"",AF,"","",,false,0.75,2015-10-29 08:55:24 +0100,2015-01-10 00:58:53 +0100
103.235.177.81,"",AF,"","",,false,0.8,2015-10-29 08:56:08 +0100,2015-01-10 01:24:12 +0100
