ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
209.59.96.12,nsinet.apuainet.ag.,AG,St. John's,9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.4,,false,0.83,2015-10-22 23:46:30 +0200,2013-01-30 19:24:39 +0100
209.59.96.13,nsinetbck.apuainet.ag.,AG,St. John's,9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.4,,false,0.86,2015-10-22 23:46:30 +0200,2013-01-30 19:24:39 +0100
209.59.102.140,ns2.cwantigua.com.,AG,"","",,false,1.0,2015-10-23 00:29:36 +0200,2014-12-29 16:30:30 +0100
209.59.102.132,tollfree.cwantigua.com.,AG,"","",,false,0.99,2015-10-23 00:30:05 +0200,2014-12-29 16:32:49 +0100
76.76.160.108,"",AG,"",dnsmasq-2.40,,false,0.99,2015-10-23 00:40:11 +0200,2014-12-29 17:55:03 +0100
209.59.102.130,ns1.cwantigua.com.,AG,"","",,false,0.98,2015-10-23 01:44:47 +0200,2014-12-30 13:10:04 +0100
209.59.102.138,intranetreports.cwantigua.com.,AG,"","",,false,0.99,2015-10-22 17:55:25 +0200,2015-01-05 20:13:33 +0100
209.59.102.142,marketing.cwantigua.com.,AG,"","",,false,1.0,2015-10-22 17:56:07 +0200,2015-01-05 20:33:55 +0100
209.59.102.134,stats.cwantigua.com.,AG,"","",,false,0.97,2015-10-22 17:57:58 +0200,2015-01-05 21:40:27 +0100
207.42.135.145,"",AG,"","",,false,0.99,2015-10-22 19:14:49 +0200,2015-01-07 10:59:12 +0100
207.42.135.126,"",AG,"",dnsmasq-2.45,,false,1.0,2015-10-22 19:18:38 +0200,2015-01-07 12:49:51 +0100
