ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
80.91.116.170,"",AL,"","",,false,0.95,2015-10-29 11:34:46 +0100,2014-12-29 12:44:26 +0100
80.91.116.145,"",AL,"","",,false,1.0,2015-10-29 11:37:29 +0100,2014-12-29 13:10:17 +0100
80.91.116.206,"",AL,"","",,false,0.99,2015-10-29 11:40:14 +0100,2014-12-29 13:34:01 +0100
79.106.16.5,"",AL,"","",,false,0.73,2015-10-29 11:42:11 +0100,2014-12-29 13:52:00 +0100
185.33.34.48,"",AL,"","",,false,0.99,2015-10-29 11:44:28 +0100,2014-12-29 14:11:44 +0100
213.207.45.242,"",AL,Tirana,"",,false,0.99,2015-10-29 11:45:17 +0100,2014-12-29 14:18:26 +0100
46.19.226.81,"",AL,"","",,false,0.99,2015-10-29 11:45:33 +0100,2014-12-29 14:20:46 +0100
80.78.67.113,ppp-dun23.icc-al.org.,AL,"","",,false,1.0,2015-10-29 11:48:14 +0100,2014-12-29 14:37:25 +0100
80.78.67.62,"",AL,"","",,false,1.0,2015-10-29 11:53:48 +0100,2014-12-29 15:09:57 +0100
46.19.226.66,"",AL,"","",,false,0.99,2015-10-29 11:55:09 +0100,2014-12-29 15:18:20 +0100
80.78.78.193,"",AL,"","",,false,0.99,2015-10-29 11:59:04 +0100,2014-12-29 15:39:55 +0100
46.183.121.82,"",AL,"","",,false,1.0,2015-10-29 11:59:07 +0100,2014-12-29 15:40:40 +0100
80.90.90.254,"",AL,"",dnsmasq-2.48,,true,1.0,2015-10-29 11:59:18 +0100,2014-12-29 15:41:11 +0100
79.106.8.50,"",AL,"","",,false,0.85,2015-10-29 12:01:53 +0100,2014-12-29 15:55:45 +0100
130.0.25.115,"",AL,"","",,false,0.97,2015-10-29 12:07:36 +0100,2014-12-29 16:25:13 +0100
79.106.8.49,"",AL,"","",,false,1.0,2015-10-29 12:07:45 +0100,2014-12-29 16:26:00 +0100
80.78.78.243,"",AL,"","",,false,1.0,2015-10-29 12:08:14 +0100,2014-12-29 16:28:01 +0100
91.226.220.254,mail.hi-tech-al.com.,AL,"","",,false,1.0,2015-10-29 12:16:40 +0100,2014-12-29 17:29:34 +0100
46.252.40.2,"",AL,"","",,false,0.98,2015-10-29 12:17:39 +0100,2014-12-29 17:39:52 +0100
37.26.81.102,"",AL,"","",,false,0.99,2015-10-29 12:21:18 +0100,2014-12-29 18:19:06 +0100
80.90.87.22,"",AL,"","",,false,1.0,2015-10-29 12:24:52 +0100,2014-12-29 18:49:25 +0100
37.26.81.50,"",AL,"","",,false,1.0,2015-10-29 12:25:42 +0100,2014-12-29 18:57:03 +0100
134.0.34.18,"",AL,"","",,false,0.98,2015-10-29 12:26:09 +0100,2014-12-29 19:00:12 +0100
46.252.40.5,"",AL,"","",,false,0.95,2015-10-29 12:27:53 +0100,2014-12-29 19:15:23 +0100
46.19.228.97,"",AL,"","",,false,0.99,2015-10-29 12:35:47 +0100,2014-12-29 20:41:39 +0100
82.114.86.193,"",AL,"","",,false,1.0,2015-10-29 12:39:12 +0100,2014-12-29 21:11:39 +0100
82.114.87.99,"",AL,"","",,false,1.0,2015-10-29 12:40:45 +0100,2014-12-29 21:23:49 +0100
82.114.87.78,"",AL,"","",,false,1.0,2015-10-29 12:42:03 +0100,2014-12-29 21:32:58 +0100
82.114.87.26,"",AL,"","",,false,0.99,2015-10-29 12:43:05 +0100,2014-12-29 21:41:15 +0100
82.114.87.76,"",AL,"","",,false,1.0,2015-10-29 12:45:18 +0100,2014-12-29 21:58:50 +0100
