ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
212.73.65.40,ns1.beeline.am.,AM,"","",,false,1.0,2015-10-22 23:49:11 +0200,2014-05-19 07:38:34 +0200
212.73.74.86,"",AM,"","",,false,0.97,2015-10-22 23:53:38 +0200,2014-12-29 12:29:34 +0100
212.73.74.85,"",AM,"","",,false,0.97,2015-10-22 23:55:14 +0200,2014-12-29 12:47:37 +0100
212.73.74.82,"",AM,"","",,false,0.96,2015-10-23 00:01:19 +0200,2014-12-29 13:41:51 +0100
109.68.125.184,host-109-68-125-184.customer.arminco.com.,AM,"","",,false,1.0,2015-10-23 00:03:04 +0200,2014-12-29 13:58:38 +0100
109.68.125.162,host-109-68-125-162.customer.arminco.com.,AM,"","",,false,0.53,2015-10-23 00:04:18 +0200,2014-12-29 14:08:55 +0100
109.68.125.66,host-109-68-125-66.customer.arminco.com.,AM,"",9.4.2-P2,,false,0.72,2015-10-23 00:06:25 +0200,2014-12-29 14:24:59 +0100
109.68.126.5,host-109-68-126-5.customer.arminco.com.,AM,"","",,false,0.61,2015-10-23 00:06:33 +0200,2014-12-29 14:25:52 +0100
5.63.162.66,"",AM,"",Version: main/17936,,false,0.99,2015-10-23 00:23:15 +0200,2014-12-29 15:58:25 +0100
91.196.37.83,host-83-37-196-91.hnet.am.,AM,"","",,false,1.0,2015-10-23 00:24:16 +0200,2014-12-29 16:03:52 +0100
195.88.66.49,host-195-88-66-49.rev.ozone.am.,AM,Yerevan,"",,false,0.31,2015-10-23 00:31:16 +0200,2014-12-29 16:39:57 +0100
212.34.232.8,host-8.232.34.212.ucom.am.,AM,"",Microsoft DNS 6.1.7600 (1DB04001),,false,1.0,2015-10-23 00:46:04 +0200,2014-12-29 18:49:29 +0100
212.34.239.248,host-248.239.34.212.ucom.am.,AM,"","",,false,0.97,2015-10-23 00:58:17 +0200,2014-12-29 20:53:52 +0100
178.219.48.48,"",AM,"",DNS Server,,false,0.77,2015-10-23 01:12:58 +0200,2014-12-29 22:53:08 +0100
178.219.48.5,"",AM,"","",,false,0.95,2015-10-23 01:16:20 +0200,2014-12-29 23:42:12 +0100
31.7.160.130,host-31-7-160-130.customers.adc.am.,AM,"",dnsmasq-2.48,,true,1.0,2015-10-23 01:38:10 +0200,2014-12-30 12:10:12 +0100
31.7.160.34,host-31-7-160-34.customers.adc.am.,AM,"","",,false,1.0,2015-10-23 01:39:42 +0200,2014-12-30 12:25:55 +0100
31.7.160.58,host-31-7-160-58.customers.adc.am.,AM,"","",,false,0.99,2015-10-23 01:44:47 +0200,2014-12-30 13:10:10 +0100
195.128.166.241,host-195-128-166.241.customer.hachn.am.,AM,"","",,false,0.97,2015-10-23 02:04:19 +0200,2014-12-30 16:05:40 +0100
195.128.167.50,host-195-128-167.50.customer.hachn.am.,AM,"","",,false,0.97,2015-10-23 02:08:46 +0200,2014-12-30 16:41:39 +0100
195.128.167.26,host-195-128-167.26.customer.hachn.am.,AM,"","",,false,0.94,2015-10-23 02:18:03 +0200,2014-12-30 18:31:01 +0100
195.88.66.132,host-195-88-66-132.rev.ozone.am.,AM,Yerevan,"",,false,1.0,2015-10-23 02:26:25 +0200,2014-12-30 20:07:57 +0100
217.113.0.245,plesk.web.am.,AM,"",9.3.5-P2,,false,0.99,2015-10-22 17:47:51 +0200,2014-12-31 22:39:05 +0100
91.196.37.58,host-58-37-196-91.hnet.am.,AM,"","",,false,0.97,2015-10-22 17:55:45 +0200,2015-01-05 20:24:16 +0100
212.73.69.6,"",AM,"","",,false,1.0,2015-10-22 18:06:01 +0200,2015-01-06 02:11:31 +0100
212.34.231.10,serv01.ludnix.info.,AM,"","",,false,0.98,2015-10-22 18:18:12 +0200,2015-01-06 08:01:20 +0100
130.193.125.2,"",AM,"",9.6-ESV-R3,,false,1.0,2015-10-22 18:23:15 +0200,2015-01-06 10:37:42 +0100
46.19.96.36,inter-as.net.,AM,Vagharshapat,"",,false,0.97,2015-10-22 18:27:08 +0200,2015-01-06 12:14:33 +0100
81.89.213.169,customer213-169.crossnet.am.,AM,"","",,false,0.98,2015-10-22 18:37:18 +0200,2015-01-06 16:35:51 +0100
46.19.103.248,ip-46-19-103-248.gnc.net.,AM,"","",,false,0.94,2015-10-22 18:42:51 +0200,2015-01-06 18:59:00 +0100
178.219.50.27,"",AM,"","",,false,0.97,2015-10-22 18:43:52 +0200,2015-01-06 19:23:42 +0100
217.113.21.97,gw.quantum.am.,AM,"","",,false,0.88,2015-10-22 18:44:00 +0200,2015-01-06 19:27:47 +0100
93.94.222.226,"",AM,"","",,false,1.0,2015-10-22 18:50:02 +0200,2015-01-06 21:50:20 +0100
80.86.226.234,court.am.,AM,"","",,false,0.99,2015-10-22 19:01:27 +0200,2015-01-07 03:55:34 +0100
46.19.97.10,ip-46-19-97-10.gnc.net.,AM,"","",,false,0.75,2015-10-22 19:08:29 +0200,2015-01-07 07:46:19 +0100
212.34.244.68,ns2.yafa.am.,AM,"","",,false,0.59,2015-10-22 19:29:22 +0200,2015-01-07 18:15:12 +0100
87.241.172.40,"",AM,"","",,false,0.97,2015-10-22 19:31:35 +0200,2015-01-07 19:20:28 +0100
91.218.181.58,"",AM,Ashtarak,dnsmasq-2.55,,false,1.0,2015-10-22 19:52:52 +0200,2015-01-08 04:38:38 +0100
195.250.84.12,host-195-250-84-12.customer.arminco.com.,AM,"","",,false,0.97,2015-10-22 19:53:18 +0200,2015-01-08 04:50:44 +0100
91.218.181.101,"",AM,Ashtarak,dnsmasq-2.55,,false,0.91,2015-10-22 19:53:52 +0200,2015-01-08 05:07:08 +0100
91.218.181.67,"",AM,Ashtarak,dnsmasq-2.55,,false,0.88,2015-10-22 19:54:27 +0200,2015-01-08 05:23:13 +0100
91.103.61.190,"",AM,"","",,false,0.73,2015-10-22 19:57:51 +0200,2015-01-08 07:33:16 +0100
46.182.169.39,host-46-182-169-39.rev.ozone.am.,AM,Apaga,"",,false,1.0,2015-10-22 20:03:26 +0200,2015-01-08 11:39:18 +0100
46.182.169.34,host-46-182-169-34.rev.ozone.am.,AM,Apaga,"",,false,0.1,2015-10-22 20:06:29 +0200,2015-01-08 13:20:20 +0100
212.34.229.130,host-130.229.34.212.ucom.am.,AM,"","",,false,1.0,2015-10-22 20:20:56 +0200,2015-01-08 20:51:17 +0100
109.75.34.40,"",AM,"","",,false,0.51,2015-10-22 20:41:27 +0200,2015-01-09 06:57:32 +0100
217.113.22.18,gw.quanum.am.,AM,"","",,false,0.96,2015-10-22 20:58:08 +0200,2015-01-09 15:30:18 +0100
195.250.73.204,host-195-250-73-204.customer.arminco.com.,AM,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.99,2015-10-22 21:01:07 +0200,2015-01-09 17:32:22 +0100
93.94.219.69,"",AM,Yerevan,"",,false,1.0,2015-10-22 21:13:53 +0200,2015-01-10 01:22:27 +0100
93.94.219.146,host-93-94-219-146.customers.adc.am.,AM,Yerevan,"",,false,0.97,2015-10-22 21:14:31 +0200,2015-01-10 01:39:56 +0100
93.94.219.67,"",AM,Yerevan,"",,false,0.99,2015-10-22 21:15:10 +0200,2015-01-10 02:04:09 +0100
93.94.219.202,host-93-94-219-202.customers.adc.am.,AM,Yerevan,"",,false,1.0,2015-10-22 21:17:49 +0200,2015-01-10 03:28:27 +0100
92.43.143.138,host-138.143.43.92.ucom.am.,AM,"","",,false,0.57,2015-10-22 21:19:44 +0200,2015-01-10 04:27:28 +0100
195.250.84.10,host-195-250-84-10.customer.arminco.com.,AM,"","",,false,0.96,2015-10-22 21:20:01 +0200,2015-01-10 04:42:54 +0100
95.140.203.26,host-95-140-203-26.customers.adc.am.,AM,"","",,false,1.0,2015-10-22 21:20:19 +0200,2015-01-10 04:55:43 +0100
195.250.84.11,host-195-250-84-11.customer.arminco.com.,AM,"","",,false,0.96,2015-10-22 21:21:33 +0200,2015-01-10 05:42:29 +0100
91.205.135.227,mail.ktak.am.,AM,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-22 21:27:36 +0200,2015-01-10 09:08:16 +0100
81.89.215.193,customer215-193.crossnet.am.,AM,"","",,false,0.94,2015-10-22 21:50:58 +0200,2015-01-10 20:01:21 +0100
81.89.215.199,customer215-199.crossnet.am.,AM,"","",,false,0.95,2015-10-22 21:51:50 +0200,2015-01-10 20:28:48 +0100
212.34.230.42,host-42.230.34.212.ucom.am.,AM,"","",,false,1.0,2015-10-22 21:52:15 +0200,2015-01-10 20:41:09 +0100
80.86.233.133,mail.abaceeli.am.,AM,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,1.0,2015-10-22 21:54:09 +0200,2015-01-10 21:28:27 +0100
178.219.51.129,"",AM,"","",,false,0.81,2015-10-22 22:35:30 +0200,2015-01-11 21:17:46 +0100
46.19.99.170,"",AM,"","",,false,1.0,2015-10-22 22:39:51 +0200,2015-01-11 23:16:54 +0100
195.88.67.65,host-195-88-67-65.rev.ozone.am.,AM,Yerevan,"",,false,0.94,2015-10-22 23:22:30 +0200,2015-01-12 23:37:03 +0100
