ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
196.216.59.210,lazuli.maxnet.ao.,AO,Luanda,9.4.-ESV-R4,,false,0.54,2015-10-23 00:25:59 +0200,2014-12-29 16:12:15 +0100
196.202.252.226,ns2.tvcabo.co.ao.,AO,Luanda,9.7.3-P3-RedHat-9.7.3-8.P3.el6_2.2,,true,1.0,2015-10-23 01:59:42 +0200,2014-12-30 15:20:29 +0100
41.205.58.72,cust72-58.205.41.netcabo.co.ao.,AO,"",Microsoft DNS 6.1.7600 (1DB04228),,false,0.99,2015-10-22 17:45:03 +0200,2014-12-31 21:19:33 +0100
41.63.166.5,cust5-166.63.41.netcabo.co.ao.,AO,Luanda,"",,true,0.56,2015-10-22 18:30:57 +0200,2015-01-06 13:55:45 +0100
154.66.82.1,"",AO,"","",,false,0.99,2015-10-22 18:53:00 +0200,2015-01-06 22:52:58 +0100
41.63.160.84,cust84-160.63.41.netcabo.co.ao.,AO,Kuito,9.6-ESV-R8,,false,1.0,2015-10-22 19:22:38 +0200,2015-01-07 14:50:09 +0100
41.221.251.130,ns2.portoluanda.co.ao.,AO,"","",,false,0.48,2015-10-22 20:48:12 +0200,2015-01-09 10:03:10 +0100
41.223.156.70,"",AO,"",9.3.4-P1,,false,0.95,2015-10-22 20:48:17 +0200,2015-01-09 10:06:25 +0100
41.221.251.77,"",AO,"",PowerDNS Recursor 3.7.3 (jenkins@autotest.powerdns.com built 20150609121154 mockbuild@jenkins.monshouwer.eu),,false,1.0,2015-10-22 21:12:41 +0200,2015-01-10 00:42:30 +0100
41.63.189.199,cust199-189.63.41.netcabo.co.ao.,AO,"","",,false,0.91,2015-10-22 21:51:09 +0200,2015-01-10 20:03:40 +0100
