ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
216.244.192.32,nscache1.sinectis.com.ar.,AR,Cabildo,"",,false,1.0,2015-10-29 11:26:50 +0100,2013-01-30 19:40:42 +0100
200.123.192.244,ns2.lanautilus.net.,AR,Buenos Aires,Adonis Server (www.bluecatnetworks.com),,false,0.9,2015-10-29 11:29:22 +0100,2014-06-26 22:16:24 +0200
200.123.192.251,ns1.lanautilus.net.,AR,Buenos Aires,Adonis Server (www.bluecatnetworks.com),,false,1.0,2015-10-29 11:29:24 +0100,2014-06-26 22:16:52 +0200
190.11.32.42,ip-190-011-032-042.coopvgg.com.ar.,AR,"","",,false,0.99,2015-10-29 11:29:23 +0100,2014-06-26 23:32:44 +0200
190.11.32.199,ip-190-011-032-199.coopvgg.com.ar.,AR,"","",,false,0.98,2015-10-29 11:29:24 +0100,2014-06-26 23:52:58 +0200
216.244.192.3,ns2.sinectis.com.ar.,AR,Cabildo,DNS UOL-Sinectis,,false,1.0,2015-10-29 11:29:39 +0100,2014-09-04 18:34:46 +0200
201.251.124.157,201-251-124-157.static.speedy.com.ar.,AR,"","",,false,0.35,2015-10-29 11:30:37 +0100,2014-12-27 15:18:14 +0100
200.29.248.58,"",AR,Huinca Renanco,"",,false,0.97,2015-10-29 11:30:39 +0100,2014-12-27 15:19:38 +0100
190.210.58.146,customer-static-210-58-146.iplannetworks.net.,AR,Buenos Aires,"",,false,0.99,2015-10-29 11:34:33 +0100,2014-12-29 12:42:43 +0100
181.28.67.172,172-67-28-181.fibertel.com.ar.,AR,"",dnsmasq-2.55,,true,0.9,2015-10-29 11:34:59 +0100,2014-12-29 12:46:00 +0100
186.4.110.17,"",AR,Marcos Paz,"",,false,0.98,2015-10-29 11:35:29 +0100,2014-12-29 12:51:44 +0100
190.210.59.45,mx-maipu-new.maruba.com.ar.,AR,Buenos Aires,dnsmasq-2.70,,false,0.85,2015-10-29 11:35:34 +0100,2014-12-29 12:52:18 +0100
190.210.59.40,customer-static-210-59-40.iplannetworks.net.,AR,Buenos Aires,dnsmasq-2.70,,false,0.93,2015-10-29 11:35:58 +0100,2014-12-29 12:55:12 +0100
64.76.6.126,64-76-6-126.dynamic.impsat.net.ar.,AR,Florencio Varela,dnsmasq-2.55,,true,0.99,2015-10-29 11:36:33 +0100,2014-12-29 13:00:47 +0100
200.45.85.226,dns1.savantpharm.com.ar.,AR,"","",,false,1.0,2015-10-29 11:36:57 +0100,2014-12-29 13:04:50 +0100
200.29.248.22,"",AR,Huinca Renanco,"",,false,0.84,2015-10-29 11:37:33 +0100,2014-12-29 13:10:29 +0100
200.117.247.10,host117248010.arnet.net.ar.,AR,Federal,dnsmasq-2.45,,false,0.99,2015-10-29 11:37:33 +0100,2014-12-29 13:10:33 +0100
186.129.250.111,186-129-250-111.static.speedy.com.ar.,AR,"","",,false,0.88,2015-10-29 11:38:04 +0100,2014-12-29 13:14:38 +0100
201.251.98.226,"",AR,"","",,false,0.99,2015-10-29 11:38:30 +0100,2014-12-29 13:18:34 +0100
190.210.108.225,customer-static-210-108-225.iplannetworks.net.,AR,Buenos Aires,"",,false,1.0,2015-10-29 11:38:46 +0100,2014-12-29 13:21:00 +0100
186.136.21.210,210-21-136-186.fibertel.com.ar.,AR,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.86,2015-10-29 11:39:54 +0100,2014-12-29 13:28:57 +0100
