ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
213.33.99.70,res1.a1.net.,AT,"","",,false,0.99,2015-10-22 23:45:51 +0200,2010-04-13 19:30:32 +0200
80.120.17.70,res2.a1.net.,AT,"","",,false,0.99,2015-10-22 23:45:52 +0200,2010-04-13 19:31:01 +0200
193.33.114.2,ns01.anexia.at.,AT,Klagenfurt,"yes, it is BIND",,false,1.0,2015-10-22 23:45:59 +0200,2011-01-21 01:58:16 +0100
212.24.98.97,ns4.networkorganization.org.,AT,"",9.9.4,,false,0.98,2015-10-22 23:46:05 +0200,2011-01-24 23:24:11 +0100
2a02:940:0:4293::100,ns2.itandtel.at.,AT,"",My version is so secret that I even dont know what Im running on huhu,,false,0.99,2015-10-22 23:46:08 +0200,2013-01-04 04:22:51 +0100
195.16.241.140,ns1.xpirio.at.,AT,"","",,false,0.98,2015-10-22 23:46:18 +0200,2013-01-30 18:46:31 +0100
195.16.241.141,ns2.linea7.net.,AT,"","",,true,1.0,2015-10-22 23:46:20 +0200,2013-01-30 18:46:31 +0100
193.228.86.5,dns1.dpi.co.at.,AT,"","",,false,1.0,2015-10-22 23:46:45 +0200,2013-04-23 02:16:06 +0200
195.206.96.47,anw.at.,AT,"",9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-22 23:46:54 +0200,2013-04-23 02:31:10 +0200
195.234.101.234,ns1.anw.at.,AT,Vienna,9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-22 23:46:54 +0200,2013-04-23 02:32:01 +0200
195.70.237.42,ns2.geocomp.at.,AT,"",9.7.0-P1,,false,0.99,2015-10-22 23:47:00 +0200,2013-04-23 02:36:45 +0200
212.236.250.4,ns1.video-broadcast.at.,AT,"","",,false,1.0,2015-10-22 23:46:59 +0200,2013-04-23 02:47:10 +0200
212.24.98.98,"",AT,"",9.9.4,,false,0.98,2015-10-22 23:47:02 +0200,2013-04-23 02:47:14 +0200
213.235.248.228,"",AT,"",9.3.4-P1.2,,false,1.0,2015-10-22 23:47:07 +0200,2013-04-23 02:55:09 +0200
81.189.212.129,dns01.wkstmk.at.,AT,Graz,N/A,,false,0.98,2015-10-22 23:47:12 +0200,2013-04-23 03:18:04 +0200
81.189.214.162,mail.iic.wifi.at.,AT,Graz,N/A,,false,1.0,2015-10-22 23:47:12 +0200,2013-04-23 03:18:04 +0200
81.21.112.130,dns1.muerznet.at.,AT,Muerzzuschlag,9.7.2-P2-RedHat-9.7.2-2.P2.fc14,,false,1.0,2015-10-22 23:47:12 +0200,2013-04-23 03:18:30 +0200
83.137.41.8,dns1.nemox.net.,AT,Innsbruck,9.5.1-P2-RedHat-9.5.1-2.P2.fc10,,false,1.0,2015-10-22 23:47:15 +0200,2013-04-23 03:21:28 +0200
85.124.252.33,poseidon.friendlynet.at.,AT,"",9.2.1,,false,0.92,2015-10-22 23:47:15 +0200,2013-04-23 03:24:18 +0200
91.198.195.5,ns1.rsdglobal.com.,AT,"","",,false,1.0,2015-10-22 23:47:26 +0200,2013-04-23 03:32:30 +0200
94.142.161.73,ns1.cubit.at.,AT,"",unknown,,false,1.0,2015-10-22 23:47:23 +0200,2013-04-23 03:36:24 +0200
62.116.30.200,ns2.eventus.at.,AT,"",9.5.1-P3,,false,1.0,2015-10-22 23:47:27 +0200,2013-08-08 07:19:25 +0200
83.137.41.9,dns2.nemox.net.,AT,Innsbruck,9.9.4-P2-RedHat-9.9.4-15.P2.fc20,,false,1.0,2015-10-22 23:47:30 +0200,2013-08-08 07:36:26 +0200
2a03:f80:ed15:ed15:ed15:ed15:942f:94d0,"",AT,"",EDIS GmbH Public DNS Resolver,,false,1.0,2015-10-22 23:49:31 +0200,2014-07-13 17:29:05 +0200
37.235.1.174,resolver1.freedns.zone.powered.by.emerion.com.,AT,"","",,false,0.99,2015-10-22 23:49:38 +0200,2014-08-04 00:48:58 +0200
37.235.1.177,resolver2.freedns.zone.powered.by.emerion.com.,AT,"",PowerDNS Recursor 3.5.3 $Id$,,false,1.0,2015-10-22 23:49:35 +0200,2014-08-04 00:48:58 +0200
213.185.191.129,"",AT,"",Nominum Vantio 5.1.1.1,,false,0.99,2015-10-22 23:50:19 +0200,2014-12-27 01:28:06 +0100
213.185.191.198,"",AT,"",Nominum Vantio 5.1.1.1,,false,1.0,2015-10-22 23:50:35 +0200,2014-12-27 15:17:34 +0100
213.185.191.120,"",AT,"",Nominum Vantio 5.1.1.1,,false,1.0,2015-10-22 23:50:40 +0200,2014-12-27 15:19:40 +0100
213.185.191.134,"",AT,"",Nominum Vantio 5.1.1.1,,false,1.0,2015-10-22 23:50:55 +0200,2014-12-27 15:23:08 +0100
213.185.191.80,"",AT,"",Nominum Vantio 5.1.1.1,,false,1.0,2015-10-22 23:51:01 +0200,2014-12-27 15:24:55 +0100
212.186.249.177,212-186-249-177.static.surfer.at.,AT,"",dnsmasq-2.43,,false,1.0,2015-10-22 23:51:33 +0200,2014-12-29 12:05:08 +0100
213.185.191.32,"",AT,"",Nominum Vantio 5.1.1.1,,false,1.0,2015-10-22 23:52:22 +0200,2014-12-29 12:14:34 +0100
178.212.16.61,mx0.praesis.net.,AT,"",8.4.7-REL-NOESW,,false,1.0,2015-10-22 23:52:52 +0200,2014-12-29 12:20:58 +0100
178.212.16.60,jupiter.e-complete.at.,AT,"",8.4.7-REL-NOESW,,false,1.0,2015-10-22 23:54:20 +0200,2014-12-29 12:39:01 +0100
193.33.216.200,speigner.em-it.at.,AT,"","",,false,0.94,2015-10-22 23:55:06 +0200,2014-12-29 12:46:03 +0100
