ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
95.86.129.42,ns1.provayder.az.,AZ,"",9.8.1-P1,,false,0.97,2015-10-29 11:26:49 +0100,2013-01-31 00:20:18 +0100
85.132.32.42,ns2.caspel.com.,AZ,"",Caspel,,false,0.92,2015-10-29 11:26:49 +0100,2013-01-31 00:20:19 +0100
85.132.32.41,ns1.caspel.com.,AZ,"",Caspel,,false,0.93,2015-10-29 11:26:50 +0100,2013-01-31 00:20:19 +0100
5.250.195.244,"",AZ,"","",,true,0.03,2015-10-29 11:34:25 +0100,2014-12-29 12:41:24 +0100
85.132.48.35,mail.atropatena.az.,AZ,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 11:35:59 +0100,2014-12-29 12:55:07 +0100
5.250.196.17,"",AZ,"","",,true,0.34,2015-10-29 11:38:13 +0100,2014-12-29 13:15:25 +0100
85.132.85.85,ns2.az-ix.net.,AZ,"",9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.6,,false,1.0,2015-10-29 11:38:30 +0100,2014-12-29 13:19:17 +0100
94.20.230.146,"",AZ,"","",,false,0.93,2015-10-29 11:49:54 +0100,2014-12-29 14:47:01 +0100
95.86.129.43,ns2.provayder.az.,AZ,"",9.8.1-P1,,false,1.0,2015-10-29 11:50:00 +0100,2014-12-29 14:47:14 +0100
95.86.129.170,host-95-86-129-170.smart.az.,AZ,"","",,false,0.99,2015-10-29 11:52:51 +0100,2014-12-29 15:03:58 +0100
93.88.82.195,"",AZ,Baku,"",,false,0.99,2015-10-29 11:53:21 +0100,2014-12-29 15:07:25 +0100
5.250.220.127,"",AZ,"","",,true,0.15,2015-10-29 11:54:59 +0100,2014-12-29 15:16:53 +0100
5.250.220.46,"",AZ,"","",,true,0.08,2015-10-29 11:58:56 +0100,2014-12-29 15:39:14 +0100
37.114.168.55,"",AZ,"","",,true,0.12,2015-10-29 12:04:47 +0100,2014-12-29 16:10:58 +0100
37.114.164.94,"",AZ,"","",,true,0.14,2015-10-29 12:10:28 +0100,2014-12-29 16:40:58 +0100
92.39.81.124,ns2.sinam.net.,AZ,"",9.3.1,,false,0.93,2015-10-29 12:19:05 +0100,2014-12-29 17:55:13 +0100
5.250.208.144,"",AZ,"","",,true,0.15,2015-10-29 12:25:00 +0100,2014-12-29 18:49:48 +0100
37.114.170.122,"",AZ,"","",,true,0.62,2015-10-29 12:33:25 +0100,2014-12-29 20:12:53 +0100
85.132.59.23,"",AZ,"","",,false,0.95,2015-10-29 13:17:12 +0100,2014-12-30 12:21:32 +0100
