ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
114.130.11.66,"",BD,"",9.3.3rc2,,false,0.98,2015-10-29 11:26:37 +0100,2013-01-30 18:28:11 +0100
203.112.194.243,host243.btcl.net.bd.,BD,"",9.2.1,,false,0.81,2015-10-29 11:26:40 +0100,2013-01-30 19:10:55 +0100
203.112.202.195,"",BD,"",9.2.1,,false,0.45,2015-10-29 11:26:38 +0100,2013-01-30 19:11:00 +0100
180.211.129.42,"",BD,"", Root!!! ,,false,0.95,2015-10-29 11:28:53 +0100,2014-01-07 20:40:26 +0100
202.86.216.2,"",BD,"","",,true,0.87,2015-10-29 11:28:59 +0100,2014-02-06 09:43:44 +0100
202.86.216.1,"",BD,"","",,true,0.93,2015-10-29 11:29:04 +0100,2014-02-06 09:45:40 +0100
180.211.129.40,"",BD,"", Root!!! ,,false,0.71,2015-10-29 11:29:48 +0100,2014-12-15 19:07:51 +0100
202.126.123.62,"",BD,"","",,false,0.97,2015-10-29 11:33:22 +0100,2014-12-29 12:26:11 +0100
59.152.88.82,"",BD,"","",,false,1.0,2015-10-29 11:34:19 +0100,2014-12-29 12:39:26 +0100
115.127.15.146,115.127.15.146.bracnet.net.,BD,"","",,false,0.83,2015-10-29 11:39:08 +0100,2014-12-29 13:24:27 +0100
115.127.15.170,115.127.15.170.bracnet.net.,BD,"","",,false,0.93,2015-10-29 11:40:41 +0100,2014-12-29 13:38:14 +0100
115.127.15.130,115.127.15.130.bracnet.net.,BD,"","",,false,0.91,2015-10-29 11:44:28 +0100,2014-12-29 14:11:22 +0100
202.79.18.116,"",BD,Dhaka,dnsmasq-2.45,,true,0.98,2015-10-29 11:46:36 +0100,2014-12-29 14:27:03 +0100
203.188.255.82,"",BD,"","",,false,0.6,2015-10-29 11:51:20 +0100,2014-12-29 14:53:22 +0100
