ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
195.35.110.4,ns1.be.ihost.com.,BE,"",9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.4,,false,1.0,2015-10-22 23:46:54 +0200,2013-04-23 02:34:17 +0200
213.246.246.6,cpebe_gne000070.ia.colt.net.,BE,"","",,false,1.0,2015-10-22 23:54:12 +0200,2014-12-29 12:36:34 +0100
91.183.224.120,mail.multicalor.be.,BE,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-22 23:59:28 +0200,2014-12-29 13:26:34 +0100
194.78.128.43,43.128-78-194.adsl-static.isp.belgacom.be.,BE,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 00:03:14 +0200,2014-12-29 14:00:11 +0100
194.8.62.65,dns.ipg-callcenter.be.,BE,"","",,false,0.99,2015-10-23 00:03:24 +0200,2014-12-29 14:01:27 +0100
5.134.1.99,"",BE,Vise,Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-23 00:04:40 +0200,2014-12-29 14:11:45 +0100
81.82.207.99,d5152CF63.static.telenet.be.,BE,Beveren,"",,false,0.99,2015-10-23 00:05:12 +0200,2014-12-29 14:15:43 +0100
176.10.92.110,"",BE,"",dnsmasq-2.72,,false,0.98,2015-10-23 00:07:08 +0200,2014-12-29 14:29:10 +0100
91.183.81.170,170.81-183-91.adsl-static.isp.belgacom.be.,BE,Brussels,Microsoft DNS 6.0.6002 (17724655),,false,0.97,2015-10-23 00:11:05 +0200,2014-12-29 14:51:55 +0100
188.118.47.121,ip-188-118-47-121.reverse.destiny.be.,BE,Kontich,"",,true,0.82,2015-10-23 00:11:43 +0200,2014-12-29 14:54:18 +0100
188.118.46.207,ip-188-118-46-207.reverse.destiny.be.,BE,"","",,false,0.87,2015-10-23 00:12:38 +0200,2014-12-29 15:00:08 +0100
81.82.207.224,d5152CFE0.static.telenet.be.,BE,Beveren,dnsmasq-2.68,,false,1.0,2015-10-23 00:16:11 +0200,2014-12-29 15:20:57 +0100
5.134.1.104,"",BE,Vise,"",,false,1.0,2015-10-23 00:20:20 +0200,2014-12-29 15:43:14 +0100
91.183.65.207,mail.residencelennox.be.,BE,Ohain,Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-23 00:20:52 +0200,2014-12-29 15:46:47 +0100
81.95.125.20,"",BE,Bruges,Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-23 00:21:50 +0200,2014-12-29 15:51:53 +0100
91.183.121.30,30.121-183-91.adsl-static.isp.belgacom.be.,BE,"",Microsoft DNS 6.1.7600 (1DB04001),,false,0.99,2015-10-23 00:22:16 +0200,2014-12-29 15:53:52 +0100
188.118.46.220,ip-188-118-46-220.reverse.destiny.be.,BE,"","",,false,0.78,2015-10-23 00:22:21 +0200,2014-12-29 15:54:21 +0100
91.183.194.136,"",BE,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 00:23:09 +0200,2014-12-29 15:58:05 +0100
213.246.228.18,cpebe_bru001523.ia.colt.net.,BE,"","",,false,1.0,2015-10-23 00:24:07 +0200,2014-12-29 16:02:43 +0100
188.118.46.210,ip-188-118-46-210.reverse.destiny.be.,BE,"","",,false,0.87,2015-10-23 00:24:16 +0200,2014-12-29 16:03:57 +0100
188.118.46.213,ip-188-118-46-213.reverse.destiny.be.,BE,"","",,false,0.86,2015-10-23 00:26:30 +0200,2014-12-29 16:15:19 +0100
188.118.46.209,ip-188-118-46-209.reverse.destiny.be.,BE,"","",,false,0.85,2015-10-23 00:28:17 +0200,2014-12-29 16:24:20 +0100
185.35.52.36,hosted.by.hostbasket.com.,BE,"","",,false,1.0,2015-10-23 00:29:49 +0200,2014-12-29 16:32:02 +0100
188.118.46.219,ip-188-118-46-219.reverse.destiny.be.,BE,"","",,false,0.84,2015-10-23 00:29:53 +0200,2014-12-29 16:32:28 +0100
87.238.162.179,win3.stone-is.net.,BE,"","",,false,0.99,2015-10-23 00:38:01 +0200,2014-12-29 17:31:23 +0100
188.118.46.214,ip-188-118-46-214.reverse.destiny.be.,BE,"","",,false,0.85,2015-10-23 00:39:29 +0200,2014-12-29 17:46:08 +0100
91.183.126.72,72.126-183-91.adsl-static.isp.belgacom.be.,BE,"","",,false,0.9,2015-10-23 00:40:14 +0200,2014-12-29 17:56:53 +0100
91.183.47.242,242.47-183-91.adsl-static.isp.belgacom.be.,BE,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.98,2015-10-23 00:40:30 +0200,2014-12-29 17:59:21 +0100
81.83.9.72,d51530948.static.telenet.be.,BE,Wilrijk,dnsmasq-2.73,,false,0.65,2015-10-23 00:41:52 +0200,2014-12-29 18:12:46 +0100
79.99.122.169,79.99.122.169.,BE,"","",,false,1.0,2015-10-23 00:44:33 +0200,2014-12-29 18:36:44 +0100
79.99.122.153,79.99.122.153.,BE,"","",,false,1.0,2015-10-23 00:45:45 +0200,2014-12-29 18:47:32 +0100
79.99.122.161,79.99.122.161.,BE,"","",,false,1.0,2015-10-23 00:46:35 +0200,2014-12-29 18:54:34 +0100
91.183.220.254,254.220-183-91.adsl-static.isp.belgacom.be.,BE,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.89,2015-10-23 00:46:59 +0200,2014-12-29 18:58:32 +0100
79.99.122.185,79.99.122.185.,BE,"","",,false,1.0,2015-10-23 00:47:22 +0200,2014-12-29 19:01:18 +0100
79.99.122.149,79.99.122.149.,BE,"","",,false,1.0,2015-10-23 00:48:24 +0200,2014-12-29 19:09:34 +0100
81.82.196.200,mail.soltech.be.,BE,Leuven,"",,true,0.87,2015-10-23 00:50:37 +0200,2014-12-29 19:28:32 +0100
79.99.122.165,79.99.122.165.,BE,"","",,false,1.0,2015-10-23 00:51:46 +0200,2014-12-29 19:39:45 +0100
79.99.122.89,79.99.122.89.,BE,"","",,false,1.0,2015-10-23 00:53:50 +0200,2014-12-29 20:06:37 +0100
79.99.122.129,79.99.122.129.,BE,"","",,false,1.0,2015-10-23 00:55:45 +0200,2014-12-29 20:29:22 +0100
194.78.136.179,179.136-78-194.adsl-static.isp.belgacom.be.,BE,"",Microsoft DNS 6.0.6002 (17724655),,false,1.0,2015-10-23 00:56:48 +0200,2014-12-29 20:41:56 +0100
81.246.88.228,228.88-246-81.adsl-static.isp.belgacom.be.,BE,Overpelt,dnsmasq-2.65,,false,1.0,2015-10-23 00:56:50 +0200,2014-12-29 20:42:19 +0100
81.82.202.33,d5152ca21.static.telenet.be.,BE,Ghent,"",,false,1.0,2015-10-23 00:59:00 +0200,2014-12-29 21:00:27 +0100
81.82.206.76,d5152CE4C.static.telenet.be.,BE,Sint-Niklaas,"",,false,0.85,2015-10-23 01:00:22 +0200,2014-12-29 21:12:32 +0100
178.32.40.244,mail.cognitic.be.,BE,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 01:03:06 +0200,2014-12-29 21:32:01 +0100
81.246.88.224,224.88-246-81.adsl-static.isp.belgacom.be.,BE,Overpelt,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 01:04:52 +0200,2014-12-29 21:45:08 +0100
178.32.40.178,178-32-40-178.ovh.net.,BE,"","",,false,0.98,2015-10-23 01:04:57 +0200,2014-12-29 21:45:52 +0100
109.135.14.76,76.14-135-109.adsl-fix.isp.belgacom.be.,BE,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-23 01:16:03 +0200,2014-12-29 23:34:35 +0100
91.183.41.6,6.41-183-91.adsl-static.isp.belgacom.be.,BE,"",ZyWALL DNS,,false,0.84,2015-10-23 01:18:37 +0200,2014-12-30 00:39:21 +0100
