ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
212.91.184.2,ns.yoree.org.,BG,"",9.9.2-P1,,false,0.9,2015-10-22 23:46:07 +0200,2011-01-19 02:46:08 +0100
212.233.128.1,ns1.optisprint.net.,BG,"",9.10.2-P3,,false,1.0,2015-10-22 23:46:02 +0200,2011-01-24 23:24:06 +0100
212.73.128.182,ns1-2.neterra.net.,BG,"",You must be joking :),,false,0.84,2015-10-22 23:46:05 +0200,2011-01-25 01:17:24 +0100
212.36.24.3,"",BG,"","",,false,1.0,2015-10-22 23:46:31 +0200,2013-01-30 19:31:59 +0100
95.158.129.2,ns2.novatelbg.net.,BG,"",9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-22 23:46:40 +0200,2013-03-24 04:18:13 +0100
194.12.224.34,home.ntrl.net.,BG,"",9.9.7-P2,,false,1.0,2015-10-22 23:46:49 +0200,2013-04-23 02:20:15 +0200
194.141.44.130,sun.medun.acad.bg.,BG,"",9.3.2,,false,0.68,2015-10-22 23:46:49 +0200,2013-04-23 02:20:57 +0200
194.141.45.4,"",BG,"",9.3.4-P1,,false,0.74,2015-10-22 23:46:50 +0200,2013-04-23 02:20:57 +0200
194.141.67.2,ns.mu-pleven.bg.,BG,"",bridge builder,,false,1.0,2015-10-22 23:46:53 +0200,2013-04-23 02:20:57 +0200
194.8.53.1,radius.netcom.bg.,BG,"",9.3.1,,false,0.8,2015-10-22 23:46:53 +0200,2013-04-23 02:26:04 +0200
212.122.165.2,ns.customs.bg.,BG,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5_4.1,,false,1.0,2015-10-22 23:46:56 +0200,2013-04-23 02:44:54 +0200
212.233.128.2,ns2.optisprint.net.,BG,"",9.10.2-P3,,false,0.99,2015-10-22 23:46:56 +0200,2013-04-23 02:47:01 +0200
212.73.138.38,sns.neterra.net.,BG,"",You must be joking :),,false,0.92,2015-10-22 23:46:58 +0200,2013-04-23 02:49:31 +0200
78.128.126.1,mail.telepoint.bg.,BG,"",unknown,,false,1.0,2015-10-22 23:47:10 +0200,2013-04-23 03:12:10 +0200
84.1.240.34,ns1.novatelbg.net.,BG,Sofia,9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-22 23:47:30 +0200,2013-08-08 07:37:53 +0200
83.228.65.52,52-65-228-83.btc-net.bg.,BG,"","",,false,0.92,2015-10-22 23:48:53 +0200,2013-11-19 03:26:01 +0100
95.158.128.2,ns1.novatel.bg.,BG,"",9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-22 23:49:25 +0200,2014-07-02 15:12:05 +0200
79.110.119.126,"",BG,"","",,false,0.99,2015-10-22 23:50:27 +0200,2014-12-27 11:30:05 +0100
93.155.201.49,"",BG,"","",,false,0.99,2015-10-22 23:50:45 +0200,2014-12-27 15:21:18 +0100
213.191.199.210,"",BG,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.97,2015-10-22 23:52:30 +0200,2014-12-29 12:16:16 +0100
193.93.26.205,"",BG,"","",,false,0.97,2015-10-22 23:53:10 +0200,2014-12-29 12:23:48 +0100
213.16.46.28,28_46.btc-net.bg.,BG,"","",,false,0.99,2015-10-22 23:53:19 +0200,2014-12-29 12:25:21 +0100
87.126.65.45,87-126-65-45.btc-net.bg.,BG,"","",,false,1.0,2015-10-22 23:53:53 +0200,2014-12-29 12:32:19 +0100
213.16.60.7,"",BG,"","",,false,0.92,2015-10-22 23:54:05 +0200,2014-12-29 12:34:59 +0100
46.35.190.225,"",BG,"","",,false,1.0,2015-10-22 23:54:08 +0200,2014-12-29 12:36:01 +0100
109.160.99.251,"",BG,"",9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.1,,false,0.87,2015-10-22 23:54:09 +0200,2014-12-29 12:36:02 +0100
193.93.26.25,client25.unisat.tv.,BG,"","",,false,1.0,2015-10-22 23:54:14 +0200,2014-12-29 12:37:30 +0100
77.85.169.8,77-85-169-8.btc-net.bg.,BG,"","",,false,0.97,2015-10-22 23:54:20 +0200,2014-12-29 12:39:02 +0100
213.226.46.12,"",BG,"","",,false,1.0,2015-10-22 23:54:47 +0200,2014-12-29 12:43:56 +0100
213.16.46.30,30_46.btc-net.bg.,BG,"","",,false,1.0,2015-10-22 23:54:51 +0200,2014-12-29 12:44:30 +0100
213.91.164.69,"",BG,"","",,false,0.86,2015-10-22 23:55:32 +0200,2014-12-29 12:51:11 +0100
77.85.169.165,77-85-169-165.btc-net.bg.,BG,"","",,false,0.97,2015-10-22 23:56:12 +0200,2014-12-29 12:55:51 +0100
77.85.169.4,77-85-169-4.btc-net.bg.,BG,"","",,false,0.99,2015-10-22 23:56:13 +0200,2014-12-29 12:56:05 +0100
62.176.114.44,"",BG,"","",,false,1.0,2015-10-22 23:56:18 +0200,2014-12-29 12:56:06 +0100
84.201.198.146,"",BG,"","",,false,0.96,2015-10-22 23:56:40 +0200,2014-12-29 13:00:13 +0100
212.116.146.219,"",BG,"","",,false,1.0,2015-10-22 23:56:40 +0200,2014-12-29 13:00:23 +0100
77.85.169.31,77-85-169-31.btc-net.bg.,BG,"","",,false,0.15,2015-10-22 23:56:42 +0200,2014-12-29 13:01:01 +0100
77.85.169.177,77-85-169-177.btc-net.bg.,BG,"","",,false,1.0,2015-10-22 23:57:22 +0200,2014-12-29 13:07:14 +0100
213.91.164.22,"",BG,"","",,false,1.0,2015-10-22 23:57:31 +0200,2014-12-29 13:09:09 +0100
84.238.188.12,"",BG,Sofia,9.3.2-P1,,false,0.99,2015-10-22 23:57:42 +0200,2014-12-29 13:10:18 +0100
77.85.169.87,77-85-169-87.btc-net.bg.,BG,"","",,false,0.99,2015-10-22 23:58:19 +0200,2014-12-29 13:14:55 +0100
77.85.169.117,77-85-169-117.btc-net.bg.,BG,"","",,false,0.96,2015-10-22 23:58:36 +0200,2014-12-29 13:18:05 +0100
77.85.169.75,77-85-169-75.btc-net.bg.,BG,"","",,false,1.0,2015-10-22 23:58:46 +0200,2014-12-29 13:18:38 +0100
84.54.184.49,comnet1-host49.velingrad.net.,BG,Sofia,BIND for velingrad.net,,false,1.0,2015-10-22 23:58:52 +0200,2014-12-29 13:20:56 +0100
62.176.114.32,"",BG,"","",,false,0.98,2015-10-22 23:58:57 +0200,2014-12-29 13:21:12 +0100
195.234.236.241,dns3.datacom.bg.,BG,"","",,false,0.98,2015-10-22 23:59:04 +0200,2014-12-29 13:22:31 +0100
62.176.114.11,"",BG,"","",,false,1.0,2015-10-22 23:59:07 +0200,2014-12-29 13:22:31 +0100
212.50.13.43,georg-tod.com.,BG,"","",,false,0.59,2015-10-22 23:59:15 +0200,2014-12-29 13:23:20 +0100
