ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
83.136.56.53,ns2.mtc.com.bh.,BH,"",None of your business,,false,1.0,2015-10-22 23:45:50 +0200,2009-08-09 23:02:09 +0200
83.136.56.52,ns1.mtc.com.bh.,BH,"",None of your business,,false,1.0,2015-10-22 23:46:09 +0200,2011-01-31 01:39:52 +0100
176.241.177.1,nat.core.greenisis.net.,BH,"","",,false,0.38,2015-10-22 23:48:50 +0200,2013-11-19 03:15:19 +0100
81.22.18.19,"",BH,"","",,false,0.91,2015-10-23 00:14:41 +0200,2014-12-29 15:12:06 +0100
89.148.14.227,ns.bti.com.bh.,BH,Manama,"",,false,0.99,2015-10-23 00:39:33 +0200,2014-12-29 17:47:41 +0100
217.17.237.49,static.ip.217.17.237.49.batelco.com.bh.,BH,"","",,false,0.92,2015-10-23 00:54:29 +0200,2014-12-29 20:13:12 +0100
217.17.237.178,static.ip.217.17.237.178.batelco.com.bh.,BH,"","",,false,0.92,2015-10-23 00:55:35 +0200,2014-12-29 20:26:58 +0100
88.201.36.239,static.ip.88.201.36.239.batelco.com.bh.,BH,Manama,dnsmasq-2.40,,false,0.98,2015-10-23 00:59:54 +0200,2014-12-29 21:08:58 +0100
93.95.24.10,"",BH,"","",,false,0.66,2015-10-23 01:52:37 +0200,2014-12-30 14:12:13 +0100
87.236.142.205,"",BH,"","",,false,0.4,2015-10-23 02:00:52 +0200,2014-12-30 15:29:54 +0100
87.236.136.3,ns1.nuetelbahrain.com.,BH,"","",,false,0.63,2015-10-23 02:05:30 +0200,2014-12-30 16:15:26 +0100
77.69.190.23,tradearabia.net.,BH,Manama,"",,false,0.85,2015-10-22 17:46:38 +0200,2014-12-31 22:00:54 +0100
89.148.43.87,mail.inv-darbank.com.,BH,Al Hadd,Microsoft DNS 6.0.6001 (17714726),,false,0.99,2015-10-22 18:24:09 +0200,2015-01-06 10:59:52 +0100
80.95.220.186,"",BH,"","",,false,0.75,2015-10-22 19:14:41 +0200,2015-01-07 10:51:43 +0100
176.241.178.1,"",BH,"","",,false,0.47,2015-10-22 20:20:19 +0200,2015-01-08 20:31:03 +0100
176.241.176.97,"",BH,"","",,false,0.45,2015-10-22 21:57:22 +0200,2015-01-10 23:00:52 +0100
89.148.14.88,autodiscover.almoayyedcg.com.,BH,Manama,"",,false,0.94,2015-10-22 21:58:09 +0200,2015-01-10 23:47:24 +0100
