ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
190.186.50.31,static-ip-adsl-190.186.50.31.cotas.com.bo.,BO,Santa Cruz,dnsmasq-2.63rc6,,false,0.97,2015-10-22 23:46:37 +0200,2013-02-01 01:52:56 +0100
190.186.2.130,static-ip-adsl-190.186.2.130.cotas.com.bo.,BO,Santa Cruz,Microsoft DNS 6.1.7601 (1DB14556),,false,0.66,2015-10-22 23:52:01 +0200,2014-12-29 12:08:47 +0100
200.105.173.222,static-200-105-173-222.acelerate.net.,BO,La Paz,9.3.6-P1-RedHat-9.3.6-16.P1.el5_7.1,,false,0.83,2015-10-23 00:00:15 +0200,2014-12-29 13:31:48 +0100
200.87.201.194,mail.colegioemprendedor.edu.bo.,BO,La Paz,"",,false,0.4,2015-10-23 00:04:07 +0200,2014-12-29 14:07:02 +0100
200.58.175.37,leased-line-200.58.175.37.cotas.com.bo.,BO,Santa Cruz,"",,false,1.0,2015-10-23 00:05:40 +0200,2014-12-29 14:18:57 +0100
200.87.236.29,"",BO,La Paz,"",,false,1.0,2015-10-23 00:08:28 +0200,2014-12-29 14:37:26 +0100
200.87.120.218,"",BO,La Paz,"",,false,0.89,2015-10-23 00:12:50 +0200,2014-12-29 15:00:52 +0100
190.103.75.202,190-103-75-202.redcotel.bo.,BO,La Paz,dnsmasq-2.40,,false,0.98,2015-10-23 00:13:35 +0200,2014-12-29 15:05:42 +0100
200.87.120.154,"",BO,La Paz,"",,false,0.81,2015-10-23 00:13:54 +0200,2014-12-29 15:06:36 +0100
200.87.201.154,"",BO,La Paz,Microsoft DNS 6.1.7601 (1DB14556),,false,0.97,2015-10-23 00:14:00 +0200,2014-12-29 15:08:08 +0100
200.105.192.46,static-200-105-192-46.acelerate.net.,BO,La Paz,"",,false,0.99,2015-10-23 00:16:05 +0200,2014-12-29 15:20:03 +0100
190.129.44.15,server1.cotapnet.com.bo.,BO,La Paz,9.9.0,,false,1.0,2015-10-23 00:16:23 +0200,2014-12-29 15:21:30 +0100
186.121.206.36,static-186-121-206-36.acelerate.net.,BO,La Paz,"",,false,0.97,2015-10-23 00:19:26 +0200,2014-12-29 15:38:06 +0100
200.87.10.194,"",BO,La Paz,"",,false,0.98,2015-10-23 00:44:14 +0200,2014-12-29 18:33:28 +0100
190.181.27.62,static-190-181-27-62.acelerate.net.,BO,La Paz,"",,false,1.0,2015-10-23 00:47:08 +0200,2014-12-29 18:59:35 +0100
190.129.87.108,"",BO,La Paz,Microsoft DNS 6.1.7600 (1DB04001),,false,0.89,2015-10-23 00:48:08 +0200,2014-12-29 19:06:42 +0100
186.2.48.213,cpe-186-2-48213.vnet.bo.,BO,La Paz,"",,false,0.91,2015-10-23 00:48:58 +0200,2014-12-29 19:13:47 +0100
179.60.127.121,"",BO,Santa Cruz,Microsoft DNS 6.1.7601 (1DB14556),,false,0.61,2015-10-23 00:49:46 +0200,2014-12-29 19:19:17 +0100
200.87.146.151,correo.crecer.bo.,BO,La Paz,Microsoft DNS 6.1.7601 (1DB1446A),,false,0.66,2015-10-23 00:50:24 +0200,2014-12-29 19:26:40 +0100
190.186.56.242,static-ip-adsl-lpz-190.186.56.242.cotas.com.bo.,BO,Santa Cruz,"",,false,0.99,2015-10-23 00:54:55 +0200,2014-12-29 20:19:04 +0100
190.129.57.218,"",BO,La Paz,"",,false,0.76,2015-10-23 00:55:56 +0200,2014-12-29 20:31:35 +0100
190.186.172.60,static-ip-adsl-190.186.172.60.cotas.com.bo.,BO,Santa Cruz,"",,false,0.95,2015-10-23 01:02:56 +0200,2014-12-29 21:30:22 +0100
200.87.135.218,ns1.agda.com.bo.,BO,La Paz,Microsoft DNS 6.1.7600 (1DB04228),,false,0.95,2015-10-23 01:05:36 +0200,2014-12-29 21:50:57 +0100
190.186.56.38,static-ip-adsl-lpz-190.186.56.38.cotas.com.bo.,BO,La Paz,Microsoft DNS 6.0.6001 (17714650),,false,0.6,2015-10-23 01:05:45 +0200,2014-12-29 21:51:45 +0100
186.2.57.34,cpe-186-2-5734.vnet.bo.,BO,La Paz,"",,false,0.97,2015-10-23 01:05:57 +0200,2014-12-29 21:52:59 +0100
200.58.161.4,dns2.cotas.com.bo.,BO,Santa Cruz,9.5.1-P3,,false,1.0,2015-10-23 01:09:39 +0200,2014-12-29 22:20:53 +0100
167.157.20.2,bioquimica.bio.umss.edu.bo.,BO,Cochabamba,"",,false,0.99,2015-10-23 01:11:52 +0200,2014-12-29 22:39:09 +0100
186.2.40.80,cpe-186-2-4080.vnet.bo.,BO,La Paz,"",,false,0.96,2015-10-23 01:15:10 +0200,2014-12-29 23:15:40 +0100
200.87.106.4,"",BO,La Paz,Microsoft DNS 6.0.6002 (1772487D),,false,0.94,2015-10-23 01:18:02 +0200,2014-12-30 00:22:11 +0100
190.186.253.6,ip-adsl-190.186.253.6.cotas.com.bo.,BO,Santa Cruz,"",,false,0.97,2015-10-23 01:23:49 +0200,2014-12-30 09:20:15 +0100
200.87.54.131,server1.edt.com.bo.,BO,La Paz,Microsoft DNS 6.1.7601 (1DB14556),,false,0.97,2015-10-23 01:24:10 +0200,2014-12-30 09:25:43 +0100
190.180.27.170,ip-adsl-190.180.27.170.cotas.com.bo.,BO,Santa Cruz,dnsmasq-2.40,,true,0.64,2015-10-23 01:26:35 +0200,2014-12-30 10:00:39 +0100
200.87.54.194,mail.baneco.com.bo.,BO,La Paz,"",,false,0.36,2015-10-23 01:28:21 +0200,2014-12-30 10:25:33 +0100
190.181.27.177,static-190-181-27-177.acelerate.net.,BO,La Paz,"",,false,0.97,2015-10-23 01:29:52 +0200,2014-12-30 10:46:52 +0100
190.104.28.130,mail.alphasys.com.bo.,BO,La Paz,Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-23 01:30:07 +0200,2014-12-30 10:51:14 +0100
190.104.28.147,lpz-190-104-28-00147.wimaxtigo.bo.,BO,La Paz,"",,false,1.0,2015-10-23 01:32:23 +0200,2014-12-30 11:19:41 +0100
190.181.27.42,static-190-181-27-42.acelerate.net.,BO,La Paz,"",,false,1.0,2015-10-23 01:33:26 +0200,2014-12-30 11:28:41 +0100
190.129.90.163,mail.fca.com.bo.,BO,La Paz,"",,false,0.99,2015-10-23 01:40:48 +0200,2014-12-30 12:35:40 +0100
