ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
200.221.11.100,brahms.uol.com.br.,BR,"","",,true,1.0,2015-10-22 23:45:54 +0200,2010-07-31 21:25:10 +0200
189.38.95.95,dns1.gigadns.com.br.,BR,Porto Alegre,"",,true,0.97,2015-10-22 23:46:23 +0200,2013-01-30 18:37:19 +0100
189.90.16.20,jangada.fortalnet.com.br.,BR,"",REFUSED,,false,0.99,2015-10-22 23:46:19 +0200,2013-01-30 18:37:22 +0100
200.221.11.101,ravel.uol.com.br.,BR,"","",,true,1.0,2015-10-22 23:46:23 +0200,2013-01-30 18:53:24 +0100
189.26.255.11,189.26.255.11.static.gvt.net.br.,BR,Salvador,"",,false,0.82,2015-10-22 23:46:36 +0200,2013-02-01 02:01:38 +0100
189.38.95.96,dns2.gigadns.com.br.,BR,Porto Alegre,"",,true,0.99,2015-10-22 23:46:45 +0200,2013-04-23 02:10:28 +0200
200.195.148.99,mail.acifer.com.br.,BR,"","",,false,1.0,2015-10-22 23:48:47 +0200,2013-11-19 03:23:35 +0100
187.115.52.45,187.115.52.45.static.gvt.net.br.,BR,Joinville,"",,false,1.0,2015-10-22 23:49:25 +0200,2014-06-27 16:37:42 +0200
187.115.52.83,187.115.52.83.static.gvt.net.br.,BR,Joinville,"",,false,1.0,2015-10-22 23:49:25 +0200,2014-06-27 16:41:02 +0200
187.115.52.91,187.115.52.91.static.gvt.net.br.,BR,Joinville,"",,false,0.9,2015-10-22 23:49:25 +0200,2014-06-27 16:41:53 +0200
187.115.52.149,187.115.52.149.static.gvt.net.br.,BR,Joinville,"",,false,0.97,2015-10-22 23:49:39 +0200,2014-06-27 16:48:00 +0200
187.115.52.200,187.115.52.200.static.gvt.net.br.,BR,Joinville,dnsmasq-2.40,,false,0.99,2015-10-22 23:49:25 +0200,2014-06-27 16:53:26 +0200
187.115.53.162,allflex.162.static.host.gvt.net.br.,BR,"","",,false,1.0,2015-10-22 23:49:27 +0200,2014-06-27 17:18:30 +0200
187.115.53.163,allflex.163.static.host.gvt.net.br.,BR,"","",,false,0.99,2015-10-22 23:49:31 +0200,2014-06-27 17:18:39 +0200
