ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
108.60.229.197,"",BS,Nassau,"",,false,0.94,2015-10-29 11:32:25 +0100,2014-12-29 12:16:22 +0100
108.60.229.195,"",BS,Nassau,"",,false,0.95,2015-10-29 11:37:00 +0100,2014-12-29 13:05:50 +0100
24.244.148.152,mail.surfaceevoloution.com.,BS,Nassau,"",,false,1.0,2015-10-29 11:59:38 +0100,2014-12-29 15:43:20 +0100
24.244.141.147,mail2.ibsinternational.com.,BS,Nassau,"",,false,0.99,2015-10-29 12:41:23 +0100,2014-12-29 21:28:04 +0100
65.75.78.90,ns.sworth.net.,BS,Nassau,"",,false,1.0,2015-10-29 12:55:57 +0100,2014-12-30 00:17:16 +0100
24.244.168.13,"",BS,Nassau,"",,false,0.94,2015-10-29 12:56:28 +0100,2014-12-30 00:30:28 +0100
24.244.169.1,oii-dialup-border.abacoinet.com.,BS,Nassau,"",,false,0.99,2015-10-29 12:59:14 +0100,2014-12-30 01:25:56 +0100
24.206.22.162,"",BS,Freeport,none,,false,0.99,2015-10-29 13:00:28 +0100,2014-12-30 01:50:56 +0100
65.75.113.214,"",BS,Nassau,none,,false,1.0,2015-10-29 13:38:49 +0100,2014-12-30 15:33:15 +0100
216.137.15.38,mail.kinglaw.co.,BS,Nassau,Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-29 13:51:47 +0100,2014-12-30 17:43:23 +0100
216.137.15.44,glinda.bahamaswimax.com.,BS,Nassau,9.9.5-9+deb8u2-Debian,,false,0.99,2015-10-29 13:55:10 +0100,2014-12-30 18:25:21 +0100
65.75.74.123,"",BS,Nassau,"",,false,1.0,2015-10-29 14:15:38 +0100,2014-12-31 23:35:54 +0100
64.150.222.217,"",BS,Nassau,Microsoft DNS 6.0.6002 (1772487D),,false,0.98,2015-10-29 15:09:27 +0100,2015-01-06 19:37:55 +0100
24.244.150.152,"",BS,Nassau,"",,false,0.92,2015-10-29 15:34:52 +0100,2015-01-07 08:46:43 +0100
24.244.150.248,"",BS,Nassau,"",,true,1.0,2015-10-29 15:38:24 +0100,2015-01-07 10:38:55 +0100
216.137.13.106,marlin.batelnet.bs.,BS,Nassau,BATELCO BBIND,,false,1.0,2015-10-29 15:42:21 +0100,2015-01-07 12:32:14 +0100
108.60.229.194,"",BS,Nassau,"",,false,0.94,2015-10-29 07:56:28 +0100,2015-01-08 17:22:02 +0100
65.75.75.100,"",BS,Nassau,"",,false,0.99,2015-10-29 09:28:29 +0100,2015-01-10 18:09:36 +0100
24.244.157.48,hoisasvr03.bbsl.com.,BS,Nassau,"",,false,0.99,2015-10-29 09:34:29 +0100,2015-01-10 20:54:58 +0100
65.75.78.91,"",BS,Nassau,"",,false,0.98,2015-10-29 09:42:22 +0100,2015-01-11 01:51:59 +0100
24.244.146.163,"",BS,Freeport,dnsmasq-2.40,,false,1.0,2015-10-29 09:51:39 +0100,2015-01-11 07:51:52 +0100
64.150.239.26,"",BS,Nassau,none,,false,0.99,2015-10-29 10:23:55 +0100,2015-01-12 00:54:38 +0100
24.206.0.189,"",BS,Nassau,dnsmasq-2.40,,false,0.99,2015-10-29 10:27:49 +0100,2015-01-12 02:45:20 +0100
108.60.229.198,"",BS,Nassau,"",,false,0.98,2015-10-29 10:34:49 +0100,2015-01-12 06:18:32 +0100
108.60.229.196,"",BS,Nassau,"",,false,0.96,2015-10-29 10:35:50 +0100,2015-01-12 06:48:03 +0100
108.60.230.43,"",BS,Nassau,dnsmasq-2.72,,false,0.99,2015-10-29 10:37:46 +0100,2015-01-12 07:51:51 +0100
65.75.73.72,pinksandsresort.com.,BS,Nassau,dnsmasq-2.45,,false,0.9,2015-10-29 11:02:23 +0100,2015-01-12 23:23:05 +0100
