ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
154.70.148.70,"",BW,"","",,false,1.0,2015-10-23 00:19:27 +0200,2014-12-29 15:38:05 +0100
41.78.92.133,"",BW,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-23 01:50:45 +0200,2014-12-30 13:59:04 +0100
41.79.32.1,"",BW,"","",,false,0.84,2015-10-23 02:12:31 +0200,2014-12-30 17:21:40 +0100
168.167.8.60,pula.ub.bw.,BW,Gaborone,Microsoft DNS 6.1.7601 (1DB1446A),,false,0.99,2015-10-22 18:49:26 +0200,2015-01-06 21:36:55 +0100
168.167.8.61,xade.ub.bw.,BW,Gaborone,"",,false,0.97,2015-10-22 19:11:51 +0200,2015-01-07 09:35:30 +0100
168.167.84.134,"",BW,Gaborone,djbdns,,false,0.74,2015-10-22 19:32:13 +0200,2015-01-07 19:41:08 +0100
154.70.151.137,"",BW,"","",,false,0.78,2015-10-22 20:14:30 +0200,2015-01-08 17:23:54 +0100
154.70.151.66,"",BW,"","",,false,0.95,2015-10-22 20:16:31 +0200,2015-01-08 18:26:24 +0100
83.143.29.165,"",BW,"","",,false,0.87,2015-10-22 20:22:11 +0200,2015-01-08 21:31:35 +0100
105.235.245.83,"",BW,"","",,false,0.86,2015-10-22 20:44:10 +0200,2015-01-09 08:12:05 +0100
154.70.147.1,"",BW,"","",,false,0.97,2015-10-22 21:15:45 +0200,2015-01-10 02:18:29 +0100
41.191.216.190,"",BW,"","",,false,0.87,2015-10-22 21:33:18 +0200,2015-01-10 11:45:47 +0100
41.191.216.189,"",BW,"","",,false,0.97,2015-10-22 21:35:55 +0200,2015-01-10 13:04:22 +0100
196.43.216.14,ns1.hybridmail.co.bw.,BW,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.97,2015-10-22 22:24:34 +0200,2015-01-11 15:52:31 +0100
154.70.151.194,"",BW,"","",,false,0.94,2015-10-22 22:55:21 +0200,2015-01-12 06:49:53 +0100
41.216.208.106,"",BW,Gaborone,dnsmasq-2.47,,true,0.99,2015-10-22 22:59:43 +0200,2015-01-12 09:56:59 +0100
