ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
212.98.160.65,ns2.bn.by.,BY,"",9.9.5-P1,,true,1.0,2015-10-29 11:26:26 +0100,2013-01-28 22:02:18 +0100
212.98.160.50,ns1.bn.by.,BY,"",9.9.5-P1,,false,1.0,2015-10-29 11:26:25 +0100,2013-01-28 22:02:28 +0100
213.184.242.6,ns2.cityline.by.,BY,"",Made in USSR,,false,0.91,2015-10-29 11:26:46 +0100,2013-01-31 00:53:49 +0100
194.158.206.206,ns1.mogilev.by.,BY,"","",,true,1.0,2015-10-29 11:26:46 +0100,2013-01-31 00:54:13 +0100
194.158.206.205,ns2.mogilev.by.,BY,"","",,true,1.0,2015-10-29 11:26:46 +0100,2013-01-31 00:54:14 +0100
217.21.48.1,ns1.nostra.iptel.by.,BY,"",9.10.2,,false,1.0,2015-10-29 11:27:42 +0100,2013-08-08 08:49:14 +0200
134.17.24.86,86-24-17-134-dynamic-pool.internet.mts.by.,BY,Minsk,"",,false,0.99,2015-10-29 11:36:22 +0100,2014-12-29 12:59:04 +0100
217.23.126.81,"",BY,"",dnsmasq-2.45,,false,1.0,2015-10-29 11:53:37 +0100,2014-12-29 15:08:25 +0100
194.158.210.66,"",BY,"","",,false,0.97,2015-10-29 11:59:23 +0100,2014-12-29 15:41:25 +0100
82.209.219.56,mail.bellakt.com.,BY,"","",,false,0.3,2015-10-29 12:04:55 +0100,2014-12-29 16:11:37 +0100
86.57.217.61,mm-61-217-57-86.static.mgts.by.,BY,"","",,false,1.0,2015-10-29 12:08:35 +0100,2014-12-29 16:30:14 +0100
185.32.226.122,"",BY,"","",,false,1.0,2015-10-29 12:13:42 +0100,2014-12-29 17:02:49 +0100
212.98.171.202,mail.ntts.minsk.by.,BY,"","",,false,0.99,2015-10-29 12:26:54 +0100,2014-12-29 19:06:56 +0100
217.21.59.111,leased-line-217-21-59-111.telecom.by.,BY,"","",,false,1.0,2015-10-29 12:31:49 +0100,2014-12-29 19:53:00 +0100
213.184.238.72,"",BY,"",dnsmasq-2.40,,true,0.7,2015-10-29 12:33:52 +0100,2014-12-29 20:18:05 +0100
91.149.172.2,mail.mors.by.,BY,"",9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-29 12:47:49 +0100,2014-12-29 22:18:39 +0100
178.124.197.34,mail.autotm.by.,BY,"","",,false,1.0,2015-10-29 12:51:25 +0100,2014-12-29 22:53:55 +0100
217.21.43.9,"",BY,"",dnsmasq-2.68,,false,1.0,2015-10-29 12:57:19 +0100,2014-12-30 00:48:11 +0100
86.57.156.171,mm-171-156-57-86.static.mgts.by.,BY,Minsk,"",,false,0.27,2015-10-29 13:15:06 +0100,2014-12-30 12:02:51 +0100
178.124.194.92,bf.belta.by.,BY,"","",,false,1.0,2015-10-29 13:17:30 +0100,2014-12-30 12:24:48 +0100
185.53.72.1,domain.not.configured.,BY,"","",,false,1.0,2015-10-29 13:20:45 +0100,2014-12-30 12:53:29 +0100
93.85.92.171,smtp2.vtroitskaya.by.,BY,"","",,false,0.99,2015-10-29 13:20:59 +0100,2014-12-30 12:55:34 +0100
178.124.164.22,mm-22-164-124-178.static.mgts.by.,BY,Minsk,9.3.2,,false,0.98,2015-10-29 13:22:02 +0100,2014-12-30 13:02:59 +0100
93.125.8.135,mail.dansis.by.,BY,"","",,false,1.0,2015-10-29 13:37:17 +0100,2014-12-30 15:19:31 +0100
80.94.225.67,mail2.bpsb.by.,BY,Minsk,Microsoft DNS 6.1.7601 (1DB144E7),,false,1.0,2015-10-29 13:42:48 +0100,2014-12-30 16:12:42 +0100
