ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
208.79.56.204,dns2.295.ca.,CA,Cambridge,Go Away,,false,1.0,2015-10-22 23:45:37 +0200,2009-05-15 14:50:00 +0200
64.72.224.34,m1.comm100email9.com.,CA,Thornhill,Unknown,,false,0.99,2015-10-22 23:45:45 +0200,2009-05-15 14:50:19 +0200
209.197.128.2,dns1.distributel.net.,CA,Ottawa,unbound 1.4.22,,true,1.0,2015-10-22 23:45:37 +0200,2009-05-15 14:50:19 +0200
66.163.0.173,66-163-0-173.ip.tor.radiant.net.,CA,Vancouver,9.7.0-P2-RedHat-9.7.0-21.P2.el5_11.3,,false,1.0,2015-10-22 23:45:38 +0200,2009-05-15 14:50:22 +0200
64.187.29.134,h64-187-29-134.gtcust.grouptelecom.net.,CA,"","",,false,0.99,2015-10-22 23:45:40 +0200,2009-05-15 14:50:28 +0200
66.163.0.161,66-163-0-161.ip.tor.radiant.net.,CA,Vancouver,9.7.0-P2-RedHat-9.7.0-21.P2.el5_11.2,,false,0.98,2015-10-22 23:45:38 +0200,2009-05-15 14:50:29 +0200
216.254.141.2,tor-dns-recursive.primus.ca.,CA,"","",,true,0.99,2015-10-22 23:45:43 +0200,2009-05-15 14:50:31 +0200
137.82.1.1,hub.ubc.ca.,CA,Vancouver,none,,false,0.98,2015-10-22 23:45:37 +0200,2009-05-15 14:50:33 +0200
216.185.64.10,ns2.fibrewired.on.ca.,CA,Hamilton,9.4.2-P1,,false,0.94,2015-10-22 23:45:48 +0200,2009-08-09 02:10:04 +0200
208.38.1.15,mx2.pason.com.,CA,"",9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.5,,false,0.99,2015-10-22 23:45:53 +0200,2009-08-09 23:04:46 +0200
142.103.1.1,dns3.ubc.ca.,CA,Vancouver,none,,false,0.98,2015-10-22 23:46:18 +0200,2013-01-30 18:32:40 +0100
142.46.1.130,hotdns1.hydroonetelecom.com.,CA,Toronto,9.9.5,,true,1.0,2015-10-22 23:46:18 +0200,2013-01-30 18:33:12 +0100
142.46.128.130,hotdns2.hydroonetelecom.com.,CA,Toronto,9.9.5,,true,1.0,2015-10-22 23:46:16 +0200,2013-01-30 18:33:12 +0100
199.166.6.2,ns.execulink.com.,CA,Burgessville,9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.1,,false,1.0,2015-10-22 23:46:22 +0200,2013-01-30 18:51:23 +0100
204.174.120.45,"",CA,"",None of your business,,false,0.99,2015-10-22 23:46:27 +0200,2013-01-30 19:17:15 +0100
205.151.222.250,dns3.videotron.net.,CA,"","",,false,0.98,2015-10-22 23:46:30 +0200,2013-01-30 19:17:48 +0100
205.151.222.251,dns4.videotron.net.,CA,"","",,false,0.99,2015-10-22 23:46:29 +0200,2013-01-30 19:17:48 +0100
205.151.69.200,ns1.cgocable.ca.,CA,Becancour,"",,false,1.0,2015-10-22 23:46:26 +0200,2013-01-30 19:17:49 +0100
208.72.120.204,dns1.295.ca.,CA,Cambridge,Go Away,,false,1.0,2015-10-22 23:46:31 +0200,2013-01-30 19:23:15 +0100
216.198.139.68,ns1.clearnet.com.,CA,"",None of your business,,false,0.99,2015-10-22 23:46:33 +0200,2013-01-30 19:40:16 +0100
216.198.139.69,ns2.clearnet.com.,CA,"",None of your business,,false,1.0,2015-10-22 23:46:34 +0200,2013-01-30 19:40:16 +0100
216.254.141.13,dnscache1.tor.primus.ca.,CA,"",Unknown,,true,0.97,2015-10-22 23:46:33 +0200,2013-01-30 19:40:43 +0100
207.164.234.129,mtrlpq02dnsvp1.srvr.bell.ca.,CA,Toronto,"",,false,1.0,2015-10-22 23:46:55 +0200,2013-04-23 02:41:31 +0200
207.164.234.193,toroon63dnsvp1.srvr.bell.ca.,CA,Toronto,"",,false,1.0,2015-10-22 23:46:55 +0200,2013-04-23 02:41:34 +0200
209.90.160.222,ns2.primus.ca.,CA,"",Unknown,,false,1.0,2015-10-22 23:46:57 +0200,2013-04-23 02:42:44 +0200
216.235.1.3,ns2.dm.egate.net.,CA,Toronto,9.6.-ESV-R5-P1,,false,1.0,2015-10-22 23:47:03 +0200,2013-04-23 02:57:33 +0200
205.236.148.130,galilee1.sogetel.net.,CA,Nicolet,[Secured],,false,1.0,2015-10-22 23:47:25 +0200,2013-06-27 17:33:33 +0200
