ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
195.186.1.111,dns2.bluewin.ch.,CH,"","",,false,0.99,2015-10-22 23:45:41 +0200,2009-08-07 23:17:17 +0200
195.186.4.111,dns4.bluewin.ch.,CH,"","",,false,0.99,2015-10-22 23:45:43 +0200,2009-08-07 23:17:50 +0200
195.186.4.110,dns3.bluewin.ch.,CH,"","",,false,0.99,2015-10-22 23:45:43 +0200,2009-08-07 23:17:52 +0200
195.186.1.110,dns1.bluewin.ch.,CH,"","",,false,0.99,2015-10-22 23:45:50 +0200,2010-04-03 21:07:49 +0200
212.94.34.34,dns-rk.zugernet.ch.,CH,Baar,9.9.5-9+deb8u3-Debian,,true,1.0,2015-10-22 23:45:58 +0200,2011-01-19 02:37:58 +0100
217.148.0.17,ns2.my-ch.net.,CH,Schaffhausen,MTF Swiss Cloud AG,,false,0.99,2015-10-22 23:46:03 +0200,2011-01-25 01:31:27 +0100
77.59.224.10,ns1.newday.ch.,CH,"","",,false,1.0,2015-10-22 23:46:08 +0200,2011-01-31 01:37:00 +0100
77.59.224.11,ns2.newday.ch.,CH,"","",,false,1.0,2015-10-22 23:46:08 +0200,2011-01-31 01:37:00 +0100
79.141.83.250,ns3.ntd.ch.,CH,"",9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.4,,false,1.0,2015-10-22 23:46:08 +0200,2011-01-31 01:37:10 +0100
84.241.100.31,ns1.comtronic.ch.,CH,"",9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-22 23:46:08 +0200,2011-01-31 01:45:58 +0100
2001:1620:2777::2,ns1.init7.net.,CH,Winterthur,None of your business,,false,0.99,2015-10-22 23:46:09 +0200,2013-01-04 04:22:43 +0100
2001:1620:2777:1::11,ns11.init7.net.,CH,Winterthur,unbound 1.4.17,,true,0.99,2015-10-22 23:46:09 +0200,2013-01-04 04:22:50 +0100
2001:1620:2777:1::10,ns10.init7.net.,CH,Winterthur,unbound 1.4.17,,true,0.99,2015-10-22 23:46:09 +0200,2013-01-04 04:22:55 +0100
212.40.0.10,ns1.datacomm.ch.,CH,"",-=[NiN]=-,,false,1.0,2015-10-22 23:46:31 +0200,2013-01-30 19:32:00 +0100
212.94.32.32,dns-zg.zugernet.ch.,CH,Baar,DNS server,,false,0.74,2015-10-22 23:46:33 +0200,2013-01-30 19:33:54 +0100
212.203.32.11,ns1.leunet.ch.,CH,Frauenfeld,9.9.5-3ubuntu0.4-Ubuntu,,false,1.0,2015-10-22 23:46:56 +0200,2013-04-23 02:46:24 +0200
212.203.33.12,ns2.leunet.ch.,CH,Frauenfeld,9.9.5-3ubuntu0.4-Ubuntu,,false,1.0,2015-10-22 23:46:58 +0200,2013-04-23 02:46:24 +0200
212.40.5.50,ns2.datacomm.ch.,CH,"",-=[NiN]=-,,false,1.0,2015-10-22 23:47:00 +0200,2013-04-23 02:48:17 +0200
212.40.5.51,ns3.datacomm.ch.,CH,"",-=[NiN]=-,,false,1.0,2015-10-22 23:46:57 +0200,2013-04-23 02:48:17 +0200
77.72.178.77,ns2.hiho.ch.,CH,"",9.3.6-P1-RedHat-9.3.6-16.P1.el5,,false,1.0,2015-10-22 23:47:08 +0200,2013-04-23 03:11:25 +0200
79.141.81.250,ns1.ntd.ch.,CH,"",9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.4,,false,1.0,2015-10-22 23:47:09 +0200,2013-04-23 03:12:56 +0200
79.141.82.250,ns2.ntd.ch.,CH,"",9.9.4-RedHat-9.9.4-18.el7_1.5,,true,1.0,2015-10-22 23:47:10 +0200,2013-04-23 03:12:56 +0200
81.92.96.22,ns2.flashcable.ch.,CH,"",9.2.3,,false,0.99,2015-10-22 23:47:12 +0200,2013-04-23 03:19:24 +0200
81.92.97.12,ns1.flashcable.ch.,CH,"",9.2.1,,false,1.0,2015-10-22 23:47:14 +0200,2013-04-23 03:19:24 +0200
84.241.100.32,ns2.comtronic.ch.,CH,"",9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-22 23:47:15 +0200,2013-04-23 03:23:15 +0200
91.198.154.133,ns1.serwise.com.,CH,"",9.7.3,,false,1.0,2015-10-22 23:47:20 +0200,2013-04-23 03:32:30 +0200
62.202.10.10,10.10.202.62.static.wline.lns.sme.cust.swisscom.ch.,CH,"",dnsmasq-2.48,,true,0.99,2015-10-22 23:50:06 +0200,2014-12-27 00:48:15 +0100
212.243.46.140,"",CH,"","",,false,0.84,2015-10-22 23:51:22 +0200,2014-12-27 15:29:04 +0100
62.167.11.3,62-167-11-3.static.adslpremium.ch.,CH,Berlikon,dnsmasq-2.48,,false,0.99,2015-10-22 23:51:32 +0200,2014-12-29 12:04:27 +0100
213.3.2.123,123.2.3.213.static.wline.lns.sme.cust.swisscom.ch.,CH,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.97,2015-10-22 23:52:04 +0200,2014-12-29 12:11:24 +0100
213.200.192.65,65.192.200.213.static.wline.lns.sme.cust.swisscom.ch.,CH,"",dnsmasq-2.48,,false,0.76,2015-10-22 23:52:25 +0200,2014-12-29 12:15:31 +0100
83.173.201.6,6.201.173.83.static.wline.lns.sme.cust.swisscom.ch.,CH,"",dnsmasq-2.48,,false,0.81,2015-10-22 23:53:11 +0200,2014-12-29 12:24:10 +0100
176.122.194.118,176-122-194-118.static.swissdatasafe.ch.,CH,"",9.8.2rc1-RedHat-9.8.2-0.23.rc1.el6_5.1,,false,1.0,2015-10-22 23:53:22 +0200,2014-12-29 12:26:18 +0100
81.63.177.18,mail.micromotor.ch.,CH,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-22 23:53:40 +0200,2014-12-29 12:29:58 +0100
109.164.228.30,30.228.164.109.static.wline.lns.sme.cust.swisscom.ch.,CH,"",dnsmasq-2.48,,false,1.0,2015-10-22 23:54:05 +0200,2014-12-29 12:35:17 +0100
62.167.10.237,62-167-10-237.static.adslpremium.ch.,CH,Berlikon,dnsmasq-2.48,,false,0.99,2015-10-22 23:54:49 +0200,2014-12-29 12:44:15 +0100
213.3.45.254,254.45.3.213.static.wline.lns.sme.cust.swisscom.ch.,CH,"",dnsmasq-2.48,,false,0.81,2015-10-22 23:54:50 +0200,2014-12-29 12:44:18 +0100
81.63.166.121,121.166.63.81.static.wline.lns.sme.cust.swisscom.ch.,CH,"",dnsmasq-2.48,,false,0.91,2015-10-22 23:54:53 +0200,2014-12-29 12:44:38 +0100
213.3.2.96,96.2.3.213.static.wline.lns.sme.cust.swisscom.ch.,CH,"",dnsmasq-2.48,,true,1.0,2015-10-22 23:55:08 +0200,2014-12-29 12:46:42 +0100
62.202.9.243,243.9.202.62.static.wline.lns.sme.cust.swisscom.ch.,CH,"",dnsmasq-2.48,,true,0.76,2015-10-22 23:55:25 +0200,2014-12-29 12:49:53 +0100
109.164.170.72,72.170.164.109.dynamic.wline.lns.sme.cust.swisscom.ch.,CH,"",dnsmasq-2.48,,false,0.94,2015-10-22 23:55:44 +0200,2014-12-29 12:52:55 +0100
46.14.203.62,62.203.14.46.static.wline.lns.sme.cust.swisscom.ch.,CH,"",dnsmasq-2.48,,true,1.0,2015-10-22 23:56:10 +0200,2014-12-29 12:55:35 +0100
212.41.194.233,233.194.41.212.static.wline.lns.sme.cust.swisscom.ch.,CH,"",dnsmasq-2.48,,false,1.0,2015-10-22 23:56:20 +0200,2014-12-29 12:57:38 +0100
