ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
200.29.19.218,vm-southtel.netglobalis.cl.,CL,Santiago,"",,false,1.0,2015-10-29 11:33:54 +0100,2014-12-29 12:33:28 +0100
200.27.166.7,"",CL,Santiago,"",,false,1.0,2015-10-29 11:34:02 +0100,2014-12-29 12:35:50 +0100
190.151.42.244,"",CL,Santiago,9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.6,,false,1.0,2015-10-29 11:38:29 +0100,2014-12-29 13:18:26 +0100
190.98.213.90,"",CL,Santiago,dnsmasq-2.45,,false,1.0,2015-10-29 11:39:05 +0100,2014-12-29 13:24:04 +0100
200.73.81.171,host171.200.73.81.static.ifxnw.cl.,CL,Santiago,Microsoft DNS 6.0.6001 (17714726),,false,0.91,2015-10-29 11:39:41 +0100,2014-12-29 13:29:49 +0100
190.151.42.245,"",CL,Santiago,9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.6,,false,1.0,2015-10-29 11:40:21 +0100,2014-12-29 13:34:52 +0100
200.42.174.188,andesfoods.com.,CL,Santiago,"",,false,1.0,2015-10-29 11:43:41 +0100,2014-12-29 14:04:16 +0100
201.236.98.154,201-236-98-154.static.tie.cl.,CL,Santiago,"",,false,0.87,2015-10-29 11:44:28 +0100,2014-12-29 14:11:13 +0100
200.54.94.155,"",CL,Santiago,9.3.6-P1-RedHat-9.3.6-16.P1.el5,,false,1.0,2015-10-29 11:46:54 +0100,2014-12-29 14:28:26 +0100
200.29.167.116,"",CL,Rinconada,"",,false,1.0,2015-10-29 11:51:25 +0100,2014-12-29 14:55:29 +0100
200.24.229.196,"",CL,Viña del Mar,9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.6,,true,1.0,2015-10-29 11:51:34 +0100,2014-12-29 14:56:12 +0100
200.27.57.141,mail.zulueta.cl.,CL,Santiago,0,,false,0.98,2015-10-29 11:52:58 +0100,2014-12-29 15:05:07 +0100
