ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
41.204.87.25,"",CM,"","",,false,0.77,2015-09-30 12:12:34 +0200,2014-12-29 16:18:29 +0100
41.205.81.2,"",CM,"","",,false,0.83,2015-09-30 12:37:42 +0200,2014-12-29 19:56:08 +0100
41.205.81.78,"",CM,"",dnsmasq-2.40,,true,0.49,2015-09-30 12:44:19 +0200,2014-12-29 21:07:54 +0100
41.190.226.231,host-231-226.ringonet.info.,CM,"","",,false,0.99,2015-09-30 13:02:50 +0200,2014-12-30 00:50:57 +0100
41.211.108.4,ns2.iccnet.cm.,CM,"",9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.2,,false,0.86,2015-09-30 13:25:34 +0200,2014-12-30 12:53:26 +0100
41.205.87.188,"",CM,"","",,false,1.0,2015-09-30 13:36:21 +0200,2014-12-30 14:20:47 +0100
41.205.12.242,host12-242.mtn.cm.,CM,"","",,false,0.41,2015-09-30 15:44:44 +0200,2015-01-07 11:55:42 +0100
41.205.12.239,host12-239.mtn.cm.,CM,"","",,false,0.55,2015-09-30 15:46:08 +0200,2015-01-07 12:38:23 +0100
41.205.31.81,host31-81.mtn.cm.,CM,"","",,true,0.99,2015-09-30 15:59:32 +0200,2015-01-07 19:39:20 +0100
41.92.132.1,host-1-132.ringolabs.com.,CM,Yaoundé,"",,false,0.97,2015-09-30 16:03:08 +0200,2015-01-07 21:23:18 +0100
195.24.205.10,"",CM,"",Microsoft DNS 6.0.6001 (17714726),,false,0.93,2015-09-30 16:06:36 +0200,2015-01-07 22:57:59 +0100
41.205.8.193,host8-193.mtn.cm.,CM,"","",,false,0.4,2015-09-30 16:37:57 +0200,2015-01-08 15:37:00 +0100
41.204.87.29,"",CM,"","",,false,0.76,2015-09-30 16:38:46 +0200,2015-01-08 15:57:44 +0100
41.211.125.141,"",CM,"","",,false,0.81,2015-09-30 16:55:54 +0200,2015-01-09 00:58:48 +0100
41.205.18.15,host18-15.mtn.cm.,CM,"","",,false,0.38,2015-09-30 17:34:06 +0200,2015-01-09 21:12:41 +0100
41.92.205.247,host-247-205.ringonet.info.,CM,Ringo,"",,false,0.06,2015-09-30 17:40:46 +0200,2015-01-10 01:17:43 +0100
195.24.194.181,"",CM,"","",,false,0.95,2015-09-30 17:45:16 +0200,2015-01-10 03:48:22 +0100
41.205.18.87,host18-87.mtn.cm.,CM,"","",,false,0.41,2015-09-30 18:12:03 +0200,2015-01-10 18:05:30 +0100
41.205.18.122,host18-122.mtn.cm.,CM,"","",,false,0.27,2015-09-30 18:13:09 +0200,2015-01-10 18:35:04 +0100
41.205.18.59,host18-59.mtn.cm.,CM,"","",,false,0.43,2015-09-30 18:13:29 +0200,2015-01-10 18:43:30 +0100
41.205.18.92,host18-92.mtn.cm.,CM,"","",,false,0.43,2015-09-30 18:13:44 +0200,2015-01-10 18:51:09 +0100
41.205.18.113,host18-113.mtn.cm.,CM,"","",,false,0.17,2015-09-30 18:15:39 +0200,2015-01-10 19:41:10 +0100
41.205.18.75,host18-75.mtn.cm.,CM,"","",,true,0.92,2015-09-30 18:15:42 +0200,2015-01-10 19:42:22 +0100
41.205.12.240,host12-240.mtn.cm.,CM,"","",,false,0.44,2015-09-30 18:32:50 +0200,2015-01-11 06:22:47 +0100
41.205.31.79,host31-79.mtn.cm.,CM,"","",,false,1.0,2015-09-30 18:33:48 +0200,2015-01-11 07:01:35 +0100
41.205.12.233,host12-233.mtn.cm.,CM,"","",,false,0.46,2015-09-30 18:34:44 +0200,2015-01-11 07:34:08 +0100
41.202.209.15,"",CM,"","",,false,0.44,2015-09-30 18:42:16 +0200,2015-01-11 12:04:35 +0100
195.24.212.241,"",CM,"","",,false,1.0,2015-09-30 19:17:42 +0200,2015-01-12 06:14:50 +0100
195.24.204.198,"",CM,"","",,false,0.98,2015-09-30 19:25:50 +0200,2015-01-12 11:40:00 +0100
41.205.74.106,host74-106.creolink.com.,CM,"","",,false,1.0,2015-09-30 19:43:42 +0200,2015-01-12 22:32:47 +0100
