ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
114.114.114.114,public1.114dns.com.,CN,Nanjing,"",,false,1.0,2015-10-29 11:27:29 +0100,2013-06-21 03:10:16 +0200
114.114.115.115,public2.114dns.com.,CN,Nanjing,"",,false,1.0,2015-10-29 11:29:26 +0100,2014-06-27 08:58:49 +0200
210.2.4.8,"",CN,Beijing,"",,false,0.55,2015-10-29 11:29:30 +0100,2014-06-27 09:01:22 +0200
114.114.114.119,anti-malware-1.114dns.com.,CN,Nanjing,"",,false,1.0,2015-10-29 11:29:38 +0100,2014-08-14 20:16:27 +0200
1.2.4.8,"",CN,"","",,false,1.0,2015-10-29 11:29:44 +0100,2014-09-24 22:04:48 +0200
114.114.115.119,anti-malware-2.114dns.com.,CN,Nanjing,"",,false,1.0,2015-10-29 11:29:44 +0100,2014-09-24 22:04:56 +0200
180.76.76.76,public-dns-a.baidu.com.,CN,Beijing,baidu dns,,false,1.0,2015-10-29 11:29:46 +0100,2014-12-06 06:05:43 +0100
183.230.112.21,"",CN,"",dnsmasq-2.40,,false,0.99,2015-10-29 11:30:30 +0100,2014-12-27 11:22:44 +0100
211.99.197.19,ns1.hurray.com.,CN,Beijing,9.3.6-P1-RedHat-9.3.6-4.P1.el5,,false,0.93,2015-10-29 11:30:40 +0100,2014-12-27 15:17:35 +0100
59.73.198.195,"",CN,Changchun,"",,false,0.21,2015-10-29 11:30:44 +0100,2014-12-27 15:21:04 +0100
211.85.197.2,"",CN,Wuhan,9.3.4-P1,,false,0.23,2015-10-29 11:31:01 +0100,2014-12-27 15:22:49 +0100
203.100.81.35,"",CN,Beijing,"",,false,0.98,2015-10-29 11:31:02 +0100,2014-12-27 15:25:32 +0100
121.28.81.154,"",CN,Hebei,dnsmasq-,,false,0.87,2015-10-29 11:31:12 +0100,2014-12-27 15:27:18 +0100
125.93.54.30,"",CN,Guangzhou,"",,false,0.86,2015-10-29 11:31:35 +0100,2014-12-29 12:06:02 +0100
58.132.10.221,"",CN,Beijing,Microsoft DNS 6.0.6002 (1772487D),,false,0.97,2015-10-29 11:31:37 +0100,2014-12-29 12:06:07 +0100
117.79.157.154,"",CN,Beijing,Microsoft DNS 6.1.7601 (1DB1446A),,false,0.72,2015-10-29 11:31:46 +0100,2014-12-29 12:07:06 +0100
218.201.70.83,"",CN,Chongqing,dnsmasq-2.40,,false,0.98,2015-10-29 11:31:49 +0100,2014-12-29 12:07:57 +0100
120.194.119.55,"",CN,"",dnsmasq-2.55,,true,0.98,2015-10-29 11:31:58 +0100,2014-12-29 12:10:24 +0100
219.151.35.27,"",CN,Lhasa,"",,false,0.45,2015-10-29 11:32:04 +0100,2014-12-29 12:11:49 +0100
