ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
186.177.28.10,"",CR,San José,"",,false,1.0,2015-09-30 20:16:52 +0200,2014-12-29 12:37:47 +0100
186.177.57.5,"",CR,San José,dnsmasq-2.40,,false,0.99,2015-09-30 20:25:02 +0200,2014-12-29 13:55:40 +0100
201.199.200.161,cetac-sj-net.aviacion.go.cr.,CR,"","",,false,0.99,2015-09-30 20:25:07 +0200,2014-12-29 13:56:41 +0100
186.32.30.181,"",CR,San José,dnsmasq-2.40,,false,0.99,2015-09-30 20:25:15 +0200,2014-12-29 13:57:52 +0100
200.91.86.251,"",CR,"",dnsmasq-2.45,,true,0.99,2015-09-30 20:26:23 +0200,2014-12-29 14:07:30 +0100
201.193.205.162,"",CR,San José,dnsmasq-2.73,,false,1.0,2015-09-30 11:53:55 +0200,2014-12-29 14:35:12 +0100
191.102.57.58,"",CR,San José,"",,false,0.99,2015-09-30 12:00:12 +0200,2014-12-29 15:11:37 +0100
186.176.170.139,"",CR,San José,dnsmasq-2.40,,false,0.99,2015-09-30 12:04:45 +0200,2014-12-29 15:38:06 +0100
186.176.146.252,"",CR,San José,dnsmasq-2.40,,true,0.99,2015-09-30 12:12:47 +0200,2014-12-29 16:21:03 +0100
181.193.20.242,"",CR,San José,dnsmasq-2.72,,false,0.99,2015-09-30 12:17:39 +0200,2014-12-29 16:48:24 +0100
200.91.71.194,www.secmca.org.,CR,San José,"",,false,0.99,2015-09-30 12:26:24 +0200,2014-12-29 18:13:50 +0100
186.15.32.106,mecatronicscr.com.,CR,San José,"",,false,0.99,2015-09-30 12:27:52 +0200,2014-12-29 18:27:31 +0100
186.176.24.8,"",CR,San José,"",,false,0.99,2015-09-30 12:33:17 +0200,2014-12-29 19:11:59 +0100
201.206.131.117,rpc.megasuper.com.,CR,"","",,false,1.0,2015-09-30 12:34:06 +0200,2014-12-29 19:19:02 +0100
200.122.151.247,mail.grupom.net.,CR,San José,"",,false,0.99,2015-09-30 12:38:53 +0200,2014-12-29 20:11:07 +0100
181.193.32.162,"",CR,San José,dnsmasq-2.40,,true,0.07,2015-09-30 12:49:30 +0200,2014-12-29 21:48:26 +0100
186.176.152.118,"",CR,San José,dnsmasq-2.40,,true,1.0,2015-09-30 12:57:31 +0200,2014-12-29 22:59:31 +0100
191.102.56.57,"",CR,San José,"",,false,0.99,2015-09-30 13:23:16 +0200,2014-12-30 12:31:51 +0100
181.193.68.210,"",CR,Cartago,dnsmasq-2.40,,true,0.62,2015-09-30 13:30:59 +0200,2014-12-30 13:40:09 +0100
181.193.69.130,"",CR,Cartago,Microsoft DNS 6.0.6001 (17714726),,false,0.99,2015-09-30 13:37:50 +0200,2014-12-30 14:36:07 +0100
186.4.51.133,"",CR,San José,dnsmasq-2.40,,false,0.97,2015-09-30 13:41:16 +0200,2014-12-30 15:13:14 +0100
186.176.58.235,"",CR,San José,dnsmasq-2.40,,false,1.0,2015-09-30 13:46:52 +0200,2014-12-30 16:09:14 +0100
190.211.106.149,"",CR,San José,dnsmasq-2.40,,true,0.97,2015-09-30 13:48:55 +0200,2014-12-30 16:25:19 +0100
201.207.101.138,"",CR,Cartago,"",,false,0.99,2015-09-30 13:51:44 +0200,2014-12-30 16:48:02 +0100
190.106.64.102,"",CR,"","",,false,0.91,2015-09-30 13:55:13 +0200,2014-12-30 17:28:20 +0100
190.211.106.194,"",CR,San José,dnsmasq-2.40,,true,1.0,2015-09-30 13:59:27 +0200,2014-12-30 18:22:26 +0100
190.241.5.11,"",CR,San José,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-09-30 14:07:08 +0200,2014-12-30 19:55:03 +0100
