ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
194.42.157.236,"",CY,"","",,false,0.99,2015-10-23 00:03:14 +0200,2014-12-29 13:59:42 +0100
213.7.208.230,213-208-230.netrun.cytanet.com.cy.,CY,"","",,false,0.48,2015-10-23 00:08:36 +0200,2014-12-29 14:36:50 +0100
213.7.208.244,213-208-244.netrun.cytanet.com.cy.,CY,"","",,false,0.54,2015-10-23 00:08:49 +0200,2014-12-29 14:38:17 +0100
194.154.133.222,officesrv.spidernet.net.,CY,"","",,false,1.0,2015-10-23 00:09:23 +0200,2014-12-29 14:42:15 +0100
213.7.208.233,213-208-233.netrun.cytanet.com.cy.,CY,"","",,false,0.51,2015-10-23 00:11:47 +0200,2014-12-29 14:54:39 +0100
213.7.208.238,213-208-238.netrun.cytanet.com.cy.,CY,"","",,false,0.62,2015-10-23 00:12:40 +0200,2014-12-29 14:58:50 +0100
188.64.136.142,"",CY,"",dnsmasq-2.63rc6,,false,1.0,2015-10-23 00:13:14 +0200,2014-12-29 15:03:34 +0100
213.7.208.229,213-208-229.netrun.cytanet.com.cy.,CY,"","",,false,0.6,2015-10-23 00:17:27 +0200,2014-12-29 15:26:57 +0100
213.7.208.237,213-208-237.netrun.cytanet.com.cy.,CY,"","",,false,0.57,2015-10-23 00:21:31 +0200,2014-12-29 15:48:46 +0100
213.7.208.242,213-208-242.netrun.cytanet.com.cy.,CY,"","",,false,0.55,2015-10-23 00:23:48 +0200,2014-12-29 16:01:08 +0100
194.42.150.18,cpe-357163.ip.primehome.com.,CY,Paphos,9.5.1-P2,,false,0.82,2015-10-23 00:43:40 +0200,2014-12-29 18:28:37 +0100
62.152.17.248,cpe-191634.ip.primehome.com.,CY,Nicosia,9.5.1-P2,,false,0.76,2015-10-23 00:48:42 +0200,2014-12-29 19:11:38 +0100
62.152.17.87,cpe-194584.ip.primehome.com.,CY,Nicosia,9.5.1-P2,,false,0.84,2015-10-23 00:57:06 +0200,2014-12-29 20:44:26 +0100
82.102.93.140,"",CY,Paphos,dnsmasq-2.40,,false,1.0,2015-10-23 01:36:39 +0200,2014-12-30 11:57:55 +0100
82.102.93.145,"",CY,Paphos,dnsmasq-2.40,,false,1.0,2015-10-23 01:38:05 +0200,2014-12-30 12:10:51 +0100
212.50.97.170,bcable.nie.cablenet-as.net.,CY,Nicosia,"",,false,1.0,2015-10-23 01:38:22 +0200,2014-12-30 12:13:03 +0100
82.102.93.147,"",CY,Paphos,dnsmasq-2.40,,false,1.0,2015-10-23 01:39:22 +0200,2014-12-30 12:23:09 +0100
82.102.93.141,"",CY,Paphos,dnsmasq-2.40,,false,1.0,2015-10-23 01:39:32 +0200,2014-12-30 12:24:48 +0100
82.102.93.139,"",CY,Paphos,dnsmasq-2.40,,false,0.29,2015-10-23 01:40:10 +0200,2014-12-30 12:29:33 +0100
82.102.93.132,"",CY,Paphos,dnsmasq-2.40,,false,1.0,2015-10-23 01:42:33 +0200,2014-12-30 12:51:23 +0100
82.102.93.135,"",CY,Paphos,dnsmasq-2.40,,false,1.0,2015-10-23 01:43:04 +0200,2014-12-30 12:55:56 +0100
82.102.93.152,"",CY,Paphos,dnsmasq-2.40,,false,1.0,2015-10-23 01:43:24 +0200,2014-12-30 12:58:37 +0100
82.102.93.148,"",CY,Paphos,dnsmasq-2.40,,false,1.0,2015-10-23 01:43:43 +0200,2014-12-30 13:00:56 +0100
212.31.118.19,"",CY,Nicosia,"",,false,0.97,2015-10-23 01:44:57 +0200,2014-12-30 13:11:58 +0100
82.102.93.143,"",CY,Paphos,dnsmasq-2.40,,false,1.0,2015-10-23 01:48:23 +0200,2014-12-30 13:40:25 +0100
82.102.93.133,"",CY,Paphos,dnsmasq-2.40,,false,1.0,2015-10-23 01:48:35 +0200,2014-12-30 13:42:12 +0100
82.102.93.149,"",CY,Paphos,dnsmasq-2.40,,false,1.0,2015-10-23 01:50:46 +0200,2014-12-30 13:59:56 +0100
82.102.93.134,"",CY,Paphos,dnsmasq-2.40,,false,1.0,2015-10-23 01:53:18 +0200,2014-12-30 14:17:19 +0100
212.50.124.112,"",CY,"","",,false,1.0,2015-10-23 01:53:45 +0200,2014-12-30 14:19:35 +0100
81.4.168.82,81-168-82.netrunb.cytanet.com.cy.,CY,"","",,true,0.99,2015-10-23 01:54:36 +0200,2014-12-30 14:28:36 +0100
78.158.133.203,cpe-189611.ip.primehome.com.,CY,"",9.5.1-P2,,false,0.76,2015-10-23 02:09:38 +0200,2014-12-30 16:48:39 +0100
194.42.143.242,"",CY,"","",,false,0.99,2015-10-23 02:12:05 +0200,2014-12-30 17:16:37 +0100
217.175.209.41,bizchrikar.spidernet.com.cy.,CY,"",9.3.1,,false,0.88,2015-10-23 02:15:38 +0200,2014-12-30 17:59:27 +0100
82.102.114.123,"",CY,Limassol,9.5.1-P2,,false,0.81,2015-10-23 02:18:24 +0200,2014-12-30 18:34:50 +0100
87.228.203.58,mail.evo-capital.com.,CY,"","",,false,0.99,2015-10-23 02:21:30 +0200,2014-12-30 19:13:33 +0100
213.7.208.220,213-208-220.netrun.cytanet.com.cy.,CY,"","",,false,0.6,2015-10-22 17:42:31 +0200,2014-12-31 20:01:08 +0100
213.7.195.194,nb15-194.static.cytanet.com.cy.,CY,"","",,true,1.0,2015-10-22 18:04:51 +0200,2015-01-06 01:34:56 +0100
93.109.240.46,93-240-46.netrun.cytanet.com.cy.,CY,"","",,false,0.99,2015-10-22 18:10:01 +0200,2015-01-06 04:09:14 +0100
93.89.236.75,93-89-236-75.fbs.com.tr.,CY,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,1.0,2015-10-22 18:10:30 +0200,2015-01-06 04:21:25 +0100
194.30.144.5,shcir-5.logos.cy.net.,CY,"","",,false,1.0,2015-10-22 18:11:17 +0200,2015-01-06 04:45:29 +0100
212.50.96.133,digitrade.com.cy.,CY,Larnaca,Microsoft DNS 6.1.7601 (1DB1446A),,false,0.97,2015-10-22 18:19:21 +0200,2015-01-06 08:39:51 +0100
194.154.132.178,mail.triantafyllides.com.,CY,"","",,false,0.9,2015-10-22 18:22:36 +0200,2015-01-06 10:18:26 +0100
213.7.208.245,213-208-245.netrun.cytanet.com.cy.,CY,"","",,false,0.54,2015-10-22 18:30:03 +0200,2015-01-06 13:27:44 +0100
213.7.208.236,213-208-236.netrun.cytanet.com.cy.,CY,"","",,false,0.53,2015-10-22 18:31:21 +0200,2015-01-06 14:01:49 +0100
217.27.52.117,ath0.interorient2thq.bkp.thfast.lim.thunderworx.net.,CY,"",dnsmasq-2.35,,false,1.0,2015-10-22 18:31:24 +0200,2015-01-06 14:07:05 +0100
213.7.208.234,213-208-234.netrun.cytanet.com.cy.,CY,"","",,false,0.58,2015-10-22 18:32:19 +0200,2015-01-06 14:27:38 +0100
213.7.200.139,nb20-139.static.cytanet.com.cy.,CY,"",No version info available (refused).,,false,0.99,2015-10-22 18:32:33 +0200,2015-01-06 14:35:05 +0100
213.7.208.199,213-208-199.netrun.cytanet.com.cy.,CY,"","",,false,0.55,2015-10-22 18:40:56 +0200,2015-01-06 18:11:19 +0100
213.7.208.193,213-208-193.netrun.cytanet.com.cy.,CY,"","",,false,0.52,2015-10-22 18:40:59 +0200,2015-01-06 18:11:33 +0100
213.7.208.191,213-208-191.netrun.cytanet.com.cy.,CY,"","",,false,0.52,2015-10-22 18:41:31 +0200,2015-01-06 18:24:10 +0100
213.7.208.198,213-208-198.netrun.cytanet.com.cy.,CY,"","",,false,0.57,2015-10-22 18:42:48 +0200,2015-01-06 18:57:10 +0100
213.7.208.225,213-208-225.netrun.cytanet.com.cy.,CY,"","",,false,0.58,2015-10-22 18:42:49 +0200,2015-01-06 18:58:45 +0100
213.7.208.207,213-208-207.netrun.cytanet.com.cy.,CY,"","",,false,0.59,2015-10-22 18:42:51 +0200,2015-01-06 18:59:14 +0100
213.7.208.188,213-208-188.netrun.cytanet.com.cy.,CY,"","",,false,0.61,2015-10-22 18:43:17 +0200,2015-01-06 19:06:23 +0100
213.7.208.208,213-208-208.netrun.cytanet.com.cy.,CY,"","",,false,0.54,2015-10-22 18:43:23 +0200,2015-01-06 19:07:30 +0100
213.7.208.222,213-208-222.netrun.cytanet.com.cy.,CY,"","",,false,0.59,2015-10-22 18:43:19 +0200,2015-01-06 19:08:19 +0100
