ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
195.113.144.194,ns.cesnet.cz.,CZ,"",unbound 1.5.4,,true,1.0,2015-10-29 11:26:33 +0100,2013-01-30 18:46:01 +0100
95.173.193.3,db.ispadmin.eu.,CZ,"",9.7.3,,false,1.0,2015-10-29 11:26:51 +0100,2013-03-24 04:18:41 +0100
193.138.78.116,dns01.viphone.cz.,CZ,"",9.9.4-P2,,false,1.0,2015-10-29 11:26:54 +0100,2013-04-23 02:12:26 +0200
193.138.78.117,dns02.viphone.cz.,CZ,"",9.9.4-P2,,false,1.0,2015-10-29 11:26:54 +0100,2013-04-23 02:12:26 +0200
193.86.86.2,ns.pravo.cz.,CZ,"",9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-29 11:26:58 +0100,2013-04-23 02:18:41 +0200
194.213.193.5,ns.sipral.cz.,CZ,"",9.7.3,,false,1.0,2015-10-29 11:26:59 +0100,2013-04-23 02:23:35 +0200
213.211.50.1,devil.thcnet.cz.,CZ,Brno,9.10.3,,false,0.99,2015-10-29 11:27:08 +0100,2013-04-23 02:54:10 +0200
213.211.50.2,homer.thcnet.cz.,CZ,Brno,9.10.0-P2,,false,1.0,2015-10-29 11:27:08 +0100,2013-04-23 02:54:10 +0200
62.168.59.67,"",CZ,"",9.3.6-P1-RedHat-9.3.6-16.P1.el5_7.1,,false,1.0,2015-10-29 11:27:14 +0100,2013-04-23 03:05:09 +0200
62.77.85.100,ns1.hespro.cz.,CZ,"",9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.3,,false,0.98,2015-10-29 11:27:13 +0100,2013-04-23 03:07:26 +0200
62.77.85.98,ns.hespro.cz.,CZ,"",9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.4,,false,0.99,2015-10-29 11:27:13 +0100,2013-04-23 03:07:27 +0200
62.77.94.72,ns1.wnet.cz.,CZ,"",9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.3,,false,0.98,2015-10-29 11:27:13 +0100,2013-04-23 03:07:27 +0200
