ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
194.150.168.168,dns.as250.net.,DE,"","",,true,1.0,2015-09-30 20:08:16 +0200,2009-05-13 03:05:07 +0200
213.73.91.35,dnscache.berlin.ccc.de.,DE,Berlin,42,,false,0.99,2015-09-30 20:08:16 +0200,2009-05-13 03:05:07 +0200
212.82.225.7,resolver0.de.clara.net.,DE,"",ClaraDNS 3.14159265/ixf-nscn1,,false,1.0,2015-09-30 20:08:18 +0200,2009-05-13 15:12:56 +0200
212.82.226.212,resolver1.de.clara.net.,DE,"",ClaraDNS 3.14159265/ixf-nscn1,,false,0.99,2015-09-30 20:08:18 +0200,2009-05-13 15:12:56 +0200
194.25.0.68,resolv-F.DTAG.DE.,DE,"",DomainNameServer,,false,1.0,2015-09-30 20:08:16 +0200,2009-05-15 14:50:51 +0200
141.1.1.1,cns1.cw.net.,DE,"",DNS server,,false,0.95,2015-09-30 20:08:18 +0200,2009-05-25 12:50:35 +0200
213.239.204.35,mail.lkrauss.de.,DE,Nuremberg,9.9.7-P2,,false,1.0,2015-09-30 20:08:21 +0200,2009-05-27 20:58:53 +0200
82.96.81.10,ns1.ec-c.net.,DE,"",planet-ns,,false,1.0,2015-09-30 20:08:19 +0200,2009-08-07 22:39:24 +0200
195.182.110.132,dns-fra.de.ignite.net.,DE,"","",,false,0.99,2015-09-30 20:08:19 +0200,2009-08-07 22:40:40 +0200
194.25.0.52,resolv-L.DTAG.DE.,DE,"",DomainNameServer,,false,0.99,2015-09-30 20:08:19 +0200,2009-08-07 22:40:41 +0200
212.211.132.4,ns2.scan-plus.de.,DE,"",SPXS DNS SERVICES,,false,1.0,2015-09-30 20:08:19 +0200,2009-08-07 22:44:24 +0200
213.30.253.65,mail.inxmail.de.,DE,"",9.5.1-P2.1,,false,1.0,2015-09-30 20:08:19 +0200,2009-08-07 22:44:26 +0200
145.253.2.6,"",DE,"","",,false,0.95,2015-09-30 20:08:19 +0200,2009-08-07 22:44:35 +0200
213.68.194.51,"",DE,"",PepsiCola5,,false,1.0,2015-09-30 20:08:20 +0200,2009-08-07 22:44:36 +0200
