ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
200.88.127.23,nszn2.codetel.net.do.,DO,Santo Domingo,"",,false,0.99,2015-10-29 11:25:57 +0100,2009-05-15 14:50:47 +0200
200.88.127.22,nszn1.codetel.net.do.,DO,Santo Domingo,"",,false,0.99,2015-10-29 11:25:57 +0100,2009-05-15 14:50:47 +0200
66.98.34.92,92sdl.codetel.net.do.,DO,Santo Domingo,"",,false,1.0,2015-10-29 11:46:07 +0100,2014-12-29 14:24:22 +0100
196.3.86.82,82.86.3.196.l.sta.codetel.net.do.,DO,Santo Domingo,"",,false,1.0,2015-10-29 12:01:09 +0100,2014-12-29 15:52:16 +0100
190.80.240.218,218.240.80.190.m.sta.codetel.net.do.,DO,Santo Domingo,"",,false,1.0,2015-10-29 12:05:10 +0100,2014-12-29 16:12:50 +0100
181.36.7.21,"",DO,Santo Domingo,"",,false,0.45,2015-10-29 12:28:31 +0100,2014-12-29 19:19:37 +0100
66.98.34.58,58sdl.codetel.net.do.,DO,Santo Domingo,"",,false,0.88,2015-10-29 12:48:51 +0100,2014-12-29 22:25:59 +0100
190.167.199.210,210.199.167.190.m.sta.codetel.net.do.,DO,Santo Domingo,"",,false,0.99,2015-10-29 12:57:14 +0100,2014-12-30 00:46:05 +0100
181.36.9.45,"",DO,Santo Domingo,"",,false,0.94,2015-10-29 13:07:01 +0100,2014-12-30 10:34:24 +0100
190.106.118.118,helpdesk.estrelatel.com.,DO,"",9.8.2rc1-RedHat-9.8.2-0.10.rc1.el6_3.6,,true,0.99,2015-10-29 13:23:27 +0100,2014-12-30 13:15:56 +0100
200.88.113.26,26.113.88.200.m.sta.codetel.net.do.,DO,Santo Domingo,dnsmasq-2.45,,true,1.0,2015-10-29 13:24:51 +0100,2014-12-30 13:28:41 +0100
200.88.114.60,mail.cepm.com.do.,DO,Santo Domingo,"",,false,0.93,2015-10-29 13:25:08 +0100,2014-12-30 13:31:01 +0100
186.120.184.35,adsl-184-35.tricom.net.,DO,Santo Domingo,Microsoft DNS 6.1.7601 (1DB14556),,false,0.72,2015-10-29 13:27:08 +0100,2014-12-30 13:47:26 +0100
191.97.89.21,"",DO,Santo Domingo,"",,false,0.99,2015-10-29 13:53:23 +0100,2014-12-30 18:02:04 +0100
