ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
196.41.225.10,"",DZ,Cheraga,"",,false,0.99,2015-10-29 11:29:11 +0100,2014-05-19 05:47:22 +0200
196.41.225.11,"",DZ,Cheraga,"",,false,1.0,2015-10-29 11:29:11 +0100,2014-05-19 05:47:22 +0200
196.41.228.47,linfra.dz.,DZ,Cheraga,Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-29 11:31:00 +0100,2014-12-27 15:24:24 +0100
81.52.166.190,bentmsrv2.bentini.dz.,DZ,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 11:43:34 +0100,2014-12-29 14:04:50 +0100
193.194.93.153,"",DZ,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.73,2015-10-29 11:55:41 +0100,2014-12-29 15:21:27 +0100
81.52.169.78,mail.esaa.dz.,DZ,"",9.7.0-P1,,false,1.0,2015-10-29 12:10:26 +0100,2014-12-29 16:40:37 +0100
41.200.250.206,"",DZ,"",dnsmasq-2.23,,true,0.1,2015-10-29 13:04:35 +0100,2014-12-30 09:59:05 +0100
193.194.83.131,"",DZ,"",9.3.4-P1.1,,false,0.87,2015-10-29 13:12:42 +0100,2014-12-30 11:38:24 +0100
193.194.87.235,"",DZ,"","",,false,0.81,2015-10-29 13:22:32 +0100,2014-12-30 13:07:25 +0100
81.52.169.254,mailwx.kougc.dz.,DZ,"","",,false,0.92,2015-10-29 13:25:09 +0100,2014-12-30 13:31:24 +0100
193.194.87.137,mail1.univ-saida.dz.,DZ,"",dnsmasq-2.52,,false,0.98,2015-10-29 15:11:18 +0100,2015-01-06 20:22:57 +0100
193.194.91.36,"",DZ,"","",,false,0.97,2015-10-29 15:52:37 +0100,2015-01-07 17:45:32 +0100
193.194.70.66,server.ensb.dz.,DZ,Algiers,9.3.3rc2,,false,0.88,2015-10-29 08:23:19 +0100,2015-01-09 06:52:47 +0100
41.106.5.66,"",DZ,"",Version: main/17936,,false,0.98,2015-10-29 09:28:25 +0100,2015-01-10 18:09:34 +0100
41.110.179.162,"",DZ,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.9,2015-10-29 10:18:31 +0100,2015-01-11 22:20:59 +0100
105.96.22.7,"",DZ,"",dnsmasq-2.23,,true,0.16,2015-10-29 10:19:01 +0100,2015-01-11 22:37:14 +0100
41.77.178.219,178.77.41-wimax.slc.dz.,DZ,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.95,2015-10-29 10:29:36 +0100,2015-01-12 03:39:21 +0100
