ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
186.46.130.66,66.pichincha.andinanet.net.,EC,Quito,"",,false,0.98,2015-10-29 11:34:35 +0100,2014-12-29 12:43:00 +0100
190.216.109.34,"",EC,Quito,"",,false,0.98,2015-10-29 11:36:21 +0100,2014-12-29 12:58:38 +0100
200.24.202.135,mail.atimasa.com.ec.,EC,Quito,"",,false,0.98,2015-10-29 11:39:11 +0100,2014-12-29 13:21:28 +0100
200.7.199.146,"",EC,Quito,"",,false,0.97,2015-10-29 11:40:50 +0100,2014-12-29 13:38:05 +0100
181.39.15.84,"",EC,Guayaquil,"",,false,1.0,2015-10-29 11:41:49 +0100,2014-12-29 13:48:40 +0100
186.69.255.104,104.186-69-255.cue.satnet.net.,EC,Cuenca,dnsmasq-2.40,,false,0.95,2015-10-29 11:42:01 +0100,2014-12-29 13:50:21 +0100
186.3.0.174,"",EC,Guayaquil,"",,false,1.0,2015-10-29 11:44:45 +0100,2014-12-29 14:14:13 +0100
200.55.254.105,host-200-55-254-105.access.ec.,EC,Machala,"",,false,0.85,2015-10-29 11:52:17 +0100,2014-12-29 15:00:16 +0100
181.198.105.18,"",EC,Guayaquil,"",,false,0.98,2015-10-29 11:53:17 +0100,2014-12-29 15:06:48 +0100
200.112.218.41,host-200-112-218-41-gilauco.com.,EC,Guayaquil,"",,false,0.99,2015-10-29 11:53:30 +0100,2014-12-29 15:07:58 +0100
190.152.89.16,mail.mef.gov.ec.,EC,Quito,9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.4,,false,0.98,2015-10-29 11:54:04 +0100,2014-12-29 15:11:31 +0100
190.152.89.12,mail1.finanzas.gob.ec.,EC,Quito,9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.6,,false,0.94,2015-10-29 11:55:29 +0100,2014-12-29 15:20:01 +0100
190.214.42.2,2.pichincha.andinanet.net.,EC,Quito,9.9.4-RedHat-9.9.4-18.el7_1.3,,false,1.0,2015-10-29 11:55:30 +0100,2014-12-29 15:20:22 +0100
190.152.89.23,23.pichincha.andinanet.net.,EC,Quito,9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6,,false,0.98,2015-10-29 11:55:49 +0100,2014-12-29 15:22:15 +0100
186.101.255.198,"",EC,Guayaquil,"",,false,1.0,2015-10-29 11:56:25 +0100,2014-12-29 15:25:14 +0100
190.152.89.2,2.pichincha.andinanet.net.,EC,Quito,9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6,,false,0.97,2015-10-29 11:59:48 +0100,2014-12-29 15:44:32 +0100
186.5.77.66,eurolatina.com.ec.,EC,Guayaquil,Microsoft DNS 6.1.7600 (1DB04228),,false,0.7,2015-10-29 12:01:10 +0100,2014-12-29 15:52:03 +0100
190.11.241.178,"",EC,Quito,dnsmasq-2.48,,true,1.0,2015-10-29 12:02:14 +0100,2014-12-29 15:57:25 +0100
190.152.89.9,9.pichincha.andinanet.net.,EC,Quito,9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6,,false,0.99,2015-10-29 12:03:16 +0100,2014-12-29 16:03:14 +0100
190.152.89.14,14.pichincha.andinanet.net.,EC,Quito,9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6,,false,0.99,2015-10-29 12:05:26 +0100,2014-12-29 16:14:25 +0100
186.101.12.174,"",EC,Guayaquil,dnsmasq-2.62,,false,0.97,2015-10-29 12:06:07 +0100,2014-12-29 16:17:54 +0100
190.152.15.78,ip78-ind.eppetroecuador.ec.,EC,Quito,"",,false,0.84,2015-10-29 12:06:46 +0100,2014-12-29 16:20:57 +0100
190.152.89.29,mail.finanzas.gob.ec.,EC,Quito,9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6,,false,0.98,2015-10-29 12:07:47 +0100,2014-12-29 16:26:07 +0100
201.219.57.3,"",EC,Banos,"",,false,0.97,2015-10-29 12:09:31 +0100,2014-12-29 16:34:30 +0100
181.113.57.194,194.default.location.,EC,Quito,dnsmasq-2.33,,true,0.94,2015-10-29 12:09:33 +0100,2014-12-29 16:35:25 +0100
190.90.187.30,"",EC,Quito,"",,false,0.9,2015-10-29 12:10:55 +0100,2014-12-29 16:43:33 +0100
190.111.89.5,customer190-89-5.porta.net.,EC,Guayaquil,"",,false,0.99,2015-10-29 12:11:32 +0100,2014-12-29 16:47:59 +0100
186.101.11.213,"",EC,Guayaquil,dnsmasq-2.55,,true,0.99,2015-10-29 12:14:28 +0100,2014-12-29 17:08:13 +0100
