ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
212.122.224.10,"",EG,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-09-30 20:11:40 +0200,2014-05-19 07:25:15 +0200
62.117.40.112,afmicdns3.afmic.gov.eg.,EG,"",Microsoft DNS 6.1.7601 (1DB1557D),,false,1.0,2015-09-30 20:11:41 +0200,2014-05-19 08:37:55 +0200
196.201.27.5,"",EG,"","",,true,0.97,2015-09-30 20:13:40 +0200,2014-12-27 15:26:49 +0100
196.218.205.146,host-196.218.205.146-static.tedata.net.,EG,"",Microsoft DNS 6.0.6001 (17714726),,false,0.83,2015-09-30 20:16:48 +0200,2014-12-29 12:37:32 +0100
41.38.134.3,host-41.38.134.3.tedata.net.,EG,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.98,2015-09-30 20:17:59 +0200,2014-12-29 12:50:19 +0100
41.187.101.13,"",EG,"",Microsoft DNS 6.0.6001 (17714726),,false,1.0,2015-09-30 20:19:31 +0200,2014-12-29 13:03:48 +0100
163.121.217.235,host-163.121.217.235.tedata.net.,EG,Cairo,"",,false,1.0,2015-09-30 20:19:35 +0200,2014-12-29 13:04:50 +0100
197.44.28.14,host-197.44.28.14-static.tedata.net.,EG,Giza,"",,false,0.99,2015-09-30 20:27:36 +0200,2014-12-29 14:16:42 +0100
41.41.107.38,host-41.41.107.38.tedata.net.,EG,"","",,false,0.99,2015-09-30 11:57:24 +0200,2014-12-29 14:55:03 +0100
41.38.107.17,host-41.38.107.17.tedata.net.,EG,"",dnsmasq-2.52,,true,0.86,2015-09-30 12:03:46 +0200,2014-12-29 15:32:39 +0100
41.41.44.155,host-41.41.44.155.tedata.net.,EG,"",dnsmasq-2.40,,false,0.83,2015-09-30 12:06:45 +0200,2014-12-29 15:49:29 +0100
81.10.55.230,host-81.10.55.230-static.tedata.net.,EG,"","",,false,0.95,2015-09-30 12:08:04 +0200,2014-12-29 15:56:49 +0100
81.10.16.250,host-81.10.16.250-static.tedata.net.,EG,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.98,2015-09-30 12:08:40 +0200,2014-12-29 15:59:27 +0100
41.41.68.203,kvs.edu.eg.,EG,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.99,2015-09-30 12:09:05 +0200,2014-12-29 16:01:17 +0100
196.204.198.45,mail1.banqueducaire.com.,EG,"","",,false,1.0,2015-09-30 12:10:47 +0200,2014-12-29 16:10:36 +0100
41.33.198.162,host-41.33.198.162.tedata.net.,EG,"","",,false,0.9,2015-09-30 12:12:12 +0200,2014-12-29 16:17:56 +0100
212.12.234.99,"",EG,"",dnsmasq-2.39,,true,1.0,2015-09-30 12:12:26 +0200,2014-12-29 16:19:03 +0100
193.227.17.30,"",EG,"","",,false,0.93,2015-09-30 12:13:29 +0200,2014-12-29 16:24:17 +0100
197.45.28.144,host-197.45.28.144.tedata.net.,EG,"","",,false,0.98,2015-09-30 12:13:35 +0200,2014-12-29 16:25:22 +0100
81.10.9.242,host-81.10.9.242-static.tedata.net.,EG,"","",,false,0.3,2015-09-30 12:17:27 +0200,2014-12-29 16:47:53 +0100
