ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
212.50.131.153,ns3.suomi.net.,FI,"",9.8.1-P1,,true,0.12,2015-10-22 23:47:45 +0200,2013-08-08 06:53:27 +0200
213.139.190.3,ns4.suomi.net.,FI,"",9.8.1-P1,,true,0.24,2015-10-22 23:47:49 +0200,2013-08-08 06:53:30 +0200
77.105.71.167,77-105-71-167.lpok.fi.,FI,Loviisa,dnsmasq-2.59,,false,0.99,2015-10-22 23:51:21 +0200,2014-12-27 15:28:23 +0100
212.83.122.2,"",FI,"",dnsmasq-2.48,,true,1.0,2015-10-23 00:05:38 +0200,2014-12-29 14:19:31 +0100
194.100.34.62,"",FI,"",dnsmasq-2.66,,false,0.97,2015-10-23 00:20:56 +0200,2014-12-29 15:47:14 +0100
62.237.205.208,h-host16.wsexpogroup.fi.,FI,"","",,false,1.0,2015-10-23 00:25:48 +0200,2014-12-29 16:11:25 +0100
62.106.59.147,ns.parkano.fi.,FI,"","",,false,1.0,2015-10-23 00:37:25 +0200,2014-12-29 17:27:58 +0100
193.184.21.194,ws194.bonusinn.fi.,FI,Helsinki,ZyWALL DNS,,false,1.0,2015-10-23 01:05:51 +0200,2014-12-29 21:53:02 +0100
193.185.21.195,"",FI,"","",,false,1.0,2015-10-23 01:10:05 +0200,2014-12-29 22:24:31 +0100
81.209.34.3,dv3.netikka.fi.,FI,"",dnsmasq-2.27,,false,1.0,2015-10-23 01:20:22 +0200,2014-12-30 01:14:38 +0100
91.197.209.222,opendns.fi.,FI,"",ZDC,,false,1.0,2015-10-23 01:25:11 +0200,2014-12-30 09:40:33 +0100
213.157.95.175,dyn-213-157-95-175.vessonet.fi.,FI,"",dnsmasq-2.40,,true,1.0,2015-10-23 01:28:40 +0200,2014-12-30 10:31:29 +0100
213.157.95.137,"",FI,"",dnsmasq-2.40,,true,0.99,2015-10-23 01:29:37 +0200,2014-12-30 10:43:40 +0100
85.131.12.187,85-131-12-187.co.dnainternet.fi.,FI,"",dnsmasq-2.75,,false,1.0,2015-10-23 01:33:33 +0200,2014-12-30 11:30:09 +0100
89.236.102.218,59ec66da.adsl.tnnet.fi.,FI,"",9.9.3-P2,,true,1.0,2015-10-23 01:48:21 +0200,2014-12-30 13:40:23 +0100
151.105.98.8,ns2.poyry.com.,FI,Vantaa,"",,false,0.99,2015-10-23 02:07:20 +0200,2014-12-30 16:30:41 +0100
83.102.69.175,ns1.mansoft.fi.,FI,"","",,false,1.0,2015-10-23 02:13:07 +0200,2014-12-30 17:30:03 +0100
46.163.200.247,46-163-200-247.blcnet.fi.,FI,"",dnsmasq-2.40,,false,0.89,2015-10-23 02:18:37 +0200,2014-12-30 18:37:45 +0100
83.102.69.176,ns2.mansoft.fi.,FI,"","",,false,1.0,2015-10-23 02:22:05 +0200,2014-12-30 19:19:24 +0100
212.213.129.68,"",FI,"","",,false,1.0,2015-10-22 17:42:18 +0200,2014-12-31 19:56:18 +0100
62.183.229.202,62-183-229-202.co.dnainternet.fi.,FI,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.97,2015-10-22 17:44:47 +0200,2014-12-31 21:13:23 +0100
84.248.72.25,dsl-hkibrasgw4-54f848-25.dhcp.inet.fi.,FI,Helsinki,dnsmasq-2.48,,true,1.0,2015-10-22 17:46:53 +0200,2014-12-31 22:10:15 +0100
217.30.176.134,kanelikorppu.net.,FI,Helsinki,dnsmasq-2.15,,true,0.96,2015-10-22 17:56:36 +0200,2015-01-05 20:54:42 +0100
62.148.212.156,r156.netikka.fi.,FI,"",9.4.3-P3,,false,1.0,2015-10-22 17:59:27 +0200,2015-01-05 22:26:38 +0100
83.102.45.115,83-102-45-115.co.dnainternet.fi.,FI,Tampere,Microsoft DNS 6.0.6001 (17714726),,false,1.0,2015-10-22 18:00:21 +0200,2015-01-05 22:54:12 +0100
80.248.249.124,80-248-249-124.cust.suomicom.net.,FI,"",dnsmasq-2.48,,true,1.0,2015-10-22 18:03:02 +0200,2015-01-06 00:26:57 +0100
83.150.100.158,"",FI,"",dnsmasq-2.15,,true,1.0,2015-10-22 18:03:04 +0200,2015-01-06 00:28:35 +0100
87.94.74.148,87-94-74-148.customers.tampereenpuhelin.net.,FI,"",9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.2,,false,1.0,2015-10-22 18:06:49 +0200,2015-01-06 02:35:04 +0100
62.142.234.11,ns1.alphacom.fi.,FI,"","",,false,1.0,2015-10-22 18:08:46 +0200,2015-01-06 03:26:24 +0100
80.75.108.68,oul214-gw4.netplaza.fi.,FI,Oulu,dnsmasq-2.51,,false,1.0,2015-10-22 18:19:09 +0200,2015-01-06 08:33:12 +0100
213.216.208.66,"",FI,Oulu,Microsoft DNS 6.0.6002 (1772487D),,false,0.99,2015-10-22 18:21:02 +0200,2015-01-06 09:31:18 +0100
88.148.137.100,ns1.ratkaisutalo.fi.,FI,"",why you ask,,false,1.0,2015-10-22 18:27:54 +0200,2015-01-06 12:37:49 +0100
149.154.120.233,dynamic-120-233.keskikaista.fi.,FI,Jakobstad,dnsmasq-2.33,,false,0.99,2015-10-22 18:28:34 +0200,2015-01-06 12:54:47 +0100
88.148.137.108,"",FI,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-22 18:28:35 +0200,2015-01-06 12:55:08 +0100
77.86.206.29,xdsl-77-86-206-29.nebulazone.fi.,FI,Helsinki,dnsmasq-2.48,,true,1.0,2015-10-22 18:34:48 +0200,2015-01-06 15:33:12 +0100
194.137.219.6,"",FI,"","",,false,1.0,2015-10-22 18:35:00 +0200,2015-01-06 15:39:28 +0100
62.121.51.245,62-121-51-245-static-dsl.ssp.fi.,FI,Kimito,"",,false,0.99,2015-10-22 18:47:11 +0200,2015-01-06 20:47:18 +0100
77.105.80.107,77-105-80-107.lpok.fi.,FI,Loviisa,dnsmasq-2.40,,false,0.95,2015-10-22 18:51:09 +0200,2015-01-06 22:13:22 +0100
188.64.3.36,"",FI,"",dnsmasq-2.48,,false,1.0,2015-10-22 18:52:18 +0200,2015-01-06 22:37:23 +0100
62.121.51.244,62-121-51-244-static-dsl.ssp.fi.,FI,Kimito,"",,false,1.0,2015-10-22 18:53:15 +0200,2015-01-06 22:58:43 +0100
81.209.115.148,ns2.anviahosting.fi.,FI,"",Served by PowerDNS - http://www.powerdns.com,,false,1.0,2015-10-22 18:53:36 +0200,2015-01-06 23:04:43 +0100
88.195.147.214,dsl-hkibrasgw1-58c393-214.dhcp.inet.fi.,FI,Helsinki,dnsmasq-2.48,,true,0.88,2015-10-22 18:54:53 +0200,2015-01-06 23:50:24 +0100
83.102.10.126,"",FI,"","",,false,1.0,2015-10-22 19:07:41 +0200,2015-01-07 07:15:14 +0100
212.146.36.66,212-146-36-66.co.dnainternet.fi.,FI,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-22 19:13:01 +0200,2015-01-07 10:10:28 +0100
62.148.204.2,www.visitlapua.net.,FI,Vaasa,"",,false,1.0,2015-10-22 19:15:55 +0200,2015-01-07 11:31:19 +0100
194.111.44.131,"",FI,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-22 19:19:33 +0200,2015-01-07 13:19:01 +0100
194.100.44.99,coach4pro.com.,FI,"",9.8.3-P1,,false,1.0,2015-10-22 19:21:42 +0200,2015-01-07 14:25:27 +0100
87.108.30.206,ip-87-108-30-206.customer.academica.fi.,FI,"",dnsmasq-2.15,,false,1.0,2015-10-22 19:35:39 +0200,2015-01-07 21:18:08 +0100
88.192.17.152,dsl-hkibrasgw1-58c011-152.dhcp.inet.fi.,FI,"",dnsmasq-2.48,,true,1.0,2015-10-22 19:52:13 +0200,2015-01-08 04:18:10 +0100
85.194.193.25,win-mu3dtm4r71w.adds.lwf.fi.,FI,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-22 19:53:20 +0200,2015-01-08 04:52:04 +0100
81.90.66.99,hostos.tentrio.com.,FI,"",dnsmasq-2.62,,false,1.0,2015-10-22 20:00:28 +0200,2015-01-08 09:37:49 +0100
