ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
113.20.89.186,"",FJ,Suva,dnsmasq-2.40,,true,0.98,2015-10-29 12:11:29 +0100,2014-12-29 16:47:29 +0100
119.235.70.76,Broadband-Dynamic-119-235-70-76.connect.com.fj.,FJ,Suva,"",,false,0.16,2015-10-29 12:49:37 +0100,2014-12-29 22:30:29 +0100
210.7.13.47,CDMA-210-7-13-47.connect.com.fj.,FJ,Suva,"",,false,0.99,2015-10-29 12:55:34 +0100,2014-12-30 00:04:55 +0100
27.123.168.13,"",FJ,Suva,dnsmasq-2.68,,false,0.94,2015-10-29 13:04:09 +0100,2014-12-30 09:51:39 +0100
103.244.228.74,"",FJ,Suva,"",,false,0.97,2015-10-29 13:51:06 +0100,2014-12-30 17:31:56 +0100
27.123.169.62,"",FJ,Suva,9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.6,,true,0.99,2015-10-29 15:07:44 +0100,2015-01-06 18:53:08 +0100
210.7.12.53,mail.bluescopesteel.com.fj.,FJ,Suva,Microsoft DNS 6.1.7600 (1DB04228),,false,0.98,2015-10-29 07:18:25 +0100,2015-01-07 21:12:55 +0100
113.20.89.185,"",FJ,Suva,dnsmasq-2.40,,true,0.84,2015-10-29 10:40:54 +0100,2015-01-12 10:23:40 +0100
27.123.170.118,"",FJ,Suva,"",,false,0.97,2015-10-29 10:47:34 +0100,2015-01-12 14:39:10 +0100
202.62.122.34,scosysv.carpenters.com.fj.,FJ,Suva,9.2.2,,false,1.0,2015-10-29 10:57:15 +0100,2015-01-12 20:21:02 +0100
