ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
193.252.247.52,ns1.usei-strasbourg.net.,FR,"",9.2.1,,false,0.69,2015-10-29 11:26:08 +0100,2009-08-08 00:49:47 +0200
193.252.247.53,ns2.usei-strasbourg.net.,FR,"",9.2.1,,false,0.7,2015-10-29 11:26:08 +0100,2009-08-08 00:50:43 +0200
194.250.223.2,ns2.cs3i.fr.,FR,"","",,false,1.0,2015-10-29 11:26:03 +0100,2009-08-08 23:48:11 +0200
194.98.65.65,cache0300.ns.eu.uu.net.,FR,"","",,true,1.0,2015-10-29 11:26:05 +0100,2009-08-09 02:09:33 +0200
194.250.223.1,ns1.cs3i.fr.,FR,"","",,false,1.0,2015-10-29 11:26:05 +0100,2009-08-09 22:59:58 +0200
82.216.111.122,res2.tech.numericable.fr.,FR,"","",,false,1.0,2015-10-29 11:26:08 +0100,2010-07-29 18:29:20 +0200
194.2.0.50,ns-cache1.oleane.net.,FR,Paris,"",,false,0.66,2015-10-29 11:26:14 +0100,2010-07-29 18:29:25 +0200
217.151.0.50,ns.poliris.net.,FR,Enghien-les-Bains,9.3.2,,false,0.99,2015-10-29 11:26:14 +0100,2010-07-31 21:23:31 +0200
217.151.0.195,ns2-new.poliris.net.,FR,Enghien-les-Bains,9.3.1,,false,0.99,2015-10-29 11:26:14 +0100,2010-07-31 21:23:41 +0200
80.67.169.12,ns0.fdn.fr.,FR,"",9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-29 11:26:09 +0100,2010-12-14 15:46:47 +0100
80.67.169.40,ns1.fdn.org.,FR,"",9.7.3,,false,1.0,2015-10-29 11:26:09 +0100,2010-12-14 15:46:52 +0100
195.88.84.100,noc.toile-libre.net.,FR,"",9.3.6-P1,,false,1.0,2015-10-29 11:26:09 +0100,2010-12-14 17:34:06 +0100
195.214.240.136,ns2.waycom.net.,FR,"",foo,,false,0.98,2015-10-29 11:26:09 +0100,2010-12-14 18:08:53 +0100
194.117.245.2,rosco.vayu.net.,FR,"",DTCDNS 6.66,,false,1.0,2015-10-29 11:26:13 +0100,2010-12-14 18:53:20 +0100
164.2.255.241,gw-aphp.ap-hop-paris.fr.,FR,Paris,9.8.2rc1-RedHat-9.8.2-0.23.rc1.el6_5.1,,false,1.0,2015-10-29 11:26:09 +0100,2010-12-14 19:18:13 +0100
194.98.65.165,cache0101.ns.eu.uu.net.,FR,"","",,true,1.0,2015-10-29 11:26:14 +0100,2011-01-11 02:49:12 +0100
89.107.16.2,ns0.ukgrid.net.,FR,"","No version available (what a bind, eh)",,false,1.0,2015-10-29 11:26:23 +0100,2011-01-31 01:46:14 +0100
2001:910:800::12,ns0.fdn.fr.,FR,"",9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-29 11:26:24 +0100,2013-01-04 04:24:46 +0100
2001:910:800::40,ns1.fdn.org.,FR,"",9.7.3,,false,1.0,2015-10-29 11:26:24 +0100,2013-01-04 04:24:46 +0100
2a02:2178:1:2::2,rickhunter.ns.ielo.net.,FR,"",9.5.1-P3,,false,1.0,2015-10-29 11:26:24 +0100,2013-01-04 04:25:39 +0100
82.216.111.121,res1.tech.numericable.fr.,FR,"","",,false,1.0,2015-10-29 11:26:28 +0100,2013-01-30 18:25:24 +0100
213.251.133.164,ks31884.kimsufi.com.,FR,"",9.7.3,,false,1.0,2015-10-29 11:26:44 +0100,2013-01-30 19:37:56 +0100
91.197.164.11,fw-1.tdf-pmm.net.,FR,"",Arkena DNS,,true,1.0,2015-10-29 11:27:24 +0100,2013-04-23 03:32:23 +0200
91.197.165.11,fw-2.tdf-pmm.net.,FR,"",Arkena DNS,,true,1.0,2015-10-29 11:27:24 +0100,2013-04-23 03:32:23 +0200
194.2.0.20,ns-cache0.oleane.net.,FR,Paris,"",,false,1.0,2015-10-29 11:27:29 +0100,2013-04-23 04:41:36 +0200
212.85.128.2,ns2.neuronnexion.com.,FR,"","",,true,1.0,2015-10-29 11:27:40 +0100,2013-08-08 08:36:21 +0200
