ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
217.77.71.1,ogooue.inet.ga.,GA,Libreville,"",,false,0.81,2015-10-29 11:26:45 +0100,2013-01-30 19:43:41 +0100
217.77.71.33,nyali.inet.ga.,GA,Libreville,"",,false,0.91,2015-10-29 11:26:45 +0100,2013-01-30 19:43:42 +0100
217.77.68.130,mail.cnss.ga.,GA,Libreville,"",,false,0.84,2015-10-29 12:10:28 +0100,2014-12-29 16:41:00 +0100
41.158.1.251,"",GA,"","",,false,0.94,2015-10-29 12:29:11 +0100,2014-12-29 19:25:24 +0100
41.158.1.230,"",GA,"","",,false,0.98,2015-10-29 12:30:31 +0100,2014-12-29 19:36:44 +0100
41.158.1.214,cache2.ib.ga.,GA,"","",,false,0.94,2015-10-29 12:31:38 +0100,2014-12-29 19:51:04 +0100
41.158.1.243,"",GA,"","",,false,0.97,2015-10-29 12:34:17 +0100,2014-12-29 20:24:01 +0100
41.159.40.248,"",GA,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.77,2015-10-29 14:03:34 +0100,2014-12-30 20:04:39 +0100
41.159.54.3,"",GA,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.98,2015-10-29 14:43:35 +0100,2015-01-06 07:59:22 +0100
41.76.123.223,"",GA,"",dnsmasq-2.40,,true,0.98,2015-10-29 15:39:13 +0100,2015-01-07 10:59:49 +0100
41.159.133.17,"",GA,Libreville,"",,false,0.85,2015-10-29 10:48:47 +0100,2015-01-12 15:29:50 +0100
