ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
213.157.196.130,ns1.srv.co.ge.,GE,"",PowerDNS Recursor 3.7.1 (jenkins@autotest.powerdns.com built 20150217184839 mockbuild@),,false,1.0,2015-10-22 23:46:33 +0200,2013-01-30 19:35:35 +0100
80.92.178.98,web.mix.ge.,GE,"",unknown,,false,1.0,2015-10-22 23:46:41 +0200,2013-04-16 00:09:29 +0200
213.157.196.131,ns2.srv.co.ge.,GE,"",CO ISP Recursor 3.3,,false,1.0,2015-10-22 23:47:00 +0200,2013-04-23 02:51:57 +0200
213.157.196.132,ns3.srv.co.ge.,GE,"",PowerDNS Recursor 3.7.3 (jenkins@autotest.powerdns.com built 20150610132449 mockbuild@),,false,1.0,2015-10-22 23:47:00 +0200,2013-04-23 02:51:57 +0200
212.72.129.78,host-212-72-129-78.customer.co.ge.,GE,"","",,false,1.0,2015-10-22 23:52:24 +0200,2014-12-29 12:15:11 +0100
92.51.121.118,"",GE,Tbilisi,"",,false,1.0,2015-10-22 23:53:56 +0200,2014-12-29 12:33:07 +0100
80.92.179.194,"",GE,"","",,false,0.97,2015-10-22 23:57:54 +0200,2014-12-29 13:11:45 +0100
176.73.146.234,"",GE,"","",,false,1.0,2015-10-23 00:02:06 +0200,2014-12-29 13:49:55 +0100
146.255.254.166,"",GE,"","",,false,0.95,2015-10-23 00:05:30 +0200,2014-12-29 14:18:16 +0100
95.104.117.250,host-95-104-117-250.customer.co.ge.,GE,"",PowerDNS Authoritative Server 3.3.1 (jenkins@autotest.powerdns.com built 20131217194128 mockbuild@),,false,0.99,2015-10-23 00:12:38 +0200,2014-12-29 15:00:03 +0100
94.240.220.30,"",GE,Tbilisi,"",,false,0.95,2015-10-23 00:24:14 +0200,2014-12-29 16:03:48 +0100
37.131.224.6,"",GE,"","",,false,1.0,2015-10-23 00:41:50 +0200,2014-12-29 18:12:20 +0100
212.72.151.114,host-212-72-151-114.customer.co.ge.,GE,"",dnsmasq-2.40,,false,0.98,2015-10-23 00:43:35 +0200,2014-12-29 18:28:36 +0100
213.157.201.57,host-213-157-201-57.customer.co.ge.,GE,"","",,false,0.95,2015-10-23 00:44:03 +0200,2014-12-29 18:31:51 +0100
80.92.179.213,"",GE,"","",,false,0.96,2015-10-23 00:49:03 +0200,2014-12-29 19:15:41 +0100
37.131.224.34,"",GE,"","",,false,1.0,2015-10-23 00:49:06 +0200,2014-12-29 19:16:07 +0100
212.72.151.162,host-212-72-151-162.customer.co.ge.,GE,"","",,false,0.99,2015-10-23 00:52:00 +0200,2014-12-29 19:42:06 +0100
134.90.46.145,"",GE,"","",,false,0.96,2015-10-23 01:03:15 +0200,2014-12-29 21:33:03 +0100
146.255.248.178,146-255-248-178.customers.silknet.com.,GE,"",dnsmasq-2.40,,false,1.0,2015-10-23 01:10:12 +0200,2014-12-29 22:25:18 +0100
212.72.132.162,host-212-72-132-162.customer.co.ge.,GE,"","",,false,1.0,2015-10-23 01:10:44 +0200,2014-12-29 22:29:02 +0100
212.72.132.122,host-212-72-132-122.customer.co.ge.,GE,"","",,false,1.0,2015-10-23 01:14:01 +0200,2014-12-29 23:03:17 +0100
31.146.161.118,"",GE,"","",,false,1.0,2015-10-23 01:16:38 +0200,2014-12-29 23:51:07 +0100
109.238.226.202,host-109-238-226-202-customer.wanex.net.,GE,"","",,false,1.0,2015-10-23 01:33:20 +0200,2014-12-30 11:28:23 +0100
5.178.234.37,"",GE,"","",,false,0.97,2015-10-23 01:35:47 +0200,2014-12-30 11:49:55 +0100
93.177.147.240,host-93-177-147-240.customer.co.ge.,GE,Tbilisi,PowerDNS Recursor 3.7.3 (jenkins@autotest.powerdns.com built 20150610132449 mockbuild@),,false,0.98,2015-10-23 01:39:01 +0200,2014-12-30 12:19:32 +0100
94.43.142.190,94-43-142-190.dsl.utg.ge.,GE,"","",,false,1.0,2015-10-23 01:44:20 +0200,2014-12-30 13:06:13 +0100
92.51.71.135,"",GE,Tbilisi,dnsmasq-2.40,,false,0.99,2015-10-23 01:51:22 +0200,2014-12-30 14:04:18 +0100
188.93.94.13,"",GE,"","",,false,0.93,2015-10-23 01:53:35 +0200,2014-12-30 14:19:39 +0100
93.188.8.118,"",GE,"","",,false,1.0,2015-10-23 02:00:01 +0200,2014-12-30 15:23:30 +0100
92.51.109.166,"",GE,Tbilisi,"",,false,0.95,2015-10-23 02:06:31 +0200,2014-12-30 16:23:51 +0100
134.90.111.71,"",GE,"",dnsmasq-2.40,,false,0.93,2015-10-23 02:07:19 +0200,2014-12-30 16:30:25 +0100
95.104.112.142,host-95-104-112-142.customer.co.ge.,GE,"","",,false,0.98,2015-10-23 02:14:59 +0200,2014-12-30 17:52:54 +0100
95.104.112.158,host-95-104-112-158.customer.co.ge.,GE,"","",,false,1.0,2015-10-23 02:15:53 +0200,2014-12-30 18:03:37 +0100
188.121.210.8,"",GE,"","",,false,0.95,2015-10-23 02:26:51 +0200,2014-12-30 20:13:13 +0100
80.241.254.78,host-80-241-254-78.customer.co.ge.,GE,"","",,false,1.0,2015-10-22 17:42:06 +0200,2014-12-31 19:49:25 +0100
92.241.75.10,host-92-241-75-10-customer.wanex.net.,GE,"","",,false,1.0,2015-10-22 17:47:05 +0200,2014-12-31 22:14:34 +0100
92.51.101.250,"",GE,Tbilisi,"",,false,1.0,2015-10-22 17:56:26 +0200,2015-01-05 20:48:42 +0100
176.73.124.99,"",GE,"","",,false,0.99,2015-10-22 17:59:17 +0200,2015-01-05 22:22:36 +0100
46.49.6.54,"",GE,"",dnsmasq-2.40,,false,0.9,2015-10-22 17:59:35 +0200,2015-01-05 22:31:45 +0100
212.72.152.42,"",GE,Tbilisi,PowerDNS Recursor 3.7.3 (jenkins@autotest.powerdns.com built 20150610132449 mockbuild@),,false,1.0,2015-10-22 18:00:16 +0200,2015-01-05 22:51:54 +0100
80.241.249.42,host-80-241-249-42.customer.co.ge.,GE,"","",,false,0.98,2015-10-22 18:02:58 +0200,2015-01-06 00:25:15 +0100
37.232.99.46,"",GE,"",Microsoft DNS Server,,false,1.0,2015-10-22 18:07:28 +0200,2015-01-06 02:52:40 +0100
82.211.160.58,"",GE,"","",,false,0.99,2015-10-22 18:08:47 +0200,2015-01-06 03:26:23 +0100
80.241.255.14,host-80-241-255-14.customer.co.ge.,GE,"","",,false,1.0,2015-10-22 18:11:59 +0200,2015-01-06 05:02:25 +0100
92.51.76.114,"",GE,Tbilisi,dnsmasq-2.40,,false,0.46,2015-10-22 18:19:24 +0200,2015-01-06 08:41:36 +0100
92.51.96.250,"",GE,Tbilisi,dnsmasq-2.40,,false,0.89,2015-10-22 18:32:05 +0200,2015-01-06 14:21:51 +0100
85.114.228.9,host-85-114-228-9.customer.co.ge.,GE,"","",,false,0.87,2015-10-22 18:32:14 +0200,2015-01-06 14:27:18 +0100
92.51.92.194,"",GE,Tbilisi,"",,false,0.63,2015-10-22 18:33:00 +0200,2015-01-06 14:45:44 +0100
92.51.73.106,"",GE,Tbilisi,"",,false,1.0,2015-10-22 18:36:48 +0200,2015-01-06 16:22:30 +0100
46.49.102.195,"",GE,Tbilisi,"",,false,0.99,2015-10-22 18:46:44 +0200,2015-01-06 20:36:17 +0100
146.255.233.154,146-255-233-154.customers.silknet.com.,GE,Tbilisi,PowerDNS Recursor 3.7.1 (jenkins@autotest.powerdns.com built 20150217184839 mockbuild@),,false,1.0,2015-10-22 18:51:59 +0200,2015-01-06 22:30:44 +0100
95.104.89.88,host-95-104-89-88.customer.co.ge.,GE,"",dnsmasq-2.40,,false,1.0,2015-10-22 18:59:57 +0200,2015-01-07 03:15:01 +0100
93.177.132.57,host-93-177-132-57.customer.co.ge.,GE,"","",,false,0.87,2015-10-22 19:00:07 +0200,2015-01-07 03:21:48 +0100
92.241.78.218,host-92-241-78-218-customer.wanex.net.,GE,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-22 19:00:31 +0200,2015-01-07 03:29:20 +0100
79.99.248.20,"",GE,"","",,false,1.0,2015-10-22 19:07:38 +0200,2015-01-07 07:13:53 +0100
5.178.199.160,"",GE,"","",,false,0.97,2015-10-22 19:09:07 +0200,2015-01-07 08:05:59 +0100
