ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
212.96.1.70,dnspro.gstelecom.net.,GH,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-29 11:29:12 +0100,2014-05-19 07:40:23 +0200
41.74.84.1,"",GH,Winneba,9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.6,,false,0.83,2015-10-29 11:40:01 +0100,2014-12-29 13:32:15 +0100
197.221.82.49,"",GH,"","",,false,1.0,2015-10-29 11:42:24 +0100,2014-12-29 13:53:42 +0100
197.253.67.27,dhcp2027.nita.gov.gh.,GH,"",Microsoft DNS 6.0.6001 (17714726),,false,0.79,2015-10-29 11:45:46 +0100,2014-12-29 14:22:09 +0100
197.221.81.109,"",GH,"","",,false,0.7,2015-10-29 11:48:09 +0100,2014-12-29 14:35:45 +0100
196.11.90.17,"",GH,"","",,false,1.0,2015-10-29 11:53:50 +0100,2014-12-29 15:10:00 +0100
196.29.123.33,"",GH,"",dnsmasq-2.66,,true,0.97,2015-10-29 11:59:45 +0100,2014-12-29 15:44:01 +0100
197.220.160.153,"",GH,"",9.3.4-P1,,false,1.0,2015-10-29 12:03:17 +0100,2014-12-29 16:03:07 +0100
196.29.234.254,knet-196-29-234-254.elifegh.net.,GH,"","",,false,0.99,2015-10-29 12:04:54 +0100,2014-12-29 16:11:35 +0100
196.29.234.249,knet-196-29-234-249.elifegh.net.,GH,"","",,false,1.0,2015-10-29 12:05:13 +0100,2014-12-29 16:13:11 +0100
197.221.82.93,"",GH,"","",,false,0.74,2015-10-29 12:06:17 +0100,2014-12-29 16:17:48 +0100
197.220.163.226,"",GH,"","",,false,0.98,2015-10-29 12:23:58 +0100,2014-12-29 18:41:33 +0100
41.66.221.243,"",GH,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.72,2015-10-29 12:58:01 +0100,2014-12-30 01:01:59 +0100
196.29.123.1,"",GH,"",dnsmasq-2.66,,true,0.98,2015-10-29 13:11:44 +0100,2014-12-30 11:32:02 +0100
41.93.146.18,"",GH,"","",,false,0.81,2015-10-29 13:37:33 +0100,2014-12-30 15:20:58 +0100
196.29.104.41,"",GH,"",dnsmasq-2.66,,true,0.99,2015-10-29 13:58:05 +0100,2014-12-30 19:03:53 +0100
196.29.237.186,knet-196-29-237-186.elifegh.net.,GH,"","",,false,0.92,2015-10-29 14:18:57 +0100,2015-01-05 18:09:12 +0100
41.202.9.3,"",GH,Home,dnsmasq-2.0rc1,,false,0.87,2015-10-29 14:24:13 +0100,2015-01-05 21:50:48 +0100
41.74.91.200,deiskoforidua.uew.edu.gh.,GH,Winneba,Microsoft DNS 6.0.6002 (1772487D),,false,0.92,2015-10-29 15:14:26 +0100,2015-01-06 21:42:00 +0100
196.29.124.225,"",GH,"",dnsmasq-2.66,,true,1.0,2015-10-29 07:27:53 +0100,2015-01-08 01:20:44 +0100
41.242.136.53,ns2.surflinegh.com.,GH,"",9.8.2rc1-RedHat-9.8.2-0.23.rc1.el6_5.1,,false,1.0,2015-10-29 07:44:15 +0100,2015-01-08 10:28:22 +0100
196.29.125.97,"",GH,"",dnsmasq-2.66,,true,1.0,2015-10-29 07:47:08 +0100,2015-01-08 12:23:04 +0100
196.29.125.33,"",GH,"",dnsmasq-2.66,,true,1.0,2015-10-29 07:49:06 +0100,2015-01-08 13:24:26 +0100
196.29.113.1,"",GH,"",dnsmasq-2.66,,true,1.0,2015-10-29 08:04:06 +0100,2015-01-08 21:25:08 +0100
197.251.222.106,"",GH,"","",,false,0.93,2015-10-29 08:45:17 +0100,2015-01-09 18:42:44 +0100
196.29.126.1,"",GH,"",dnsmasq-2.66,,true,1.0,2015-10-29 09:01:39 +0100,2015-01-10 04:25:59 +0100
41.93.144.210,"",GH,Accra,"",,false,0.9,2015-10-29 09:22:20 +0100,2015-01-10 15:08:26 +0100
41.202.18.82,mail.gdsafrica.com.,GH,Home,Microsoft DNS 6.1.7600 (1DB04228),,false,0.99,2015-10-29 09:30:20 +0100,2015-01-10 18:56:51 +0100
212.96.9.237,"",GH,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.98,2015-10-29 10:11:25 +0100,2015-01-11 18:57:21 +0100
41.74.94.1,"",GH,Winneba,9.9.5-3ubuntu0.2-Ubuntu,,false,0.9,2015-10-29 10:19:23 +0100,2015-01-11 22:43:03 +0100
197.159.133.14,"",GH,"",dnsmasq-2.40,,false,0.8,2015-10-29 11:01:18 +0100,2015-01-12 22:34:05 +0100
