ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
2001:648:2ffc:100::211,rns1.grnet.gr.,GR,"",9,,true,0.98,2015-10-22 23:46:44 +0200,2013-04-23 02:04:19 +0200
193.41.59.151,dns1.e-go.gr.,GR,"",8.1.2,,true,0.95,2015-10-22 23:47:32 +0200,2013-08-08 08:00:25 +0200
194.177.218.25,"",GR,Athens,9.3.2,,false,1.0,2015-10-22 23:47:40 +0200,2013-08-08 08:13:13 +0200
185.46.7.100,public-dns-a.etherland.eu.,GR,"",PowerDNS Recursor 3.5.3 $Id$,,false,1.0,2015-10-22 23:49:36 +0200,2014-08-06 11:51:57 +0200
185.46.7.110,public-dns-b.etherland.eu.,GR,"",DNS,,false,1.0,2015-10-22 23:49:36 +0200,2014-08-06 11:51:57 +0200
213.249.45.181,iason.mediabrands.gr.,GR,Athens,"",,false,1.0,2015-10-22 23:54:51 +0200,2014-12-29 12:44:28 +0100
195.97.27.40,"",GR,"","",,false,1.0,2015-10-22 23:55:35 +0200,2014-12-29 12:51:42 +0100
193.92.92.194,"",GR,"","",,false,0.99,2015-10-22 23:58:10 +0200,2014-12-29 13:14:05 +0100
195.97.27.36,"",GR,"","",,false,1.0,2015-10-22 23:58:42 +0200,2014-12-29 13:19:17 +0100
62.1.82.4,grecomar.ath.forthnet.gr.,GR,"","",,true,1.0,2015-10-22 23:58:51 +0200,2014-12-29 13:20:35 +0100
62.38.107.152,ppp062038107152.dsl.hol.gr.,GR,"","",,false,1.0,2015-10-23 00:01:24 +0200,2014-12-29 13:43:14 +0100
77.69.13.46,77-13-46.static.cyta.gr.,GR,"","",,false,0.98,2015-10-23 00:10:51 +0200,2014-12-29 14:50:21 +0100
62.103.160.35,"",GR,"","",,false,1.0,2015-10-23 00:14:02 +0200,2014-12-29 15:08:20 +0100
139.91.73.61,"",GR,"",dnsmasq-2.47,,true,0.99,2015-10-23 00:16:57 +0200,2014-12-29 15:24:44 +0100
94.70.229.123,host11.aluset.ondsl.gr.,GR,"","",,false,1.0,2015-10-23 00:17:48 +0200,2014-12-29 15:29:45 +0100
212.251.95.182,mail.hellaspower.gr.,GR,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-23 00:18:41 +0200,2014-12-29 15:33:36 +0100
195.251.13.2,"",GR,Pátrai,"",,false,0.99,2015-10-23 00:19:02 +0200,2014-12-29 15:35:53 +0100
147.52.250.240,ns3.uoc.gr.,GR,Heraklion,9.5.0-P2,,false,0.31,2015-10-23 00:27:16 +0200,2014-12-29 16:19:06 +0100
62.38.152.112,static062038152112.dsl.hol.gr.,GR,Athens,"",,false,1.0,2015-10-23 00:28:44 +0200,2014-12-29 16:26:25 +0100
194.125.252.50,kalchas.germanos.gr.,GR,Athens,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 00:30:18 +0200,2014-12-29 16:34:21 +0100
195.130.67.4,dns.teiser.gr.,GR,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.97,2015-10-23 00:31:38 +0200,2014-12-29 16:42:34 +0100
62.169.206.162,"",GR,"","",,false,1.0,2015-10-23 00:31:57 +0200,2014-12-29 16:44:25 +0100
193.92.107.129,"",GR,"",dnsmasq-2.72,,false,0.99,2015-10-23 00:40:02 +0200,2014-12-29 17:54:21 +0100
79.129.92.133,host5.elmi.ondsl.gr.,GR,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.97,2015-10-23 00:46:56 +0200,2014-12-29 18:57:49 +0100
195.130.67.230,"",GR,"","",,false,0.99,2015-10-23 00:47:21 +0200,2014-12-29 19:00:25 +0100
147.52.250.3,gallos.ucnet.uoc.gr.,GR,Heraklion,9.5.0-P2,,false,0.71,2015-10-23 00:51:40 +0200,2014-12-29 19:38:50 +0100
62.38.51.6,"",GR,"","",,false,1.0,2015-10-23 00:55:32 +0200,2014-12-29 20:26:29 +0100
147.52.98.3,lydia.elke.uoc.gr.,GR,Heraklion,"",,false,0.99,2015-10-23 01:01:11 +0200,2014-12-29 21:18:09 +0100
84.254.41.141,adsl-141.84.254.41.tellas.gr.,GR,Athens,"",,true,1.0,2015-10-23 01:02:02 +0200,2014-12-29 21:24:51 +0100
193.92.107.251,"",GR,"",dnsmasq-2.72,,false,1.0,2015-10-23 01:06:14 +0200,2014-12-29 21:56:16 +0100
194.219.73.17,"",GR,"","",,true,1.0,2015-10-23 01:07:57 +0200,2014-12-29 22:09:45 +0100
62.169.208.145,ipa145.208.tellas.gr.,GR,Athens,Not available,,false,0.99,2015-10-23 01:09:50 +0200,2014-12-29 22:22:42 +0100
62.169.232.81,"",GR,"","",,true,1.0,2015-10-23 01:14:11 +0200,2014-12-29 23:05:37 +0100
62.169.214.39,ipd39.214.tellas.gr.,GR,"",dnsmasq-2.52,,false,0.93,2015-10-23 01:14:41 +0200,2014-12-29 23:10:57 +0100
