ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
200.12.63.10,ns2.guate.net.gt.,GT,Guatemala City,9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.5,,true,1.0,2015-09-30 20:08:59 +0200,2013-01-30 18:52:19 +0100
200.35.174.127,dns2.navega.net.gt.,GT,El Salvador,9.7.3-RedHat-9.7.3-2.el6,,false,0.76,2015-09-30 20:08:58 +0200,2013-01-30 18:54:27 +0100
200.49.160.31,"",GT,El Salvador,not currently available,,false,0.99,2015-09-30 20:10:07 +0200,2013-08-08 08:26:52 +0200
200.49.160.35,"",GT,El Salvador,not currently available,,false,0.97,2015-09-30 20:10:07 +0200,2013-08-08 08:26:53 +0200
216.230.134.113,113.134.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,true,0.98,2015-09-30 20:19:00 +0200,2014-12-29 12:58:38 +0100
200.6.199.193,"",GT,"",dnsmasq-2.52,,false,1.0,2015-09-30 20:19:52 +0200,2014-12-29 13:06:58 +0100
216.230.134.233,233.134.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,false,0.92,2015-09-30 20:21:41 +0200,2014-12-29 13:24:26 +0100
216.230.134.157,157.134.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,false,0.99,2015-09-30 20:22:34 +0200,2014-12-29 13:32:12 +0100
216.230.134.201,201.134.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,false,0.95,2015-09-30 20:22:41 +0200,2014-12-29 13:33:18 +0100
186.151.195.50,mail.bavaria.com.gt.,GT,"",dnsmasq-2.49,,true,1.0,2015-09-30 20:23:03 +0200,2014-12-29 13:37:01 +0100
216.230.134.245,245.134.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,true,0.99,2015-09-30 20:24:19 +0200,2014-12-29 13:49:14 +0100
200.6.199.161,"",GT,"",dnsmasq-2.52,,false,0.99,2015-09-30 20:25:20 +0200,2014-12-29 13:58:15 +0100
216.230.134.229,229.134.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,false,0.94,2015-09-30 20:25:27 +0200,2014-12-29 13:59:25 +0100
200.6.199.221,"",GT,"",dnsmasq-2.52,,true,0.94,2015-09-30 20:25:43 +0200,2014-12-29 14:01:59 +0100
200.49.163.20,ns3.tigo.net.gt.,GT,El Salvador,not currently available,,false,0.99,2015-09-30 20:26:09 +0200,2014-12-29 14:05:42 +0100
200.6.250.235,ns.fontierras.gob.gt.,GT,"",9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.3,,false,0.89,2015-09-30 20:26:30 +0200,2014-12-29 14:08:27 +0100
190.149.196.121,121.196.149.190.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,false,1.0,2015-09-30 20:28:42 +0200,2014-12-29 14:25:10 +0100
216.230.134.181,181.134.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,false,1.0,2015-09-30 20:28:45 +0200,2014-12-29 14:25:34 +0100
190.56.166.45,45.166.56.190.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,false,0.91,2015-09-30 20:29:04 +0200,2014-12-29 14:27:12 +0100
216.230.134.185,185.134.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,true,1.0,2015-09-30 11:54:25 +0200,2014-12-29 14:38:01 +0100
216.230.131.33,33.131.static.intelnet.net.gt.,GT,Guatemala City,dnsmasq-2.52,,true,1.0,2015-09-30 11:54:49 +0200,2014-12-29 14:40:26 +0100
186.151.218.113,113.218.151.186.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,true,1.0,2015-09-30 11:54:54 +0200,2014-12-29 14:40:45 +0100
186.151.218.57,57.218.151.186.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,true,1.0,2015-09-30 11:54:56 +0200,2014-12-29 14:40:53 +0100
200.6.219.141,141.219.6.200.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,true,1.0,2015-09-30 11:56:07 +0200,2014-12-29 14:47:33 +0100
200.6.199.185,"",GT,"",dnsmasq-2.52,,false,0.95,2015-09-30 11:56:34 +0200,2014-12-29 14:50:20 +0100
190.149.240.21,21.240.149.190.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,true,0.87,2015-09-30 11:58:58 +0200,2014-12-29 15:04:42 +0100
190.149.192.209,209.192.149.190.static.intelnet.net.gt.,GT,"",dnsmasq-2.52,,false,0.97,2015-09-30 11:59:49 +0200,2014-12-29 15:08:59 +0100
