ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
202.151.80.211,202-151-80-211.dsl.static.teleguam.net.,GU,"","",,true,1.0,2015-10-23 00:41:03 +0200,2014-12-29 18:04:05 +0100
116.68.13.136,ns3.guamcell.net.,GU,"","",,false,0.98,2015-10-23 00:44:49 +0200,2014-12-29 18:38:40 +0100
202.128.91.242,"",GU,Hagåtña,dnsmasq-2.40,,true,1.0,2015-10-23 01:25:37 +0200,2014-12-30 09:45:47 +0100
101.99.205.222,101-99-205-222.dynamic.guam.net.,GU,"",dnsmasq-2.40,,false,0.97,2015-10-23 01:39:47 +0200,2014-12-30 12:25:54 +0100
182.173.215.81,182-173-215-81.d.c400.guam.net.,GU,"",dnsmasq-2.40,,false,1.0,2015-10-23 01:57:13 +0200,2014-12-30 14:56:32 +0100
101.99.128.189,101-99-128-189.dynamic.guam.net.,GU,"",dnsmasq-2.40,,false,0.96,2015-10-23 02:11:50 +0200,2014-12-30 17:11:58 +0100
121.55.207.29,121-55-207-29.d.c200.guam.net.,GU,"",dnsmasq-2.33,,true,0.97,2015-10-23 02:22:10 +0200,2014-12-30 19:19:23 +0100
101.99.213.251,101-99-213-251.dynamic.guam.net.,GU,"",dnsmasq-2.40,,false,1.0,2015-10-22 17:42:26 +0200,2014-12-31 19:59:38 +0100
182.173.193.131,182-173-193-131.d.c400.guam.net.,GU,"",dnsmasq-2.40,,true,0.99,2015-10-22 18:04:59 +0200,2015-01-06 01:37:15 +0100
101.99.205.187,101-99-205-187.dynamic.guam.net.,GU,"",dnsmasq-2.40,,false,0.96,2015-10-22 18:41:27 +0200,2015-01-06 18:21:33 +0100
203.95.11.243,243.11.static.pdsguam.biz.,GU,"","",,false,0.9,2015-10-22 18:41:56 +0200,2015-01-06 18:32:05 +0100
202.151.76.102,202-151-76-102.biz.static.teleguam.net.,GU,"",dnsmasq-2.45,,true,0.99,2015-10-22 18:48:09 +0200,2015-01-06 21:08:57 +0100
101.99.183.204,101-99-183-204.dynamic.guam.net.,GU,"",dnsmasq-2.40,,false,0.87,2015-10-22 19:24:43 +0200,2015-01-07 15:55:09 +0100
101.99.210.89,101-99-210-89.dynamic.guam.net.,GU,Tamuning-Tumon-Harmon Village,dnsmasq-2.40,,false,0.93,2015-10-22 19:52:55 +0200,2015-01-08 04:38:12 +0100
121.55.220.144,121-55-220-144.d.c200.guam.net.,GU,Tamuning-Tumon-Harmon Village,dnsmasq-2.33,,true,1.0,2015-10-22 20:07:20 +0200,2015-01-08 13:48:31 +0100
101.99.210.236,101-99-210-236.dynamic.guam.net.,GU,Tamuning-Tumon-Harmon Village,dnsmasq-2.40,,false,0.76,2015-10-22 20:20:27 +0200,2015-01-08 20:34:31 +0100
101.99.175.81,101-99-175-81.d.c600.guam.net.,GU,Tamuning-Tumon-Harmon Village,dnsmasq-2.40,,true,1.0,2015-10-22 20:34:11 +0200,2015-01-09 03:29:06 +0100
116.68.13.137,ns4.guamcell.net.,GU,"","",,false,0.97,2015-10-22 21:29:05 +0200,2015-01-10 09:47:16 +0100
209.164.191.129,209-164-191-129.dsl.static.teleguam.net.,GU,"",dnsmasq-2.40,,true,0.99,2015-10-22 21:36:52 +0200,2015-01-10 13:31:22 +0100
121.55.212.129,121-55-212-129.d.c200.guam.net.,GU,"",dnsmasq-2.33,,true,0.97,2015-10-22 21:43:13 +0200,2015-01-10 16:30:41 +0100
202.128.88.207,"",GU,"",dnsmasq-2.40,,true,0.99,2015-10-22 23:00:35 +0200,2015-01-12 10:35:17 +0100
