ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
202.130.97.66,dns2.wharfttidc.com.,HK,Central District,[SECURED],,false,1.0,2015-10-22 23:45:52 +0200,2009-08-09 23:03:37 +0200
202.180.160.1,ns1.onebb.com.,HK,Central District,[Secured],,false,0.99,2015-10-22 23:46:04 +0200,2011-01-23 01:50:18 +0100
203.91.143.19,ns01.ca.pccwglobal.com.,HK,"",Bind,,false,0.99,2015-10-22 23:46:04 +0200,2011-01-23 01:53:18 +0100
202.130.97.65,dns1.wharfttidc.com.,HK,Central District,[SECURED],,false,0.98,2015-10-22 23:46:23 +0200,2013-01-30 19:01:54 +0100
202.174.131.19,julia.speedcast.com.,HK,"",BIND 8.2.2-P5,,false,0.99,2015-10-22 23:46:23 +0200,2013-01-30 19:04:01 +0100
202.181.224.2,ns1.hkcix.com.,HK,"",9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.2,,false,1.0,2015-10-22 23:46:23 +0200,2013-01-30 19:04:10 +0100
202.45.84.58,dns.hutchcity.com.,HK,"","",,true,1.0,2015-10-22 23:46:24 +0200,2013-01-30 19:05:43 +0100
203.198.7.66,ns4.netvigator.com.,HK,Central District,[Secured],,false,0.99,2015-10-22 23:46:27 +0200,2013-01-30 19:14:35 +0100
203.80.96.10,ns1o.ctihk.com.,HK,Central District,dns,,false,1.0,2015-10-22 23:46:28 +0200,2013-01-30 19:15:52 +0100
218.102.23.228,"",HK,Central District,[Secured],,false,0.95,2015-10-22 23:46:37 +0200,2013-01-30 19:43:49 +0100
210.0.128.241,"",HK,"","",,true,1.0,2015-10-22 23:49:46 +0200,2014-11-19 19:34:59 +0100
210.0.255.216,"",HK,"","",,true,1.0,2015-10-22 23:49:46 +0200,2014-11-19 19:35:08 +0100
202.180.161.1,ns2.onebb.com.,HK,Central District,[Secured],,false,1.0,2015-10-22 23:49:50 +0200,2014-12-13 03:53:50 +0100
14.198.185.207,014198185207.ctinets.com.,HK,Central District,dnsmasq-2.40,,false,0.98,2015-10-22 23:49:56 +0200,2014-12-27 00:07:11 +0100
123.203.18.240,123203018240.ctinets.com.,HK,Central District,dnsmasq-2.40,,false,0.58,2015-10-22 23:49:55 +0200,2014-12-27 00:17:53 +0100
210.6.157.10,210006157010.ctinets.com.,HK,Central District,dnsmasq-2.40,,false,0.03,2015-10-22 23:49:58 +0200,2014-12-27 00:19:30 +0100
58.176.200.130,058176200130.ctinets.com.,HK,Central District,dnsmasq-2.40,,true,1.0,2015-10-22 23:50:02 +0200,2014-12-27 00:36:47 +0100
119.247.128.217,119247128217.ctinets.com.,HK,Central District,dnsmasq-2.40,,true,0.2,2015-10-22 23:50:06 +0200,2014-12-27 00:41:09 +0100
203.186.178.214,203186178214.ctinets.com.,HK,Central District,dnsmasq-2.40,,false,1.0,2015-10-22 23:50:26 +0200,2014-12-27 11:10:20 +0100
203.186.178.215,203186178215.ctinets.com.,HK,Central District,dnsmasq-2.40,,false,0.95,2015-10-22 23:50:29 +0200,2014-12-27 11:22:26 +0100
119.246.121.196,119246121196.ctinets.com.,HK,Central District,dnsmasq-2.40,,false,1.0,2015-10-22 23:50:41 +0200,2014-12-27 15:19:39 +0100
203.186.16.73,203186016073.ctinets.com.,HK,Central District,dnsmasq-2.40,,false,1.0,2015-10-22 23:50:49 +0200,2014-12-27 15:21:31 +0100
123.203.82.218,123203082218.ctinets.com.,HK,Central District,dnsmasq-2.40,,false,1.0,2015-10-22 23:50:50 +0200,2014-12-27 15:21:32 +0100
