ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
212.108.200.77,ns2.sa.eol.hu.,HU,"",9.6-ESV-R1,,false,0.99,2015-10-29 11:26:42 +0100,2013-01-30 19:29:03 +0100
192.190.173.40,"",HU,Donat,9.8.1-P1,,false,0.99,2015-10-29 11:26:57 +0100,2013-04-23 02:11:04 +0200
212.108.197.216,gamma.compunet.hu.,HU,"",9.9.5-3ubuntu0.5-Ubuntu,,false,1.0,2015-10-29 11:27:04 +0100,2013-04-23 02:44:23 +0200
213.16.104.61,ns.fotexnet.hu.,HU,"",[d-n-s],,false,1.0,2015-10-29 11:27:08 +0100,2013-04-23 02:51:59 +0200
213.253.193.2,Hightower.kerszov.hu.,HU,"",9.7.0-P1,,false,1.0,2015-10-29 11:27:09 +0100,2013-04-23 02:55:55 +0200
217.113.48.1,nic.holop.hu.,HU,Nyergesujfalu,9.9.5-4-Debian,,false,1.0,2015-10-29 11:27:09 +0100,2013-04-23 02:58:15 +0200
62.77.202.25,"",HU,"",9.8.4-rpz2+rl005.12-P1,,false,1.0,2015-10-29 11:27:13 +0100,2013-04-23 03:07:26 +0200
82.141.136.2,mail.proxynet.hu.,HU,"",9.6-ESV-R4,,false,1.0,2015-10-29 11:27:18 +0100,2013-04-23 03:20:16 +0200
82.144.181.1,ns.bhn.hu.,HU,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5_4.2,,false,1.0,2015-10-29 11:27:18 +0100,2013-04-23 03:20:16 +0200
87.229.99.1,ns1.sigmanet.hu.,HU,"",Served by POWERDNS 2.9.20 $Id: packethandler.cc 539 2005-11-11 11:17:47Z ahu $,,false,1.0,2015-10-29 11:27:23 +0100,2013-04-23 03:27:18 +0200
193.6.10.1,dns.uni-miskolc.hu.,HU,Miskolc,9.8.4-rpz2+rl005.12-P1,,false,0.94,2015-10-29 11:27:37 +0100,2013-08-08 07:58:12 +0200
195.228.238.114,firewall.schenker.hu.,HU,"",9.8.4-rpz2+rl005.12-P1,,true,1.0,2015-10-29 11:30:20 +0100,2014-12-27 11:00:20 +0100
79.121.119.18,dynamic-79-121-119-18.dielnet.hu.,HU,"","",,false,1.0,2015-10-29 11:30:26 +0100,2014-12-27 11:33:31 +0100
79.121.119.14,dynamic-79-121-119-14.dielnet.hu.,HU,"","",,false,1.0,2015-10-29 11:30:34 +0100,2014-12-27 15:18:17 +0100
92.61.114.7,hyperion.netregator.com.,HU,"","",,false,0.34,2015-10-29 11:30:49 +0100,2014-12-27 15:21:51 +0100
46.107.15.91,"",HU,"","",,false,0.98,2015-10-29 11:31:29 +0100,2014-12-29 12:05:26 +0100
37.191.40.177,business-37-191-40-177.business.broadband.hu.,HU,"","",,false,1.0,2015-10-29 11:32:15 +0100,2014-12-29 12:14:24 +0100
212.40.105.73,static-69-0049.externet.hu.,HU,Budapest,"",,false,1.0,2015-10-29 11:32:32 +0100,2014-12-29 12:17:31 +0100
193.224.129.126,autsrv.sze.hu.,HU,"",Microsoft DNS 6.0.6001 (17714726),,false,1.0,2015-10-29 11:32:40 +0100,2014-12-29 12:19:49 +0100
79.121.119.129,dynamic-79-121-119-129.dielnet.hu.,HU,"","",,false,0.98,2015-10-29 11:32:51 +0100,2014-12-29 12:21:33 +0100
78.131.56.34,78-131-56-34.static.hdsnet.hu.,HU,"","",,false,1.0,2015-10-29 11:32:56 +0100,2014-12-29 12:22:28 +0100
79.121.119.13,dynamic-79-121-119-13.dielnet.hu.,HU,"","",,false,1.0,2015-10-29 11:33:05 +0100,2014-12-29 12:24:05 +0100
213.253.218.122,mail.logmaster.hu.,HU,"","",,false,1.0,2015-10-29 11:33:32 +0100,2014-12-29 12:29:09 +0100
212.40.105.54,static-69-0036.externet.hu.,HU,Budapest,"",,false,1.0,2015-10-29 11:34:08 +0100,2014-12-29 12:37:20 +0100
78.131.55.235,78-131-55-235.static.hdsnet.hu.,HU,"","",,false,1.0,2015-10-29 11:34:08 +0100,2014-12-29 12:37:32 +0100
62.112.195.195,www.hoteltelnet.hu.,HU,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-29 11:34:21 +0100,2014-12-29 12:40:44 +0100
77.111.169.44,h169-44.pool77-111.dyn.tolna.net.,HU,"","",,false,0.45,2015-10-29 11:34:33 +0100,2014-12-29 12:43:00 +0100
91.82.199.179,mfw.netbank.hu.,HU,"","",,false,0.69,2015-10-29 11:35:13 +0100,2014-12-29 12:48:46 +0100
188.127.151.175,catv175-151-127-188.pool.digitalvac.hu.,HU,Budapest,"",,false,0.99,2015-10-29 11:35:35 +0100,2014-12-29 12:52:29 +0100
79.121.119.107,dynamic-79-121-119-107.dielnet.hu.,HU,"",dnsmasq-2.32,,false,0.97,2015-10-29 11:36:23 +0100,2014-12-29 12:59:46 +0100
195.228.254.161,mail.ujdonsagok.hu.,HU,"","",,false,1.0,2015-10-29 11:36:31 +0100,2014-12-29 13:00:30 +0100
81.183.210.243,mail.festekkutato.hu.,HU,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 11:36:46 +0100,2014-12-29 13:03:55 +0100
62.77.193.6,62-77-193-6.static.invitel.hu.,HU,"","",,false,1.0,2015-10-29 11:38:14 +0100,2014-12-29 13:16:09 +0100
78.139.55.218,business-78-139-55-218.business.broadband.hu.,HU,Budapest,"",,false,1.0,2015-10-29 11:39:06 +0100,2014-12-29 13:24:26 +0100
87.97.64.227,mspirit.mspirit.hu.,HU,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-29 11:39:10 +0100,2014-12-29 13:25:04 +0100
95.171.68.1,"",HU,"","",,false,0.98,2015-10-29 11:39:16 +0100,2014-12-29 13:26:14 +0100
78.131.57.198,mail.neuron.hu.,HU,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 11:39:46 +0100,2014-12-29 13:30:24 +0100
81.183.223.43,dsl51B7DF2B.fixip.t-online.hu.,HU,"","",,false,1.0,2015-10-29 11:40:10 +0100,2014-12-29 13:33:31 +0100
91.82.151.85,"",HU,"","",,false,1.0,2015-10-29 11:40:28 +0100,2014-12-29 13:36:20 +0100
78.139.51.57,business-78-139-51-57.business.broadband.hu.,HU,"","",,false,1.0,2015-10-29 11:42:02 +0100,2014-12-29 13:50:41 +0100
188.36.126.65,dslBC247E41.fixip.t-online.hu.,HU,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-29 11:47:04 +0100,2014-12-29 14:30:07 +0100
188.94.136.201,"",HU,"","",,false,1.0,2015-10-29 11:47:32 +0100,2014-12-29 14:33:05 +0100
87.97.65.87,87.97.65.87.pool.invitel.hu.,HU,"","",,false,1.0,2015-10-29 11:48:37 +0100,2014-12-29 14:39:43 +0100
87.229.64.38,mail.1mcm.hu.,HU,"",Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-29 11:48:38 +0100,2014-12-29 14:39:54 +0100
160.114.160.66,nt.arts.u-szeged.hu.,HU,Szeged,"",,false,0.99,2015-10-29 11:49:13 +0100,2014-12-29 14:43:14 +0100
188.94.136.178,"",HU,"","",,false,0.98,2015-10-29 11:49:20 +0100,2014-12-29 14:44:10 +0100
81.0.105.100,"",HU,"","",,false,1.0,2015-10-29 11:49:31 +0100,2014-12-29 14:44:44 +0100
188.36.126.90,dslBC247E5A.fixip.t-online.hu.,HU,"","",,false,1.0,2015-10-29 11:51:19 +0100,2014-12-29 14:54:50 +0100
193.68.60.216,rev.193.68.60.216.euroweb.hu.,HU,"","",,false,1.0,2015-10-29 11:51:47 +0100,2014-12-29 14:57:21 +0100
84.1.118.202,ktv540176CA.fixip.t-online.hu.,HU,"","",,false,0.69,2015-10-29 11:52:06 +0100,2014-12-29 14:59:07 +0100
81.0.105.30,"",HU,"","",,false,0.99,2015-10-29 11:52:48 +0100,2014-12-29 15:03:52 +0100
176.63.99.121,catv-176-63-99-121.catv.broadband.hu.,HU,"",dnsmasq-2.40,,true,0.99,2015-10-29 11:53:27 +0100,2014-12-29 15:07:55 +0100
178.164.185.59,178-164-185-59.pool.digikabel.hu.,HU,"","",,false,1.0,2015-10-29 11:54:10 +0100,2014-12-29 15:12:21 +0100
81.0.105.29,"",HU,"","",,false,1.0,2015-10-29 11:55:52 +0100,2014-12-29 15:22:32 +0100
188.94.136.177,mail.alpha-vet.hu.,HU,"","",,false,0.94,2015-10-29 11:55:59 +0100,2014-12-29 15:23:07 +0100
188.94.136.132,"",HU,"","",,false,1.0,2015-10-29 11:57:14 +0100,2014-12-29 15:30:32 +0100
193.225.92.249,"",HU,"","",,false,0.99,2015-10-29 11:57:26 +0100,2014-12-29 15:31:29 +0100
188.94.136.121,"",HU,"","",,false,1.0,2015-10-29 11:58:17 +0100,2014-12-29 15:36:00 +0100
95.140.37.121,host-95-140-37-121.vertesnet.hu.,HU,"","",,false,0.99,2015-10-29 11:59:38 +0100,2014-12-29 15:43:24 +0100
81.182.255.251,dsl51B6FFFB.fixip.t-online.hu.,HU,"","",,false,1.0,2015-10-29 12:00:05 +0100,2014-12-29 15:46:38 +0100
188.36.125.195,mail.ekes-law.hu.,HU,"","",,false,1.0,2015-10-29 12:00:13 +0100,2014-12-29 15:47:14 +0100
31.46.43.236,dsl1F2E2BEC.fixip.t-online.hu.,HU,"","",,false,1.0,2015-10-29 12:00:25 +0100,2014-12-29 15:47:59 +0100
217.112.129.244,gall.amazonses.com.,HU,"","",,false,0.99,2015-10-29 12:00:27 +0100,2014-12-29 15:48:19 +0100
188.94.136.182,"",HU,"","",,false,0.97,2015-10-29 12:01:18 +0100,2014-12-29 15:53:03 +0100
188.94.141.73,"",HU,Székesfehérvár,"",,false,0.99,2015-10-29 12:01:59 +0100,2014-12-29 15:55:43 +0100
188.94.136.145,mail.vibroteam.hu.,HU,"","",,false,1.0,2015-10-29 12:01:55 +0100,2014-12-29 15:56:14 +0100
87.229.11.218,87.229.11.218.z-net.hu.,HU,Becsehely,ZyWALL DNS,,false,1.0,2015-10-29 12:02:02 +0100,2014-12-29 15:56:50 +0100
195.184.171.131,unidata.unioffice.hu.,HU,"","",,false,1.0,2015-10-29 12:02:05 +0100,2014-12-29 15:57:08 +0100
62.77.224.10,"",HU,"","",,false,1.0,2015-10-29 12:02:23 +0100,2014-12-29 15:58:24 +0100
87.229.45.141,vps141.nlg.hu.,HU,"",9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.6,,false,1.0,2015-10-29 12:02:25 +0100,2014-12-29 15:58:30 +0100
81.0.104.204,"",HU,Budapest,"",,true,1.0,2015-10-29 12:02:26 +0100,2014-12-29 15:58:38 +0100
217.113.56.140,217.113.56.140.z-net.hu.,HU,"",dnsmasq-2.40,,true,0.98,2015-10-29 12:03:07 +0100,2014-12-29 16:02:13 +0100
185.11.172.78,host-185-11-172-78.mobillan.hu.,HU,"","",,false,0.69,2015-10-29 12:04:00 +0100,2014-12-29 16:07:17 +0100
188.94.136.146,"",HU,"","",,false,1.0,2015-10-29 12:04:17 +0100,2014-12-29 16:08:42 +0100
78.131.57.226,78-131-57-226.static.hdsnet.hu.,HU,"","",,false,1.0,2015-10-29 12:04:55 +0100,2014-12-29 16:11:46 +0100
188.94.141.23,"",HU,Székesfehérvár,"",,false,1.0,2015-10-29 12:05:08 +0100,2014-12-29 16:12:48 +0100
188.94.136.185,"",HU,"","",,false,0.98,2015-10-29 12:05:30 +0100,2014-12-29 16:14:35 +0100
92.249.176.125,92-249-176-125.pool.digikabel.hu.,HU,"","",,false,1.0,2015-10-29 12:05:28 +0100,2014-12-29 16:14:45 +0100
176.63.238.11,business-176-63-238-11.business.broadband.hu.,HU,"","",,false,0.99,2015-10-29 12:06:23 +0100,2014-12-29 16:19:16 +0100
31.46.43.203,dsl1F2E2BCB.fixip.t-online.hu.,HU,"","",,false,1.0,2015-10-29 12:07:01 +0100,2014-12-29 16:22:11 +0100
81.0.104.114,mail4.gyea.hu.,HU,Budapest,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 12:07:20 +0100,2014-12-29 16:24:18 +0100
78.131.57.172,78-131-57-172.static.hdsnet.hu.,HU,"","",,false,1.0,2015-10-29 12:07:28 +0100,2014-12-29 16:24:55 +0100
193.224.158.57,kmovar57.kossuthmovar.iif.hu.,HU,"","",,false,1.0,2015-10-29 12:08:46 +0100,2014-12-29 16:31:20 +0100
213.163.10.114,www.compax.hu.,HU,"","",,false,1.0,2015-10-29 12:10:18 +0100,2014-12-29 16:39:55 +0100
193.225.92.252,"",HU,"","",,false,1.0,2015-10-29 12:11:22 +0100,2014-12-29 16:47:11 +0100
87.229.67.190,87-229-67-190.intellicom.hu.,HU,"","",,false,1.0,2015-10-29 12:11:28 +0100,2014-12-29 16:47:46 +0100
46.35.193.63,46-35-193-63.oroscom.hu.,HU,Szeghalom,"",,false,0.85,2015-10-29 12:12:10 +0100,2014-12-29 16:51:47 +0100
217.112.129.232,canalize.amazonses.com.,HU,"","",,false,0.97,2015-10-29 12:12:20 +0100,2014-12-29 16:53:03 +0100
46.35.193.62,46-35-193-62.oroscom.hu.,HU,Szeghalom,"",,false,0.85,2015-10-29 12:12:21 +0100,2014-12-29 16:53:09 +0100
89.135.188.249,mail.datex.co.hu.,HU,"",9.2.4,,false,1.0,2015-10-29 12:12:25 +0100,2014-12-29 16:53:21 +0100
95.140.37.99,host-95-140-37-99.vertesnet.hu.,HU,"","",,false,0.99,2015-10-29 12:13:09 +0100,2014-12-29 16:58:55 +0100
188.94.141.126,"",HU,Székesfehérvár,"",,false,1.0,2015-10-29 12:13:33 +0100,2014-12-29 17:01:45 +0100
213.163.10.115,wg.compax.hu.,HU,"","",,false,1.0,2015-10-29 12:14:26 +0100,2014-12-29 17:08:12 +0100
95.140.37.111,host-95-140-37-111.vertesnet.hu.,HU,"","",,false,0.87,2015-10-29 12:15:14 +0100,2014-12-29 17:14:53 +0100
193.225.25.67,pop3.opkm.hu.,HU,"",9.1.0,,false,0.72,2015-10-29 12:15:24 +0100,2014-12-29 17:17:00 +0100
217.112.129.230,inflow.amazonses.com.,HU,"","",,false,0.99,2015-10-29 12:15:25 +0100,2014-12-29 17:17:34 +0100
87.229.83.62,87.229.83.62.z-net.hu.,HU,Becsehely,"",,false,0.88,2015-10-29 12:16:11 +0100,2014-12-29 17:25:59 +0100
89.133.210.245,business-89-133-210-245.business.broadband.hu.,HU,"","",,false,1.0,2015-10-29 12:16:38 +0100,2014-12-29 17:29:31 +0100
46.35.193.59,46-35-193-59.oroscom.hu.,HU,Szeghalom,"",,false,0.87,2015-10-29 12:17:09 +0100,2014-12-29 17:33:30 +0100
95.140.37.161,host-95-140-37-161.vertesnet.hu.,HU,"","",,false,0.99,2015-10-29 12:18:30 +0100,2014-12-29 17:49:41 +0100
87.229.112.213,domain-doboz.hu.,HU,"",Served by PowerDNS - http://www.powerdns.com,,false,1.0,2015-10-29 12:18:49 +0100,2014-12-29 17:53:07 +0100
178.164.129.75,178-164-129-75.pool.digikabel.hu.,HU,"","",,false,1.0,2015-10-29 12:18:51 +0100,2014-12-29 17:54:10 +0100
95.140.37.129,host-95-140-37-129.vertesnet.hu.,HU,"","",,false,0.92,2015-10-29 12:19:52 +0100,2014-12-29 18:05:02 +0100
95.140.37.177,host-95-140-37-177.vertesnet.hu.,HU,"","",,false,0.99,2015-10-29 12:20:28 +0100,2014-12-29 18:11:10 +0100
46.107.14.17,"",HU,"",Microsoft DNS 6.1.7600 (1DB04001),,false,1.0,2015-10-29 12:20:56 +0100,2014-12-29 18:15:50 +0100
78.139.63.213,business-78-139-63-213.business.broadband.hu.,HU,"","hu-ns002, Customer DNS of UPC Hungary",,false,1.0,2015-10-29 12:20:56 +0100,2014-12-29 18:16:00 +0100
81.183.221.20,dsl51B7DD14.fixip.t-online.hu.,HU,"","",,false,1.0,2015-10-29 12:22:28 +0100,2014-12-29 18:29:42 +0100
95.140.37.201,host-95-140-37-201.vertesnet.hu.,HU,"","",,false,0.8,2015-10-29 12:23:40 +0100,2014-12-29 18:40:06 +0100
188.142.195.133,catv-188-142-195-133.catv.broadband.hu.,HU,Budapest,dnsmasq-2.45,,false,1.0,2015-10-29 12:23:46 +0100,2014-12-29 18:40:32 +0100
80.98.59.141,business-80-98-59-141.business.broadband.hu.,HU,"","",,false,1.0,2015-10-29 12:24:27 +0100,2014-12-29 18:46:11 +0100
79.172.200.78,4facc84e.ttnk.hu.,HU,"","",,false,0.98,2015-10-29 12:24:43 +0100,2014-12-29 18:48:11 +0100
37.220.128.154,37-220-128-154.acetelecom.hu.,HU,Budapest,"",,false,1.0,2015-10-29 12:25:33 +0100,2014-12-29 18:55:50 +0100
95.140.37.197,host-95-140-37-197.vertesnet.hu.,HU,"","",,false,0.93,2015-10-29 12:26:28 +0100,2014-12-29 19:03:54 +0100
82.150.35.169,169.bodajknet.hu.,HU,Balatonlelle,"",,false,0.97,2015-10-29 12:26:47 +0100,2014-12-29 19:06:12 +0100
89.135.187.57,mail.gnsz.hu.,HU,"","",,false,1.0,2015-10-29 12:26:53 +0100,2014-12-29 19:06:44 +0100
194.38.105.27,"",HU,"","",,true,1.0,2015-10-29 12:27:13 +0100,2014-12-29 19:09:16 +0100
195.56.34.126,szerencs-25.adsl.datanet.hu.,HU,"","",,false,0.97,2015-10-29 12:27:52 +0100,2014-12-29 19:15:06 +0100
82.150.35.113,"",HU,Balatonlelle,"",,false,0.99,2015-10-29 12:28:37 +0100,2014-12-29 19:20:45 +0100
