ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
202.152.162.66,"",ID,"",[secured],,false,0.98,2015-09-30 20:08:24 +0200,2009-05-15 14:51:01 +0200
202.46.1.2,ns1.iptek.net.id.,ID,Jakarta,9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.3,,true,0.91,2015-09-30 20:09:02 +0200,2013-01-30 19:05:47 +0100
202.46.129.3,ns2.its.ac.id.,ID,"",9.7.3,,false,0.81,2015-09-30 20:10:18 +0200,2013-08-08 08:27:26 +0200
121.52.87.128,"",ID,Bandung,"",,false,0.94,2015-09-30 20:11:23 +0200,2013-11-19 03:20:26 +0100
202.62.31.18,"",ID,Jakarta,"",,false,0.94,2015-09-30 20:11:33 +0200,2014-04-04 19:09:59 +0200
210.23.64.1,"",ID,Jakarta,"",,false,0.52,2015-09-30 20:11:34 +0200,2014-04-04 21:53:15 +0200
103.20.184.62,"",ID,Patam,9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.4,,true,1.0,2015-09-30 20:11:30 +0200,2014-04-17 23:28:33 +0200
103.15.241.233,"",ID,Medan,"",,false,0.94,2015-09-30 20:11:49 +0200,2014-06-07 11:14:56 +0200
139.0.27.186,ln-static-139-0-27-186.link.net.id.,ID,Jakarta,"",,false,0.99,2015-09-30 20:11:44 +0200,2014-06-07 11:15:11 +0200
103.20.188.83,ip-188-83.gknetindo.co.id.,ID,Bogor,dnsmasq-2.45,,true,0.98,2015-09-30 20:11:45 +0200,2014-06-18 11:13:05 +0200
119.18.159.230,"",ID,Bogor,"",,false,0.85,2015-09-30 20:11:53 +0200,2014-06-18 11:24:30 +0200
119.18.159.222,"",ID,Bogor,"",,false,0.96,2015-09-30 20:11:46 +0200,2014-06-18 11:26:57 +0200
203.189.88.10,ns2.esdm.go.id.,ID,"",9.7.3,,false,0.59,2015-09-30 20:11:45 +0200,2014-06-18 17:06:04 +0200
203.189.88.11,ns1.esdm.go.id.,ID,"",9.3.4,,false,0.57,2015-09-30 20:11:47 +0200,2014-06-18 17:06:05 +0200
203.189.88.54,geology.esdm.go.id.,ID,"",9.7.3,,false,1.0,2015-09-30 20:11:45 +0200,2014-06-18 17:08:43 +0200
203.189.88.150,ip-88.150.esdm.go.id.,ID,"",9.3.2-P2,,false,0.95,2015-09-30 20:11:47 +0200,2014-06-18 17:19:45 +0200
203.189.88.153,ip-88.153.esdm.go.id.,ID,"","",,false,0.49,2015-09-30 20:12:05 +0200,2014-06-18 17:19:51 +0200
203.189.88.233,ip-88.233.arsip.esdm.go.id.,ID,"","",,false,0.64,2015-09-30 20:11:47 +0200,2014-06-18 17:22:05 +0200
101.255.64.194,ns1.albinaa.co.id.,ID,Jakarta,9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.3,,true,0.76,2015-09-30 20:11:53 +0200,2014-06-19 20:40:29 +0200
110.76.151.1,gway.akakom.ac.id.,ID,Yogyakarta,"",,false,0.93,2015-09-30 20:12:00 +0200,2014-06-19 21:15:04 +0200
110.76.151.17,lab.akakom.ac.id.,ID,Yogyakarta,"",,false,0.99,2015-09-30 20:11:50 +0200,2014-06-19 21:16:56 +0200
103.3.213.26,"",ID,Jakarta,"",,false,1.0,2015-09-30 20:11:51 +0200,2014-06-20 02:40:50 +0200
42.62.176.30,"",ID,Mataram,"",,false,0.72,2015-09-30 20:12:00 +0200,2014-06-24 04:49:58 +0200
42.62.176.38,"",ID,Mataram,"",,false,0.84,2015-09-30 20:11:54 +0200,2014-06-24 04:50:51 +0200
203.189.89.1,ip-89.0.djmigas.esdm.go.id.,ID,"","",,false,0.98,2015-09-30 20:12:14 +0200,2014-09-10 14:01:42 +0200
203.189.89.15,ip-89.15.djmigas.esdm.go.id.,ID,"",9.5.1-P3,,false,0.99,2015-09-30 20:12:13 +0200,2014-09-10 14:03:02 +0200
203.189.89.35,ip-89.35.djmbp.esdm.go.id.,ID,"",9.7.0-P1,,false,1.0,2015-09-30 20:12:13 +0200,2014-09-10 14:05:15 +0200
203.189.89.36,mail.minerba.esdm.go.id.,ID,"","",,false,1.0,2015-09-30 20:12:16 +0200,2014-09-10 14:05:16 +0200
203.189.89.65,ip-89.65.kebt.diklat.esdm.go.id.,ID,"","",,false,0.73,2015-09-30 20:12:12 +0200,2014-09-10 14:08:40 +0200
203.189.89.81,ip-89.81.set.diklat.esdm.go.id.,ID,"","",,false,0.82,2015-09-30 20:12:13 +0200,2014-09-10 14:10:08 +0200
203.189.89.130,ip-89.130.geologi.litbang.esdm.go.id.,ID,"","",,false,0.98,2015-09-30 20:12:17 +0200,2014-09-10 14:13:29 +0200
203.189.89.134,ip-89.134.geologi.litbang.esdm.go.id.,ID,"","",,false,0.99,2015-09-30 20:12:14 +0200,2014-09-10 14:13:32 +0200
203.189.89.138,mail.pusdiklat-geologi.esdm.go.id.,ID,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.99,2015-09-30 20:12:13 +0200,2014-09-10 14:13:49 +0200
203.189.89.210,mail.tekmira.esdm.go.id.,ID,"","",,false,0.99,2015-09-30 20:12:14 +0200,2014-09-10 14:21:35 +0200
203.189.89.241,ip-89.241.pvmbg.esdm.go.id.,ID,"","",,false,0.52,2015-09-30 20:12:16 +0200,2014-09-10 14:25:35 +0200
202.91.8.234,"",ID,Yogyakarta,"",,false,0.45,2015-09-30 20:12:21 +0200,2014-09-11 01:10:33 +0200
203.189.89.249,ip-89.249.bdtbt.esdm.go.id.,ID,"","",,false,0.93,2015-09-30 20:12:22 +0200,2014-12-25 20:34:20 +0100
203.189.89.169,ip-89.169.set.litbang.esdm.go.id.,ID,"","",,false,0.99,2015-09-30 20:12:22 +0200,2014-12-25 20:42:09 +0100
203.189.89.162,ip-89.162.migas.diklat.esdm.go.id.,ID,"","",,false,0.82,2015-09-30 20:12:22 +0200,2014-12-25 20:43:00 +0100
203.189.89.156,ip-89.156.tmb.diklat.esdm.go.id.,ID,"","",,false,0.49,2015-09-30 20:12:22 +0200,2014-12-25 20:43:43 +0100
42.62.176.9,"",ID,Mataram,"",,false,1.0,2015-09-30 20:13:05 +0200,2014-12-27 12:19:31 +0100
42.62.176.10,"",ID,Mataram,"",,false,1.0,2015-09-30 20:13:06 +0200,2014-12-27 12:19:31 +0100
42.62.176.50,"",ID,Mataram,"",,false,0.91,2015-09-30 20:13:06 +0200,2014-12-27 12:24:13 +0100
42.62.176.98,"",ID,Mataram,"",,false,1.0,2015-09-30 20:13:06 +0200,2014-12-27 12:29:44 +0100
113.11.156.58,"",ID,Timur,"",,false,0.19,2015-09-30 20:13:09 +0200,2014-12-27 13:19:35 +0100
117.103.175.170,"",ID,Yogyakarta,"",,false,0.97,2015-09-30 20:13:34 +0200,2014-12-27 15:23:11 +0100
49.236.220.70,"",ID,Bandung,"",,false,0.84,2015-09-30 20:13:52 +0200,2014-12-27 15:28:39 +0100
103.31.32.250,"",ID,"","",,false,0.58,2015-09-30 20:13:58 +0200,2014-12-27 15:29:21 +0100
103.29.196.231,ns3.unud.ac.id.,ID,Jimbaran,9.7.3,,false,0.98,2015-09-30 20:14:01 +0200,2014-12-27 22:02:59 +0100
103.224.101.19,mail.inetku.net.id.,ID,"",9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6,,true,1.0,2015-09-30 20:14:02 +0200,2014-12-27 23:01:41 +0100
202.58.124.39,opis2.sctv-jkt.tv.,ID,Jakarta,"",,false,0.88,2015-09-30 20:14:14 +0200,2014-12-29 12:06:01 +0100
202.162.217.50,mx4.lipi.go.id.,ID,Depok,"",,false,0.99,2015-09-30 20:16:31 +0200,2014-12-29 12:33:23 +0100
175.103.36.65,65.36.103.175.maxindo.net.,ID,Jakarta,"",,false,1.0,2015-09-30 20:18:17 +0200,2014-12-29 12:52:42 +0100
122.144.7.125,125.7.144.122.maxindo.net.,ID,Jakarta,"",,false,1.0,2015-09-30 20:18:30 +0200,2014-12-29 12:54:32 +0100
103.28.148.14,ns1.gogiek.net.,ID,Cianjur,"",,false,0.97,2015-09-30 20:20:51 +0200,2014-12-29 13:15:52 +0100
103.29.6.133,133.6.29.103.sbp.net.id.,ID,Patam,"",,false,0.84,2015-09-30 20:21:39 +0200,2014-12-29 13:23:49 +0100
101.255.105.5,"",ID,Jakarta,"",,false,0.89,2015-09-30 20:22:04 +0200,2014-12-29 13:28:45 +0100
123.231.239.218,"",ID,"","",,false,1.0,2015-09-30 20:22:16 +0200,2014-12-29 13:30:16 +0100
180.250.196.116,"",ID,"","",,false,0.58,2015-09-30 20:23:03 +0200,2014-12-29 13:36:45 +0100
139.255.40.11,ln-static-139-255-40-11.link.net.id.,ID,Jakarta,"",,false,0.97,2015-09-30 20:23:21 +0200,2014-12-29 13:39:40 +0100
103.29.6.157,157.6.29.103.sbp.net.id.,ID,Patam,"",,false,0.97,2015-09-30 20:23:45 +0200,2014-12-29 13:43:05 +0100
202.72.217.74,"",ID,"","",,false,0.58,2015-09-30 20:23:43 +0200,2014-12-29 13:43:13 +0100
