ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
62.40.32.33,dns1.o2.ie.,IE,Dublin,O2 Ireland DNS,,false,0.78,2015-10-22 23:46:17 +0200,2013-01-30 18:11:05 +0100
62.40.32.34,dns2.o2.ie.,IE,Dublin,O2 Ireland DNS,,false,0.96,2015-10-22 23:46:17 +0200,2013-01-30 18:11:08 +0100
194.149.76.39,auth01.weblink.ie.,IE,Dublin,8.2.3-REL,,false,0.98,2015-10-22 23:47:31 +0200,2013-08-08 08:11:01 +0200
195.43.155.141,"",IE,Galway,"",,false,1.0,2015-10-22 23:53:06 +0200,2014-12-29 12:23:14 +0100
46.7.215.203,"",IE,"",dnsmasq-2.41,,true,1.0,2015-10-22 23:54:52 +0200,2014-12-29 12:44:11 +0100
83.70.180.238,"",IE,Stillorgan,"",,false,0.99,2015-10-22 23:58:08 +0200,2014-12-29 13:13:48 +0100
92.51.193.70,92-51-193-70.broadband.digiweb.ie.,IE,"","",,false,0.99,2015-10-23 00:15:25 +0200,2014-12-29 15:16:33 +0100
185.5.242.85,"",IE,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 00:17:51 +0200,2014-12-29 15:30:01 +0100
86.47.42.50,"",IE,"",None of your business,,false,1.0,2015-10-23 00:20:03 +0200,2014-12-29 15:41:19 +0100
188.165.4.168,mx3.qsemail.net.,IE,"",dnsmasq-2.66,,false,1.0,2015-10-23 00:22:55 +0200,2014-12-29 15:57:08 +0100
88.87.176.60,"",IE,"","",,false,1.0,2015-10-23 00:31:47 +0200,2014-12-29 16:43:12 +0100
217.115.124.203,"",IE,Dublin,"",,false,1.0,2015-10-23 00:34:15 +0200,2014-12-29 16:59:31 +0100
193.120.165.171,"",IE,Dublin,"",,false,1.0,2015-10-23 00:37:27 +0200,2014-12-29 17:28:27 +0100
84.39.237.24,"",IE,Cork,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 00:37:29 +0200,2014-12-29 17:28:35 +0100
193.120.165.170,"",IE,Dublin,"",,false,0.99,2015-10-23 00:41:07 +0200,2014-12-29 18:05:38 +0100
95.83.244.112,"",IE,"","",,true,1.0,2015-10-23 00:47:26 +0200,2014-12-29 19:01:58 +0100
95.83.244.117,"",IE,"","",,true,1.0,2015-10-23 00:49:26 +0200,2014-12-29 19:18:21 +0100
86.43.81.177,"",IE,Lucan,"",,false,0.97,2015-10-23 00:52:07 +0200,2014-12-29 19:44:36 +0100
95.83.244.136,"",IE,"","",,true,1.0,2015-10-23 00:52:54 +0200,2014-12-29 19:53:46 +0100
54.77.119.36,ec2-54-77-119-36.eu-west-1.compute.amazonaws.com.,IE,Dublin,dnsmasq-2.48,,false,1.0,2015-10-23 01:05:46 +0200,2014-12-29 21:52:01 +0100
89.204.222.202,"",IE,"","",,true,1.0,2015-10-23 01:06:13 +0200,2014-12-29 21:56:06 +0100
195.222.111.222,"",IE,Kinvarra,Served by PowerDNS - http://www.powerdns.com,,false,1.0,2015-10-23 01:07:17 +0200,2014-12-29 22:03:48 +0100
195.222.111.223,ptr-111-223.mve.ip.airwire.ie.,IE,Kinvarra,Served by POWERDNS 3.0 $Id: packethandler.cc 2231 2011-07-11 07:25:27Z ahu $,,false,0.99,2015-10-23 01:12:07 +0200,2014-12-29 22:43:05 +0100
86.43.85.101,"",IE,"","",,true,0.99,2015-10-23 01:15:50 +0200,2014-12-29 23:31:02 +0100
89.234.98.15,ip-89-234-98-15.dgh.metro.digiweb.ie.,IE,"","",,false,0.91,2015-10-23 01:18:48 +0200,2014-12-30 00:41:37 +0100
86.47.58.252,"",IE,Leixlip,Not disclosed,,true,0.82,2015-10-23 01:21:38 +0200,2014-12-30 01:40:53 +0100
82.141.230.25,mail.grandons.ie.,IE,"","",,false,1.0,2015-10-23 01:31:54 +0200,2014-12-30 11:15:30 +0100
134.0.80.101,"",IE,"",dnsmasq-2.62,,false,0.97,2015-10-23 01:35:22 +0200,2014-12-30 11:47:04 +0100
92.51.198.54,ip-92-51-198-54.broadband.digiweb.ie.,IE,"",ZyWALL DNS,,false,1.0,2015-10-23 01:42:32 +0200,2014-12-30 12:51:15 +0100
134.0.80.102,"",IE,"",dnsmasq-2.62,,false,0.97,2015-10-23 01:45:36 +0200,2014-12-30 13:17:40 +0100
46.19.210.113,"",IE,"",Served by POWERDNS 2.9.21 $Id: packethandler.cc 1036 2007-04-19 20:43:14Z ahu $,,false,1.0,2015-10-23 01:55:08 +0200,2014-12-30 14:33:52 +0100
93.107.99.49,remote.pjboner.com.,IE,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-23 01:58:10 +0200,2014-12-30 15:08:00 +0100
86.47.106.210,"",IE,"",dnsmasq-2.48,,true,0.99,2015-10-23 02:01:11 +0200,2014-12-30 15:34:42 +0100
87.232.44.61,mail.cashintelecom.ie.,IE,"",imag!ne,,true,1.0,2015-10-23 02:03:57 +0200,2014-12-30 16:02:15 +0100
54.194.183.198,ec2-54-194-183-198.eu-west-1.compute.amazonaws.com.,IE,Dublin,"",,false,1.0,2015-10-23 02:16:22 +0200,2014-12-30 18:10:40 +0100
185.24.232.225,225.232.24.185.rdns.servebyte.com.,IE,"",GNS DNS Version 3,,false,0.99,2015-10-23 02:18:04 +0200,2014-12-30 18:31:05 +0100
89.204.218.209,"",IE,"","",,true,1.0,2015-10-23 02:18:39 +0200,2014-12-30 18:38:28 +0100
95.142.112.4,ns1.ccbisp.net.,IE,Cork,"",,false,1.0,2015-10-23 02:19:38 +0200,2014-12-30 18:50:18 +0100
95.83.247.139,"",IE,"","",,true,1.0,2015-10-23 02:29:58 +0200,2014-12-31 19:28:49 +0100
95.45.247.210,"",IE,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.75,2015-10-22 17:42:41 +0200,2014-12-31 20:01:43 +0100
