ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
147.235.250.2,ns1.bezek.com.,IL,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5_4.2,,false,1.0,2015-10-29 11:26:14 +0100,2011-01-19 02:07:25 +0100
213.8.145.132,mail1.rehost.co.il.,IL,"",Not disclosed,,false,1.0,2015-10-29 11:27:11 +0100,2013-04-23 02:56:49 +0200
213.8.145.133,Ns11.rehost.co.il.,IL,"",Not disclosed,,false,1.0,2015-10-29 11:27:11 +0100,2013-04-23 02:56:49 +0200
147.235.251.3,ns2.bezek.com.,IL,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5_4.2,,false,1.0,2015-10-29 11:29:38 +0100,2014-09-08 22:41:30 +0200
62.219.10.65,bzq-62-219-10-65.dcenter.bezeqint.net.,IL,"",dnsmasq-2.48,,true,0.98,2015-10-29 11:29:57 +0100,2014-12-27 00:09:57 +0100
212.25.74.222,mail.itamar-medical.com.,IL,"",GoAway(TM) by Yan Malgin v 2010,,false,1.0,2015-10-29 11:30:40 +0100,2014-12-27 15:19:45 +0100
62.219.10.77,bzq-62-219-10-77.dcenter.bezeqint.net.,IL,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.95,2015-10-29 11:30:56 +0100,2014-12-27 15:24:06 +0100
213.8.193.228,Hosting-IGLD-193-228.inter.net.il.,IL,"","",,false,0.99,2015-10-29 11:32:27 +0100,2014-12-29 12:17:00 +0100
81.218.222.212,bzq-218-222-212.red.bezeqint.net.,IL,"","",,false,1.0,2015-10-29 11:33:31 +0100,2014-12-29 12:29:05 +0100
212.235.72.236,mail.adar-airtech.co.il.,IL,"",Microsoft DNS 6.0.6001 (17714726),,false,0.92,2015-10-29 11:33:52 +0100,2014-12-29 12:33:30 +0100
213.8.193.227,Hosting-IGLD-193-227.inter.net.il.,IL,"","",,false,0.99,2015-10-29 11:34:56 +0100,2014-12-29 12:45:56 +0100
62.219.10.70,bzq-62-219-10-70.dcenter.bezeqint.net.,IL,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-29 11:35:25 +0100,2014-12-29 12:51:20 +0100
212.235.72.215,dsl212-235-72-215.bb.netvision.net.il.,IL,"","",,false,1.0,2015-10-29 11:36:24 +0100,2014-12-29 12:59:23 +0100
194.90.241.40,mail.ballas-eng.com.,IL,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-29 11:38:28 +0100,2014-12-29 13:18:44 +0100
62.0.101.1,"",IL,"",dnsmasq-2.15,,false,0.95,2015-10-29 11:39:24 +0100,2014-12-29 13:27:12 +0100
62.219.10.66,bzq-62-219-10-66.dcenter.bezeqint.net.,IL,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-29 11:39:55 +0100,2014-12-29 13:31:38 +0100
80.179.219.59,80.179.219.59.cable.012.net.il.,IL,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.72,2015-10-29 11:42:04 +0100,2014-12-29 13:50:18 +0100
62.219.83.137,cust-219-83-137.cust.bezeqint.net.,IL,"","",,false,0.94,2015-10-29 11:42:59 +0100,2014-12-29 13:59:15 +0100
