ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
203.115.81.38,sdns.pacenet-india.net.,IN,"",9.7.0-P2,,false,0.77,2015-09-30 20:09:04 +0200,2013-01-30 19:11:45 +0100
203.193.139.150,stpin.soft.net.,IN,"",9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.3,,false,1.0,2015-09-30 20:09:04 +0200,2013-01-30 19:14:26 +0100
202.83.21.12,ns2.acttv.in.,IN,"",9.3.6-P1-RedHat-9.3.6-4.P1.el5_4.2,,false,0.97,2015-09-30 20:09:55 +0200,2013-05-06 17:12:25 +0200
203.115.71.66,pdns.pacenet-india.net.,IN,"",9.7.0-P2,,false,0.99,2015-09-30 20:09:58 +0200,2013-05-14 02:55:33 +0200
202.83.20.101,ns1.acttv.in.,IN,Bangalore,9.3.6-P1-RedHat-9.3.6-4.P1.el5_4.2,,false,1.0,2015-09-30 20:09:58 +0200,2013-06-13 12:38:37 +0200
202.83.30.5,ns4.acttv.in.,IN,"",0,,false,1.0,2015-09-30 20:09:57 +0200,2013-06-13 12:38:39 +0200
106.51.255.133,ns5.acttv.in.,IN,"",0,,false,1.0,2015-09-30 20:09:57 +0200,2013-06-13 12:38:40 +0200
115.111.176.131,ibox1.iniservers.com.,IN,"",9.8.2rc1-RedHat-9.8.2-0.17.rc1.el6_4.6,,true,1.0,2015-09-30 20:11:19 +0200,2013-09-04 23:08:17 +0200
58.68.121.230,abs-static-230.121.68.58.aircel.co.in.,IN,"","",,false,0.93,2015-09-30 20:11:30 +0200,2013-11-19 03:19:45 +0100
103.10.24.103,"",IN,"",9.9.5,,true,0.84,2015-09-30 20:11:26 +0200,2014-01-23 07:08:38 +0100
202.62.224.2,ns2.ortelcom.com.,IN,Bhubaneswar,"",,false,0.85,2015-09-30 20:11:36 +0200,2014-05-12 18:21:25 +0200
202.138.120.4,"",IN,Mumbai,"",,false,1.0,2015-09-30 20:11:33 +0200,2014-05-12 18:22:42 +0200
202.138.120.6,mail.ecirclenext.net.,IN,Mumbai,"",,false,0.99,2015-09-30 20:11:31 +0200,2014-05-12 18:22:42 +0200
202.138.120.86,ns1.relianceada.com.,IN,Mumbai,"",,false,0.42,2015-09-30 20:11:31 +0200,2014-05-12 18:22:43 +0200
