ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
213.188.67.99,"",IQ,"",dnsmasq-2.40,,true,0.13,2015-10-23 00:07:27 +0200,2014-12-29 14:30:39 +0100
31.25.142.34,"",IQ,Erbil,"",,false,0.68,2015-10-23 00:08:11 +0200,2014-12-29 14:35:59 +0100
109.224.24.219,"",IQ,"","",,false,0.99,2015-10-23 00:13:43 +0200,2014-12-29 15:06:25 +0100
185.14.251.194,"",IQ,"","",,false,1.0,2015-10-23 00:25:40 +0200,2014-12-29 16:10:53 +0100
164.138.237.134,"",IQ,Basra,"",,false,0.9,2015-10-23 00:40:01 +0200,2014-12-29 17:53:07 +0100
109.224.1.59,"",IQ,"","",,false,0.92,2015-10-23 00:57:03 +0200,2014-12-29 20:42:25 +0100
109.224.1.12,"",IQ,"","",,false,0.99,2015-10-23 01:04:11 +0200,2014-12-29 21:40:00 +0100
109.224.24.50,"",IQ,"","",,false,0.9,2015-10-23 01:18:02 +0200,2014-12-30 00:25:53 +0100
109.224.24.51,"",IQ,"","",,false,0.99,2015-10-23 01:18:36 +0200,2014-12-30 00:38:50 +0100
109.224.21.90,"",IQ,"","",,false,0.99,2015-10-23 01:26:01 +0200,2014-12-30 09:52:22 +0100
109.237.204.73,"",IQ,"",dnsmasq-2.40,,false,0.22,2015-10-23 01:26:29 +0200,2014-12-30 09:58:38 +0100
109.224.5.114,"",IQ,"","",,false,0.89,2015-10-23 01:28:20 +0200,2014-12-30 10:26:12 +0100
37.236.146.42,"",IQ,"","",,false,0.99,2015-10-23 01:30:22 +0200,2014-12-30 10:55:09 +0100
185.52.116.38,"",IQ,"","",,false,0.88,2015-10-23 01:41:35 +0200,2014-12-30 12:42:40 +0100
109.224.10.226,"",IQ,"","",,false,0.88,2015-10-23 01:42:57 +0200,2014-12-30 12:55:02 +0100
62.201.207.236,"",IQ,Sulaymaniyah,"",,false,1.0,2015-10-23 01:46:17 +0200,2014-12-30 13:23:25 +0100
185.52.116.11,"",IQ,"","",,false,0.98,2015-10-23 01:47:41 +0200,2014-12-30 13:35:25 +0100
185.52.116.10,"",IQ,"","",,false,0.99,2015-10-23 01:48:53 +0200,2014-12-30 13:44:22 +0100
185.52.116.6,"",IQ,"","",,false,0.99,2015-10-23 01:54:53 +0200,2014-12-30 14:31:12 +0100
62.201.205.79,"",IQ,Sulaymaniyah,dnsmasq-2.40,,true,1.0,2015-10-23 02:08:09 +0200,2014-12-30 16:36:29 +0100
159.255.165.97,"",IQ,Erbil,"",,false,0.97,2015-10-23 02:18:06 +0200,2014-12-30 18:31:03 +0100
109.224.16.30,"",IQ,"","",,false,0.98,2015-10-23 02:24:22 +0200,2014-12-30 19:46:01 +0100
176.241.91.199,"",IQ,Hayat,"",,false,0.94,2015-10-23 02:27:09 +0200,2014-12-30 20:19:44 +0100
109.224.27.125,"",IQ,"","",,false,0.98,2015-10-22 17:48:12 +0200,2014-12-31 22:52:19 +0100
109.224.27.126,"",IQ,"","",,false,0.99,2015-10-22 17:49:50 +0200,2014-12-31 23:39:01 +0100
213.188.67.60,"",IQ,"",dnsmasq-2.40,,false,0.16,2015-10-22 17:52:56 +0200,2015-01-05 18:10:44 +0100
185.34.18.211,"",IQ,"","",,false,1.0,2015-10-22 18:04:42 +0200,2015-01-06 01:29:05 +0100
176.241.90.70,"",IQ,Hayat,"",,false,0.97,2015-10-22 18:10:37 +0200,2015-01-06 04:22:27 +0100
95.159.69.161,"",IQ,Sulaymaniyah,"",,false,0.98,2015-10-22 18:24:31 +0200,2015-01-06 11:07:46 +0100
109.224.29.58,"",IQ,"","",,false,0.97,2015-10-22 18:27:41 +0200,2015-01-06 12:29:44 +0100
109.224.62.58,"",IQ,"","",,false,0.85,2015-10-22 18:34:45 +0200,2015-01-06 15:31:49 +0100
109.224.55.2,"",IQ,"","",,false,0.73,2015-10-22 18:45:18 +0200,2015-01-06 20:00:29 +0100
109.224.27.122,"",IQ,"","",,false,0.99,2015-10-22 18:46:54 +0200,2015-01-06 20:40:10 +0100
109.224.55.34,"",IQ,"","",,false,0.99,2015-10-22 18:47:14 +0200,2015-01-06 20:48:49 +0100
109.224.18.34,"",IQ,"","",,false,0.99,2015-10-22 18:51:24 +0200,2015-01-06 22:18:48 +0100
212.126.98.222,"",IQ,"","",,false,0.98,2015-10-22 18:56:46 +0200,2015-01-07 01:33:18 +0100
212.126.99.42,"",IQ,"","",,false,0.99,2015-10-22 18:58:38 +0200,2015-01-07 02:32:05 +0100
212.126.99.122,"",IQ,"","",,false,0.95,2015-10-22 19:00:43 +0200,2015-01-07 03:34:11 +0100
37.98.231.109,"",IQ,"","",,false,0.99,2015-10-22 19:03:26 +0200,2015-01-07 04:54:29 +0100
109.224.27.123,"",IQ,"","",,false,1.0,2015-10-22 19:21:40 +0200,2015-01-07 14:22:48 +0100
62.201.203.75,"",IQ,Sulaymaniyah,"",,false,0.79,2015-10-22 19:22:20 +0200,2015-01-07 14:44:19 +0100
109.224.27.124,"",IQ,"","",,false,1.0,2015-10-22 19:31:11 +0200,2015-01-07 19:08:43 +0100
164.138.232.1,"",IQ,Basra,"",,false,0.92,2015-10-22 19:34:04 +0200,2015-01-07 20:36:35 +0100
164.138.232.2,"",IQ,Basra,"",,false,0.98,2015-10-22 19:34:08 +0200,2015-01-07 20:37:31 +0100
109.224.47.126,"",IQ,Al `Amarah,"",,false,0.96,2015-10-22 19:36:12 +0200,2015-01-07 21:30:42 +0100
159.255.167.49,"",IQ,Erbil,"",,false,0.97,2015-10-22 19:45:58 +0200,2015-01-08 01:38:36 +0100
213.188.68.246,"",IQ,"",dnsmasq-2.40,,false,0.11,2015-10-22 19:58:53 +0200,2015-01-08 08:30:09 +0100
185.34.18.118,"",IQ,"","",,false,0.95,2015-10-22 20:05:59 +0200,2015-01-08 13:05:05 +0100
109.224.16.130,"",IQ,"","",,false,0.8,2015-10-22 20:13:38 +0200,2015-01-08 16:58:13 +0100
109.224.16.114,"",IQ,"","",,false,0.99,2015-10-22 20:14:51 +0200,2015-01-08 17:38:37 +0100
109.224.31.174,"",IQ,Al `Amarah,"",,false,0.75,2015-10-22 20:18:11 +0200,2015-01-08 19:24:08 +0100
130.193.131.2,"",IQ,Erbil,"",,false,1.0,2015-10-22 20:20:26 +0200,2015-01-08 20:34:31 +0100
95.170.203.34,"",IQ,Erbil,"",,false,0.91,2015-10-22 20:38:08 +0200,2015-01-09 05:20:24 +0100
95.170.203.68,"",IQ,Erbil,"",,false,0.92,2015-10-22 20:40:50 +0200,2015-01-09 06:38:22 +0100
109.224.25.107,"",IQ,"","",,false,0.99,2015-10-22 20:41:04 +0200,2015-01-09 06:47:21 +0100
109.224.25.98,"",IQ,"","",,false,0.91,2015-10-22 20:42:02 +0200,2015-01-09 07:16:16 +0100
109.224.54.107,"",IQ,"","",,false,1.0,2015-10-22 20:57:05 +0200,2015-01-09 14:13:03 +0100
109.224.12.98,"",IQ,"","",,false,0.97,2015-10-22 21:01:08 +0200,2015-01-09 17:34:49 +0100
109.237.200.61,"",IQ,"",dnsmasq-2.40,,false,0.24,2015-10-22 21:07:36 +0200,2015-01-09 21:32:34 +0100
109.224.49.204,"",IQ,Al `Amarah,"",,false,0.99,2015-10-22 21:08:04 +0200,2015-01-09 21:47:26 +0100
109.224.25.82,"",IQ,"","",,false,1.0,2015-10-22 21:14:50 +0200,2015-01-10 01:52:48 +0100
109.224.32.60,"",IQ,Al `Amarah,"",,false,0.99,2015-10-22 21:17:54 +0200,2015-01-10 03:30:36 +0100
37.239.42.100,"",IQ,"","",,false,0.96,2015-10-22 21:20:41 +0200,2015-01-10 05:03:05 +0100
109.224.31.226,"",IQ,Al `Amarah,"",,false,0.94,2015-10-22 21:22:35 +0200,2015-01-10 06:27:52 +0100
185.42.192.114,"",IQ,"","",,false,1.0,2015-10-22 21:24:57 +0200,2015-01-10 07:49:36 +0100
109.224.33.98,"",IQ,Al `Amarah,"",,false,0.99,2015-10-22 21:26:29 +0200,2015-01-10 08:35:58 +0100
