ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
80.253.132.134,int0.client.access.azadnet.net.,IR,Azad,"",,false,0.7,2015-10-22 23:47:15 +0200,2013-04-23 03:15:06 +0200
79.127.98.191,"",IR,"","",,false,0.46,2015-10-22 23:47:46 +0200,2013-08-27 13:08:04 +0200
79.127.99.59,"",IR,"","",,false,0.54,2015-10-22 23:47:44 +0200,2013-08-27 13:08:10 +0200
79.127.101.123,"",IR,"","",,false,0.56,2015-10-22 23:47:47 +0200,2013-08-27 13:08:37 +0200
79.127.102.6,"",IR,"","",,false,0.19,2015-10-22 23:47:46 +0200,2013-08-27 13:08:43 +0200
79.127.108.103,"",IR,"","",,false,0.52,2015-10-22 23:47:46 +0200,2013-08-27 13:09:51 +0200
79.127.108.116,"",IR,"","",,false,0.37,2015-10-22 23:47:53 +0200,2013-08-27 13:10:02 +0200
213.176.0.5,"",IR,"",9.3.4-P1,,false,0.46,2015-10-22 23:47:48 +0200,2013-08-27 13:11:43 +0200
93.126.19.244,asmanfaraz.244.19.126.93.in-addr.arpa.,IR,Isfahan,8.2.3-REL,,false,0.77,2015-10-22 23:47:52 +0200,2013-08-27 13:19:21 +0200
93.126.19.66,asmanfaraz.65.19.126.93.in-addr.arpa.,IR,Isfahan,"",,false,0.68,2015-10-22 23:47:52 +0200,2013-08-27 13:19:28 +0200
80.191.48.133,"",IR,"",9.8.1-P1,,false,0.49,2015-10-22 23:47:50 +0200,2013-08-27 13:26:05 +0200
80.191.92.146,"",IR,"","",,false,0.52,2015-10-22 23:47:55 +0200,2013-08-27 13:26:31 +0200
80.191.92.150,"",IR,"","",,false,0.49,2015-10-22 23:47:51 +0200,2013-08-27 13:26:31 +0200
91.98.48.66,91.98.48.66.pol.ir.,IR,Shahrak-e Pars,"",,false,0.39,2015-10-22 23:47:49 +0200,2013-08-27 13:26:38 +0200
80.191.101.253,"",IR,"","",,false,0.51,2015-10-22 23:47:49 +0200,2013-08-27 13:26:49 +0200
91.98.51.205,91.98.51.205.pol.ir.,IR,Shahrak-e Pars,"",,false,0.58,2015-10-22 23:47:49 +0200,2013-08-27 13:26:53 +0200
80.191.106.170,"",IR,Azad,"",,false,0.47,2015-10-22 23:47:53 +0200,2013-08-27 13:26:59 +0200
91.98.61.135,91.98.61.135.pol.ir.,IR,Shahrak-e Pars,"",,false,0.37,2015-10-22 23:47:50 +0200,2013-08-27 13:27:56 +0200
91.98.96.100,91.98.96.100.pol.ir.,IR,Shahrak-e Pars,9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.6,,false,0.52,2015-10-22 23:48:06 +0200,2013-08-27 13:29:21 +0200
91.98.109.97,91.98.109.97.pol.ir.,IR,Shahrak-e Pars,"",,false,0.48,2015-10-22 23:48:00 +0200,2013-08-27 13:32:48 +0200
91.98.110.73,91.98.110.73.pol.ir.,IR,Shahrak-e Pars,"",,false,0.74,2015-10-22 23:48:00 +0200,2013-08-27 13:33:04 +0200
91.98.112.128,91.98.112.128.pol.ir.,IR,Shahrak-e Pars,"",,false,0.67,2015-10-22 23:48:02 +0200,2013-08-27 13:33:35 +0200
91.98.116.32,91.98.116.32.pol.ir.,IR,Shahrak-e Pars,"",,false,0.48,2015-10-22 23:48:11 +0200,2013-08-27 13:34:12 +0200
80.191.233.5,"",IR,"","",,false,0.35,2015-10-22 23:48:05 +0200,2013-08-27 13:34:50 +0200
80.191.233.13,"",IR,"","",,false,0.39,2015-10-22 23:48:05 +0200,2013-08-27 13:34:51 +0200
91.98.122.37,91.98.122.37.pol.ir.,IR,Shahrak-e Pars,"",,false,0.56,2015-10-22 23:48:08 +0200,2013-08-27 13:35:04 +0200
91.98.122.129,91.98.122.129.pol.ir.,IR,Shahrak-e Pars,"",,false,0.59,2015-10-22 23:48:07 +0200,2013-08-27 13:35:07 +0200
91.98.128.112,91.98.128.112.pol.ir.,IR,Shahrak-e Pars,"",,false,0.76,2015-10-22 23:48:08 +0200,2013-08-27 13:35:57 +0200
