ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
217.9.143.11,dns1.xnet.is.,IS,"",PowerDNS Authoritative Server 3.3 (jenkins@autotest.powerdns.com built 20131204141011 root@dns1.xnet.is),,false,1.0,2015-10-22 23:56:42 +0200,2014-12-29 13:00:12 +0100
212.30.195.134,uriel.rogg.is.,IS,Reykjavik,"",,false,0.85,2015-10-23 00:05:01 +0200,2014-12-29 14:14:28 +0100
157.157.78.180,157-157-78-180.static.simnet.is.,IS,Reykjavik,dnsmasq-2.48,,false,1.0,2015-10-23 00:05:22 +0200,2014-12-29 14:16:54 +0100
217.9.143.12,dns2.xnet.is.,IS,"",Served by POWERDNS 2.9.22 $Id: packethandler.cc 1321 2008-12-06 19:44:36Z ahu $,,false,1.0,2015-10-23 00:07:42 +0200,2014-12-29 14:32:11 +0100
149.126.81.25,25-81-126-149.ftth.simafelagid.is.,IS,"",dnsmasq-2.40,,false,1.0,2015-10-23 00:07:50 +0200,2014-12-29 14:33:35 +0100
157.157.138.227,gss-postur.stykk.is.,IS,"","",,false,1.0,2015-10-23 00:27:38 +0200,2014-12-29 16:20:49 +0100
157.157.40.239,"",IS,"",dnsmasq-2.46,,false,1.0,2015-10-23 00:29:30 +0200,2014-12-29 16:29:33 +0100
157.157.158.175,157-157-158-175.static.simnet.is.,IS,Reykjavik,Microsoft DNS 6.0.6002 (1772487D),,false,0.97,2015-10-23 00:35:43 +0200,2014-12-29 17:09:13 +0100
37.205.35.73,ipnet-37-205-35-73.midja.is.,IS,"",dnsmasq-2.40,,false,0.98,2015-10-23 00:36:25 +0200,2014-12-29 17:16:44 +0100
213.213.150.143,213-213-150-143.xdsl.is.,IS,Reykjavik,"",,false,1.0,2015-10-23 00:44:41 +0200,2014-12-29 18:37:37 +0100
212.30.220.133,postur.tinna.is.,IS,"",unbound 1.4.21,,false,1.0,2015-10-23 00:50:13 +0200,2014-12-29 19:25:02 +0100
185.25.252.13,"",IS,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 01:05:28 +0200,2014-12-29 21:49:57 +0100
82.148.69.66,netserver.kvenno.is.,IS,"","",,false,0.99,2015-10-23 01:09:28 +0200,2014-12-29 22:19:36 +0100
194.144.226.12,sneddy.com.,IS,Reykjavik,"",,false,1.0,2015-10-23 01:15:44 +0200,2014-12-29 23:29:25 +0100
157.157.84.78,mail.softverk.is.,IS,Reykjavik,Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-23 01:29:17 +0200,2014-12-30 10:39:29 +0100
193.107.84.21,"",IS,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 01:35:02 +0200,2014-12-30 11:44:04 +0100
193.107.84.44,mx1.avecoh.com.,IS,"",Microsoft DNS 6.1.7601 (1DB1557D),,false,1.0,2015-10-23 01:35:26 +0200,2014-12-30 11:47:18 +0100
193.107.84.115,"",IS,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 01:38:11 +0200,2014-12-30 12:11:37 +0100
194.144.249.78,ns1.securitas.is.,IS,"","",,false,1.0,2015-10-23 01:45:37 +0200,2014-12-30 13:17:33 +0100
194.144.1.106,postur.tim.is.,IS,Reykjavik,dnsmasq-2.48,,true,1.0,2015-10-23 01:59:21 +0200,2014-12-30 15:17:30 +0100
178.19.60.217,217-60-19-178.xdsl.simafelagid.is.,IS,"",dnsmasq-2.48,,false,0.99,2015-10-23 02:06:21 +0200,2014-12-30 16:22:15 +0100
212.30.212.184,cdns.tolvunet.is.,IS,"",PowerDNS Recursor 3.5.3 $Id$,,false,1.0,2015-10-23 02:21:06 +0200,2014-12-30 19:08:22 +0100
178.19.60.190,190-60-19-178.xdsl.simafelagid.is.,IS,"","",,false,0.97,2015-10-23 02:27:22 +0200,2014-12-30 20:24:52 +0100
178.19.53.6,"",IS,Reykjavik,"",,false,1.0,2015-10-22 17:53:55 +0200,2015-01-05 19:02:16 +0100
213.213.144.130,postur.arctictrucks.is.,IS,Reykjavik,Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-22 17:55:46 +0200,2015-01-05 20:24:50 +0100
37.205.33.74,ipnet-37-205-33-74.midja.is.,IS,"",unbound 1.4.21,,false,0.6,2015-10-22 18:00:22 +0200,2015-01-05 22:54:44 +0100
89.160.200.18,89-160-200-18.du.xdsl.is.,IS,Reykjavik,dnsmasq-2.40,,true,1.0,2015-10-22 18:19:26 +0200,2015-01-06 08:43:35 +0100
157.157.24.248,157-157-24-248.static.simnet.is.,IS,Reykjavik,dnsmasq-2.48,,false,0.88,2015-10-22 18:21:59 +0200,2015-01-06 10:00:59 +0100
194.144.188.65,gaflarinn.hafnarfjordur.is.,IS,"",9.3.3rc2,,false,0.99,2015-10-22 18:27:17 +0200,2015-01-06 12:19:55 +0100
194.144.36.99,194-144-36-99.du.xdsl.is.,IS,Reykjavik,dnsmasq-2.48,,true,0.99,2015-10-22 18:31:02 +0200,2015-01-06 13:57:15 +0100
37.235.49.210,210-49-235-37.static.isponeder.com.,IS,"",vpnsecure,,true,0.99,2015-10-22 18:59:58 +0200,2015-01-07 03:15:14 +0100
194.105.237.79,"",IS,"","",,false,0.98,2015-10-22 19:06:13 +0200,2015-01-07 06:26:40 +0100
194.105.237.65,"",IS,"","",,false,0.47,2015-10-22 19:10:01 +0200,2015-01-07 08:34:30 +0100
194.144.30.102,194-144-30-102.du.xdsl.is.,IS,Kopavogur,dnsmasq-2.48,,true,1.0,2015-10-22 19:30:48 +0200,2015-01-07 18:57:21 +0100
94.142.155.243,"",IS,"","",,false,1.0,2015-10-22 19:36:47 +0200,2015-01-07 21:46:43 +0100
213.213.155.111,213-213-155-111.xdsl.is.,IS,Reykjavik,"",,true,0.12,2015-10-22 19:40:23 +0200,2015-01-07 23:23:47 +0100
