ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
208.131.175.125,125-175-131-208-br2-STATIC-dsl.cwjamaica.com.,JM,Kingston,"",,false,0.98,2015-10-23 00:17:16 +0200,2014-12-29 15:25:28 +0100
208.138.22.167,167-22-138-208-br2-STATIC-dsl.cwjamaica.com.,JM,Kingston,"",,false,1.0,2015-10-23 00:31:12 +0200,2014-12-29 16:39:46 +0100
208.163.40.172,mail1.mbss.org.jm.,JM,Kingston,"",,false,1.0,2015-10-23 01:05:15 +0200,2014-12-29 21:48:10 +0100
208.163.40.132,mail.moa.gov.jm.,JM,Kingston,"",,false,0.94,2015-10-23 01:07:50 +0200,2014-12-29 22:08:40 +0100
96.43.182.154,"",JM,Kingston,"",,false,0.99,2015-10-23 01:22:03 +0200,2014-12-30 01:45:02 +0100
216.10.221.162,"",JM,Kingston,dnsmasq-2.72,,false,0.95,2015-10-23 01:39:39 +0200,2014-12-30 12:25:30 +0100
216.10.221.157,"",JM,Kingston,"",,false,0.96,2015-10-23 01:56:23 +0200,2014-12-30 14:49:24 +0100
216.10.221.132,"",JM,Kingston,Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-23 02:06:28 +0200,2014-12-30 16:23:21 +0100
72.252.203.233,"",JM,Kingston,"",,false,0.98,2015-10-22 17:46:46 +0200,2014-12-31 22:04:25 +0100
72.252.209.150,"",JM,"","",,false,0.61,2015-10-22 18:13:34 +0200,2015-01-06 05:35:24 +0100
208.131.175.21,21-175-131-208-br2-STATIC-dsl.cwjamaica.com.,JM,Kingston,"",,false,0.99,2015-10-22 18:20:40 +0200,2015-01-06 09:20:34 +0100
72.27.4.104,104-4-27-72-br1-STATIC-dsl.cwjamaica.com.,JM,Kingston,"",,false,0.98,2015-10-22 18:24:25 +0200,2015-01-06 11:03:15 +0100
63.143.84.109,"",JM,Kingston,dnsmasq-2.70,,false,0.99,2015-10-22 18:29:39 +0200,2015-01-06 13:20:40 +0100
199.73.63.60,host-199.73.63.60.dynamic.dekalwireless.net.,JM,Kingston,"",,false,1.0,2015-10-22 19:38:18 +0200,2015-01-07 22:30:28 +0100
72.252.253.245,"",JM,"",dnsmasq-2.40,,true,0.99,2015-10-22 19:50:11 +0200,2015-01-08 03:27:36 +0100
208.131.168.242,"",JM,Kingston,"",,false,1.0,2015-10-22 19:55:23 +0200,2015-01-08 05:49:37 +0100
63.143.81.90,"",JM,Kingston,"",,false,1.0,2015-10-22 20:18:15 +0200,2015-01-08 19:24:17 +0100
67.230.76.158,exchange.greystonecptl.com.,JM,Kingston,"",,false,1.0,2015-10-22 20:19:14 +0200,2015-01-08 20:00:17 +0100
65.183.0.85,ns6.flowja.com.,JM,Kingston,"",,false,1.0,2015-10-22 20:43:45 +0200,2015-01-09 08:02:34 +0100
72.27.222.73,73-11-27-72-STATIC-dsl.cwjamaica.com.,JM,Kingston,dnsmasq-2.40,,true,0.35,2015-10-22 21:28:09 +0200,2015-01-10 09:24:27 +0100
72.27.221.242,mail.craftonsmiller.com.,JM,Kingston,Microsoft DNS 6.0.6002 (1772487D),,false,0.94,2015-10-22 21:29:55 +0200,2015-01-10 10:14:55 +0100
63.143.84.122,"",JM,Kingston,dnsmasq-2.73,,false,0.99,2015-10-22 21:46:33 +0200,2015-01-10 18:12:52 +0100
200.9.115.10,dns.utech.edu.jm.,JM,Kingston,9.3.1,,false,0.97,2015-10-22 22:25:06 +0200,2015-01-11 16:09:50 +0100
72.252.24.133,"",JM,Kingston,Microsoft DNS 6.1.7601 (1DB1446A),,false,1.0,2015-10-22 22:26:48 +0200,2015-01-11 17:06:38 +0100
72.252.24.135,mail.islandnetjam.com.,JM,Kingston,"",,false,1.0,2015-10-22 22:27:40 +0200,2015-01-11 17:32:09 +0100
72.252.248.25,mail.moj.gov.jm.,JM,"","",,false,0.17,2015-10-22 22:44:36 +0200,2015-01-12 01:26:55 +0100
72.27.202.50,50-202-27-72-br2-STATIC-dsl.cwjamaica.com.,JM,Kingston,Microsoft DNS 6.0.6002 (1772487D),,false,0.96,2015-10-22 22:46:36 +0200,2015-01-12 02:21:02 +0100
63.143.81.27,"",JM,Kingston,"",,false,1.0,2015-10-22 22:49:16 +0200,2015-01-12 03:46:47 +0100
65.183.0.76,ns3.flowja.com.,JM,Kingston,not avaliable,,false,0.93,2015-10-22 23:24:06 +0200,2015-03-17 21:06:08 +0100
65.183.0.86,ns4-cache2.isp.jm.flow.cc.,JM,Kingston,not avaliable,,false,0.99,2015-10-22 23:24:06 +0200,2015-03-17 21:06:08 +0100
