ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
212.118.0.1,mail.nets.com.jo.,JO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-22 23:49:10 +0200,2014-05-19 07:25:05 +0200
212.118.0.2,ns3.nets.com.jo.,JO,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.99,2015-10-22 23:49:10 +0200,2014-05-19 07:25:06 +0200
212.35.66.49,mx2.umniah.com.,JO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-22 23:52:35 +0200,2014-12-29 12:16:20 +0100
212.118.12.22,212.118.12.22.ua.batelco.jo.,JO,"",Microsoft DNS 6.1.7601 (1DB144E7),,false,1.0,2015-10-22 23:58:26 +0200,2014-12-29 13:16:30 +0100
77.245.1.11,IP77-245-1-11.zaindata.jo.,JO,"","",,false,1.0,2015-10-23 00:20:31 +0200,2014-12-29 15:44:18 +0100
82.212.86.34,dns5.neutelecom.com.,JO,"",9.3.6-P1,,false,1.0,2015-10-23 01:05:31 +0200,2014-12-29 21:50:10 +0100
217.23.34.100,"",JO,"","",,false,0.9,2015-10-23 01:07:06 +0200,2014-12-29 22:02:02 +0100
80.90.171.202,mail.jmi.edu.jo.,JO,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.96,2015-10-23 01:23:55 +0200,2014-12-30 09:22:06 +0100
213.186.176.19,"",JO,"",dnsmasq-2.40,,false,0.03,2015-10-23 01:24:09 +0200,2014-12-30 09:25:51 +0100
94.249.59.42,"",JO,"",Microsoft DNS 6.0.6002 (17724655),,false,0.89,2015-10-23 01:30:25 +0200,2014-12-30 10:55:52 +0100
213.186.164.36,ns2.abs.edu.jo.,JO,"",9.6-ESV-R11-P1,,false,1.0,2015-10-23 01:31:04 +0200,2014-12-30 11:02:26 +0100
80.90.169.170,IP80-90-169-170.zaindata.jo.,JO,"","",,true,1.0,2015-10-23 01:46:52 +0200,2014-12-30 13:28:40 +0100
87.236.233.70,gateway2.ahu.edu.jo.,JO,"","",,false,0.97,2015-10-23 02:09:42 +0200,2014-12-30 16:49:31 +0100
217.23.34.211,"",JO,"",Microsoft DNS 6.0.6001 (17714650),,false,0.83,2015-10-22 17:42:05 +0200,2014-12-31 19:48:29 +0100
194.165.158.90,"",JO,Amman,dnsmasq-2.40,,false,0.45,2015-10-22 17:52:54 +0200,2015-01-05 18:08:07 +0100
86.108.13.50,"",JO,"","",,false,0.86,2015-10-22 18:03:17 +0200,2015-01-06 00:33:39 +0100
194.165.135.4,"",JO,"","",,false,1.0,2015-10-22 18:06:44 +0200,2015-01-06 02:31:48 +0100
212.35.76.174,"",JO,"",Version: main/17936,,false,0.72,2015-10-22 18:11:55 +0200,2015-01-06 05:01:42 +0100
194.165.132.146,"",JO,"","",,false,0.96,2015-10-22 18:20:41 +0200,2015-01-06 09:20:02 +0100
194.165.134.83,"",JO,"","",,false,0.96,2015-10-22 18:43:56 +0200,2015-01-06 19:25:26 +0100
212.118.3.78,212.118.3.78.ua.batelco.jo.,JO,"","",,false,0.99,2015-10-22 19:02:43 +0200,2015-01-07 04:32:06 +0100
82.212.98.3,rjaf.mil.jo.,JO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.91,2015-10-22 19:14:42 +0200,2015-01-07 10:53:52 +0100
82.212.98.2,mail.rjaf.mil.jo.,JO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-22 19:15:40 +0200,2015-01-07 11:25:23 +0100
194.165.132.147,"",JO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.63,2015-10-22 20:18:42 +0200,2015-01-08 19:37:29 +0100
212.35.65.89,212.35.65.89.ua.batelco.jo.,JO,"","",,false,0.94,2015-10-22 20:19:15 +0200,2015-01-08 19:59:02 +0100
92.253.126.112,thuraya-clearance.jo.,JO,Amman,Microsoft DNS 6.1.7601 (1DB1446A),,false,0.97,2015-10-22 20:51:59 +0200,2015-01-09 11:52:49 +0100
80.90.162.245,IP80-90-162-245.zaindata.jo.,JO,"",dnsmasq-2.45,,true,1.0,2015-10-22 20:56:41 +0200,2015-01-09 13:57:36 +0100
196.218.255.155,mail.racj.com.,JO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-22 21:06:17 +0200,2015-01-09 20:44:49 +0100
178.20.188.25,"",JO,"","",,false,0.99,2015-10-22 21:23:54 +0200,2015-01-10 07:12:06 +0100
87.236.232.5,junet.edu.jo.,JO,Amman,Microsoft DNS 6.1.7601 (1DB1557D),,false,1.0,2015-10-22 22:03:08 +0200,2015-01-11 03:24:04 +0100
212.35.70.52,mail.jrtv.gov.jo.,JO,"",BIND 8.3.3,,false,0.97,2015-10-22 22:11:26 +0200,2015-01-11 08:36:47 +0100
82.212.89.52,www.adtech.com.jo.,JO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-22 22:11:53 +0200,2015-01-11 08:51:49 +0100
82.212.89.77,"",JO,"",ZyWALL DNS,,false,0.83,2015-10-22 22:14:02 +0200,2015-01-11 10:04:43 +0100
82.212.98.4,rjafisa01.rjaf.mil.jo.,JO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-22 22:14:50 +0200,2015-01-11 10:35:18 +0100
82.212.89.51,"",JO,"","",,false,1.0,2015-10-22 22:15:16 +0200,2015-01-11 10:48:25 +0100
212.35.70.134,212.35.70.134.ua.batelco.jo.,JO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-22 22:17:05 +0200,2015-01-11 11:48:59 +0100
193.188.80.35,"",JO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.97,2015-10-22 22:24:31 +0200,2015-01-11 15:46:17 +0100
46.185.138.33,"",JO,"","",,false,1.0,2015-10-22 22:25:27 +0200,2015-01-11 16:22:10 +0100
194.165.145.221,jpfweb.jpf.com.jo.,JO,"",9.6-ESV-R4-P3,,false,0.99,2015-10-22 22:26:39 +0200,2015-01-11 17:01:09 +0100
87.236.232.99,"",JO,Amman,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-22 22:49:17 +0200,2015-01-12 03:48:04 +0100
84.18.81.105,"",JO,Farah,"",,false,1.0,2015-10-22 22:57:12 +0200,2015-01-12 07:50:20 +0100
92.253.120.255,"",JO,"","",,false,1.0,2015-10-22 23:06:30 +0200,2015-01-12 14:17:00 +0100
193.188.80.34,nchrd-isa02.nchrd.gov.jo.,JO,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-22 23:12:55 +0200,2015-01-12 18:01:20 +0100
217.144.6.6,relay.next.com.jo.,JO,Amman,"",,false,0.99,2015-10-22 23:23:20 +0200,2015-03-17 20:44:09 +0100
