ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
202.14.67.14,ns2.pacific.net.hk.,JP,"","",,false,0.99,2015-10-22 23:45:38 +0200,2009-05-15 14:50:54 +0200
202.14.67.4,ns1.pacific.net.hk.,JP,"","",,false,0.99,2015-10-22 23:45:45 +0200,2009-08-08 00:49:06 +0200
203.112.2.4,ns01.miinet.jp.,JP,Tokyo,"",,false,1.0,2015-10-22 23:45:55 +0200,2010-07-30 11:55:45 +0200
210.248.255.82,ns.jericho-group.co.jp.,JP,"",9.3.1,,false,0.99,2015-10-22 23:46:04 +0200,2011-01-24 03:15:18 +0100
218.223.32.1,ns01.niigata-idc.ne.jp.,JP,"",unknown,,false,1.0,2015-10-22 23:46:10 +0200,2011-01-27 01:52:48 +0100
219.163.55.74,ns.imperial-inc.com.,JP,"",9.8.2rc1-RedHat-9.8.2-0.23.rc1.el6_5.1,,false,0.99,2015-10-22 23:46:07 +0200,2011-01-27 01:55:11 +0100
60.32.112.42,ns.daiwa-printing.co.jp.,JP,"",9.3.6-APPLE-P2,,false,0.99,2015-10-22 23:46:07 +0200,2011-01-27 02:10:45 +0100
61.208.115.242,ns.wjc-news.co.jp.,JP,"",9.3.3,,false,0.98,2015-10-22 23:46:16 +0200,2011-01-27 02:13:13 +0100
203.112.2.5,ns02.miinet.jp.,JP,Tokyo,"",,false,1.0,2015-10-22 23:46:25 +0200,2013-01-30 19:10:56 +0100
106.186.17.181,tungsten.gparent.org.,JP,"","",,false,0.81,2015-10-22 23:46:36 +0200,2013-01-31 02:46:09 +0100
202.248.20.133,dns5.nifty.com.,JP,"",unknown,,false,1.0,2015-10-22 23:46:39 +0200,2013-03-23 01:02:50 +0100
202.248.37.74,dns.nifty.com.,JP,"",unknown,,false,1.0,2015-10-22 23:46:39 +0200,2013-03-23 01:02:50 +0100
210.131.113.123,ns3.web.ad.jp.,JP,"", ,,false,1.0,2015-10-22 23:46:39 +0200,2013-03-23 01:03:16 +0100
202.248.2.201,ns.web.ad.jp.,JP,"", ,,false,1.0,2015-10-22 23:46:40 +0200,2013-03-23 01:03:16 +0100
202.219.177.121,ns2.web.ad.jp.,JP,"", ,,false,1.0,2015-10-22 23:46:39 +0200,2013-03-23 01:03:17 +0100
2400:8900::f03c:91ff:fe70:c452,tungsten.gparent.org.,JP,Tokyo,"",,false,0.8,2015-10-22 23:47:27 +0200,2013-06-27 02:07:54 +0200
122.210.229.161,122x210x229x161.ap122.ftth.ucom.ne.jp.,JP,Yokohama,"",,false,1.0,2015-10-22 23:49:43 +0200,2014-11-09 17:51:36 +0100
210.235.172.144,"",JP,"",QTNET DNS Server,,false,1.0,2015-10-22 23:50:36 +0200,2014-12-27 15:17:20 +0100
210.235.170.98,"",JP,"",9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.4,,false,0.99,2015-10-22 23:50:41 +0200,2014-12-27 15:19:01 +0100
110.5.9.43,aa009043.ppp.asahi-net.or.jp.,JP,Tokyo,dnsmasq-2.35,,false,1.0,2015-10-22 23:50:48 +0200,2014-12-27 15:21:18 +0100
60.32.81.106,ns.jgc.or.jp.,JP,"","",,false,0.9,2015-10-22 23:50:58 +0200,2014-12-27 15:23:13 +0100
210.255.176.252,ns1.e-press.co.jp.,JP,"",100.100.100,,false,0.69,2015-10-22 23:51:03 +0200,2014-12-27 15:24:04 +0100
219.5.164.172,softbank219005164172.bbtec.net.,JP,"",-,,false,1.0,2015-10-22 23:51:02 +0200,2014-12-27 15:24:29 +0100
210.255.176.253,ns2.e-press.co.jp.,JP,"",100.100.100,,false,0.73,2015-10-22 23:51:17 +0200,2014-12-27 15:27:25 +0100
