ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
213.147.64.1,mars.nbnet.co.ke.,KE,"",9.3.6-P1-RedHat-9.3.6-20.P1.el5_8.6,,false,0.99,2015-09-30 20:09:37 +0200,2013-04-23 02:51:46 +0200
62.24.100.170,ndovu.orange.co.ke.,KE,"","",,false,1.0,2015-09-30 20:16:32 +0200,2014-12-29 12:33:30 +0100
41.222.15.55,"",KE,"","",,false,0.85,2015-09-30 20:19:04 +0200,2014-12-29 12:59:44 +0100
62.24.100.177,ndovu.orange.co.ke.,KE,"","",,false,1.0,2015-09-30 20:20:48 +0200,2014-12-29 13:15:55 +0100
41.139.163.194,41-139-163-194.safaricombusiness.co.ke.,KE,"",9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.2,,false,0.94,2015-09-30 20:25:03 +0200,2014-12-29 13:56:00 +0100
197.232.252.212,"",KE,"","",,false,0.96,2015-09-30 20:28:03 +0200,2014-12-29 14:20:39 +0100
197.136.38.2,"",KE,Nairobi,"",,false,0.86,2015-09-30 11:59:55 +0200,2014-12-29 15:09:36 +0100
197.248.2.44,197-248-1-44.safaricom.co.ke.,KE,"",Microsoft DNS 6.1.7600 (1DB04228),,false,0.97,2015-09-30 12:02:56 +0200,2014-12-29 15:27:27 +0100
41.84.156.104,41.84.156.104.liquidtelecom.net.,KE,"","",,false,0.75,2015-09-30 12:08:05 +0200,2014-12-29 15:56:38 +0100
197.157.229.17,"",KE,"","",,false,1.0,2015-09-30 12:13:20 +0200,2014-12-29 16:24:17 +0100
197.232.246.81,"",KE,"",9.3.4-P1,,false,0.75,2015-09-30 12:14:56 +0200,2014-12-29 16:32:22 +0100
197.254.112.222,197.254.112.222.acesskenya.net.,KE,"","",,false,0.97,2015-09-30 12:18:04 +0200,2014-12-29 16:50:51 +0100
197.157.229.66,"",KE,"","",,false,0.68,2015-09-30 12:18:52 +0200,2014-12-29 16:56:42 +0100
197.157.229.77,"",KE,"","",,false,1.0,2015-09-30 12:19:16 +0200,2014-12-29 16:59:32 +0100
197.157.229.65,"",KE,"","",,false,1.0,2015-09-30 12:21:32 +0200,2014-12-29 17:18:23 +0100
41.89.162.8,"",KE,"","",,false,0.22,2015-09-30 12:21:56 +0200,2014-12-29 17:22:41 +0100
41.206.52.202,41.206.52.202.accesskenya.com.,KE,"","",,false,0.93,2015-09-30 12:24:34 +0200,2014-12-29 17:51:52 +0100
197.254.117.6,mail.multitrade.co.ke.,KE,"","",,false,0.91,2015-09-30 12:25:35 +0200,2014-12-29 18:04:45 +0100
197.254.44.206,197.254.44.206.acesskenya.net.,KE,Nairobi,[secured],,true,0.97,2015-09-30 12:28:55 +0200,2014-12-29 18:35:38 +0100
41.215.81.6,41.215.81.6.accesskenya.com.,KE,"","",,false,0.99,2015-09-30 12:38:08 +0200,2014-12-29 20:02:15 +0100
197.254.83.62,197.254.83.62.acesskenya.net.,KE,"","",,false,0.86,2015-09-30 12:42:24 +0200,2014-12-29 20:50:19 +0100
197.211.30.156,"",KE,"","",,false,0.96,2015-09-30 12:44:52 +0200,2014-12-29 21:12:07 +0100
41.207.116.233,"",KE,"","",,false,0.77,2015-09-30 12:48:52 +0200,2014-12-29 21:42:00 +0100
197.232.30.88,"",KE,"","",,false,0.89,2015-09-30 12:51:34 +0200,2014-12-29 22:04:45 +0100
197.232.30.137,"",KE,"","",,false,0.55,2015-09-30 12:55:00 +0200,2014-12-29 22:30:30 +0100
41.215.76.235,41.215.76.235.accesskenya.com.,KE,"","",,false,0.95,2015-09-30 13:07:03 +0200,2014-12-30 09:16:35 +0100
197.254.71.117,197.254.71.117.acesskenya.net.,KE,"",dnsmasq-2.73,,false,0.96,2015-09-30 13:07:09 +0200,2014-12-30 09:18:26 +0100
197.248.72.14,"",KE,"","",,false,0.43,2015-09-30 13:10:25 +0200,2014-12-30 10:07:18 +0100
195.202.84.153,mtn-195-202-84-153.mtnbusiness.co.ke.,KE,"",9.9.4-RedHat-9.9.4-18.el7_1.3,,false,0.97,2015-09-30 13:20:01 +0200,2014-12-30 12:01:46 +0100
41.215.129.82,"",KE,"","",,false,0.87,2015-09-30 13:21:47 +0200,2014-12-30 12:18:19 +0100
197.254.105.134,197.254.105.134.acesskenya.net.,KE,"","",,false,1.0,2015-09-30 13:23:37 +0200,2014-12-30 12:35:18 +0100
197.254.105.38,197.254.105.38.acesskenya.net.,KE,"","",,false,0.99,2015-09-30 13:25:00 +0200,2014-12-30 12:48:42 +0100
197.220.118.218,"",KE,Nairobi,"",,false,1.0,2015-09-30 13:25:37 +0200,2014-12-30 12:53:53 +0100
197.248.116.74,"",KE,"","",,false,0.32,2015-09-30 13:33:07 +0200,2014-12-30 13:56:20 +0100
197.248.143.22,"",KE,"",dnsmasq-2.40,,true,0.93,2015-09-30 13:37:19 +0200,2014-12-30 14:29:40 +0100
41.57.103.121,"",KE,"",9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.3,,false,0.68,2015-09-30 13:39:03 +0200,2014-12-30 14:51:45 +0100
