ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
124.248.189.185,"",KH,Phnom Penh,"",,false,0.96,2015-10-22 23:55:09 +0200,2014-12-29 12:46:01 +0100
124.248.189.140,fiber-189-140.online.com.kh.,KH,Phnom Penh,"",,false,0.99,2015-10-22 23:58:26 +0200,2014-12-29 13:16:08 +0100
124.248.189.186,"",KH,Phnom Penh,"",,false,0.88,2015-10-22 23:58:38 +0200,2014-12-29 13:18:13 +0100
49.156.34.122,"",KH,Phnom Penh,"",,false,0.98,2015-10-22 23:59:06 +0200,2014-12-29 13:22:42 +0100
203.189.135.126,mydsl-135-126.online.com.kh.,KH,"","",,false,0.89,2015-10-23 00:01:58 +0200,2014-12-29 13:48:28 +0100
103.239.53.51,"",KH,"","",,false,1.0,2015-10-23 00:02:38 +0200,2014-12-29 13:54:45 +0100
111.92.241.42,mail.ababank.com.,KH,Phnom Penh,"",,false,0.98,2015-10-23 00:04:03 +0200,2014-12-29 14:06:26 +0100
103.239.54.9,"",KH,"","",,false,0.86,2015-10-23 00:11:33 +0200,2014-12-29 14:54:01 +0100
119.15.82.139,"",KH,Phnom Penh,"",,false,0.95,2015-10-23 00:21:03 +0200,2014-12-29 15:47:35 +0100
202.8.74.62,"",KH,Boeung,"",,false,0.99,2015-10-23 00:42:56 +0200,2014-12-29 18:22:02 +0100
103.28.3.18,"",KH,Phumi Vott Phnum,"",,false,1.0,2015-10-23 00:45:12 +0200,2014-12-29 18:42:11 +0100
27.116.62.142,"",KH,"",dnsmasq-2.40,,false,1.0,2015-10-23 00:52:32 +0200,2014-12-29 19:48:56 +0100
202.8.73.136,"",KH,Boeung,"",,false,1.0,2015-10-23 01:06:05 +0200,2014-12-29 21:54:34 +0100
111.92.240.22,"",KH,Phnom Penh,"",,false,1.0,2015-10-23 01:13:52 +0200,2014-12-29 23:02:02 +0100
111.90.189.6,"",KH,Phnom Penh,"",,false,0.99,2015-10-23 01:19:57 +0200,2014-12-30 01:05:43 +0100
111.90.189.70,"",KH,Phnom Penh,"",,false,0.99,2015-10-23 01:21:50 +0200,2014-12-30 01:44:07 +0100
103.5.127.226,"",KH,Phnom Penh,"",,false,0.91,2015-10-23 01:23:22 +0200,2014-12-30 09:13:33 +0100
103.5.127.210,"",KH,Phnom Penh,"",,false,0.81,2015-10-23 01:29:25 +0200,2014-12-30 10:41:07 +0100
124.248.184.120,fiber-184-120.online.com.kh.,KH,"","",,false,0.91,2015-10-23 01:41:41 +0200,2014-12-30 12:43:35 +0100
