ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
82.115.23.3,ns2.aftab.ws.,KW,"","",,false,0.77,2015-10-22 23:48:55 +0200,2014-05-04 17:32:36 +0200
91.140.214.182,"",KW,Kuwait City,dnsmasq-2.52,,false,0.1,2015-10-22 23:52:06 +0200,2014-12-29 12:11:24 +0100
91.140.198.191,"",KW,Kuwait City,dnsmasq-2.52,,false,0.99,2015-10-22 23:54:13 +0200,2014-12-29 12:37:01 +0100
91.140.198.127,"",KW,Kuwait City,dnsmasq-2.52,,true,0.91,2015-10-22 23:55:34 +0200,2014-12-29 12:51:00 +0100
195.39.157.5,"",KW,Kuwait City,9.7.0-P1,,false,0.88,2015-10-22 23:58:16 +0200,2014-12-29 13:14:54 +0100
91.140.144.239,"",KW,Kuwait City,dnsmasq-2.52,,true,0.85,2015-10-23 00:01:04 +0200,2014-12-29 13:40:02 +0100
91.140.150.236,"",KW,Kuwait City,dnsmasq-2.52,,true,0.76,2015-10-23 00:04:32 +0200,2014-12-29 14:10:46 +0100
62.150.114.70,"",KW,"","",,false,1.0,2015-10-23 00:06:04 +0200,2014-12-29 14:22:37 +0100
178.61.22.68,"",KW,"",dnsmasq-2.52,,false,0.95,2015-10-23 00:06:22 +0200,2014-12-29 14:24:11 +0100
91.140.150.159,"",KW,Kuwait City,dnsmasq-2.52,,true,0.99,2015-10-23 00:08:12 +0200,2014-12-29 14:36:07 +0100
91.140.151.14,"",KW,Kuwait City,dnsmasq-2.52,,false,0.94,2015-10-23 00:10:29 +0200,2014-12-29 14:48:35 +0100
91.140.195.18,"",KW,Kuwait City,9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.4,,false,0.95,2015-10-23 00:22:09 +0200,2014-12-29 15:53:12 +0100
94.187.187.188,"",KW,"",9.7.3,,false,1.0,2015-10-23 00:23:59 +0200,2014-12-29 16:01:54 +0100
94.187.187.187,"",KW,"",9.7.0-P1,,false,0.99,2015-10-23 00:24:58 +0200,2014-12-29 16:07:40 +0100
91.140.160.82,"",KW,Kuwait City,dnsmasq-2.52,,false,0.97,2015-10-23 00:30:00 +0200,2014-12-29 16:32:57 +0100
168.187.131.38,mailsvr.upikw.com.,KW,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.96,2015-10-23 00:35:14 +0200,2014-12-29 17:05:47 +0100
62.150.58.132,"",KW,"","",,false,0.98,2015-10-23 00:36:18 +0200,2014-12-29 17:14:34 +0100
94.128.0.25,dns12.viva.com.kw.,KW,Kuwait City,you guess!,,false,0.99,2015-10-23 00:36:16 +0200,2014-12-29 17:14:58 +0100
62.150.58.182,"",KW,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.77,2015-10-23 00:38:05 +0200,2014-12-29 17:31:24 +0100
95.175.82.101,"",KW,Kuwait City,"",,false,0.98,2015-10-23 00:38:12 +0200,2014-12-29 17:32:42 +0100
168.187.104.247,"",KW,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 00:42:22 +0200,2014-12-29 18:17:17 +0100
168.187.70.13,"",KW,"","",,false,0.99,2015-10-23 00:42:58 +0200,2014-12-29 18:21:32 +0100
168.187.78.66,"",KW,"","",,false,0.97,2015-10-23 01:04:00 +0200,2014-12-29 21:37:36 +0100
91.140.193.47,"",KW,Kuwait City,dnsmasq-2.52,,true,0.98,2015-10-23 01:10:45 +0200,2014-12-29 22:28:04 +0100
91.140.203.140,"",KW,Kuwait City,dnsmasq-2.52,,false,0.84,2015-10-23 01:12:11 +0200,2014-12-29 22:42:27 +0100
62.215.102.67,"",KW,"","",,false,0.99,2015-10-23 01:14:44 +0200,2014-12-29 23:11:29 +0100
62.215.201.195,"",KW,"","",,false,1.0,2015-10-23 01:22:43 +0200,2014-12-30 01:58:31 +0100
188.231.0.132,"",KW,"",Microsoft DNS 6.0.6002 (17724655),,false,1.0,2015-10-23 01:24:57 +0200,2014-12-30 09:37:26 +0100
83.96.76.170,"",KW,Kuwait City,"",,false,0.98,2015-10-23 01:30:37 +0200,2014-12-30 10:57:45 +0100
188.231.2.17,"",KW,"",Microsoft DNS 6.0.6002 (17724655),,false,1.0,2015-10-23 01:32:23 +0200,2014-12-30 11:20:41 +0100
188.231.2.12,www.mytv-me.tv.,KW,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.89,2015-10-23 01:38:10 +0200,2014-12-30 12:09:58 +0100
195.226.240.59,"",KW,"","",,false,1.0,2015-10-23 01:40:00 +0200,2014-12-30 12:28:09 +0100
188.231.2.20,mail-kw.gulfsat.com.,KW,"",Microsoft DNS 6.0.6002 (17724655),,false,1.0,2015-10-23 01:40:36 +0200,2014-12-30 12:34:13 +0100
91.140.199.196,"",KW,Kuwait City,dnsmasq-2.52,,false,0.97,2015-10-23 01:43:54 +0200,2014-12-30 13:02:05 +0100
195.39.143.45,"",KW,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.57,2015-10-23 01:48:17 +0200,2014-12-30 13:39:33 +0100
195.226.245.244,"",KW,"",Microsoft DNS 6.1.7600 (1DB04001),,false,0.3,2015-10-23 01:49:29 +0200,2014-12-30 13:48:26 +0100
188.231.2.2,kwigsdnsdhcp01.belraj.local.,KW,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.85,2015-10-23 01:51:28 +0200,2014-12-30 14:04:28 +0100
91.140.160.234,"",KW,Kuwait City,dnsmasq-2.52,,false,0.95,2015-10-23 02:01:37 +0200,2014-12-30 15:38:42 +0100
91.140.160.97,"",KW,Kuwait City,dnsmasq-2.52,,true,0.91,2015-10-23 02:05:05 +0200,2014-12-30 16:12:31 +0100
91.140.160.112,"",KW,Kuwait City,dnsmasq-2.52,,true,0.63,2015-10-23 02:14:05 +0200,2014-12-30 17:42:47 +0100
91.140.151.179,"",KW,Kuwait City,dnsmasq-2.52,,false,0.95,2015-10-23 02:14:59 +0200,2014-12-30 17:52:48 +0100
178.61.244.122,"",KW,Kuwait City,"",,false,1.0,2015-10-23 02:18:29 +0200,2014-12-30 18:35:14 +0100
91.140.165.178,"",KW,Kuwait City,dnsmasq-2.52,,false,1.0,2015-10-23 02:22:33 +0200,2014-12-30 19:25:15 +0100
91.140.154.143,"",KW,Kuwait City,dnsmasq-2.52,,false,0.43,2015-10-23 02:23:04 +0200,2014-12-30 19:30:49 +0100
91.140.245.162,"",KW,Kuwait City,Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-23 02:23:42 +0200,2014-12-30 19:38:26 +0100
217.69.177.34,"",KW,"",Microsoft DNS 6.0.6001 (17714726),,false,0.88,2015-10-23 02:29:41 +0200,2014-12-31 19:13:26 +0100
168.187.225.194,"",KW,"","",,false,1.0,2015-10-22 17:46:35 +0200,2014-12-31 21:59:59 +0100
62.215.228.100,"",KW,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-22 17:48:21 +0200,2014-12-31 22:56:36 +0100
62.215.228.99,"",KW,"","",,false,0.4,2015-10-22 17:50:59 +0200,2015-01-01 00:06:39 +0100
213.132.238.242,"",KW,Kuwait City,Microsoft DNS 6.1.7601 (1DB14556),,false,0.84,2015-10-22 17:51:40 +0200,2015-01-01 00:24:07 +0100
91.140.144.119,"",KW,Kuwait City,dnsmasq-2.52,,false,0.96,2015-10-22 17:51:45 +0200,2015-01-01 00:26:55 +0100
62.215.156.6,"",KW,"",dnsmasq-2.40,,false,1.0,2015-10-22 17:58:01 +0200,2015-01-05 21:40:29 +0100
217.69.179.34,"",KW,"",Microsoft DNS 6.0.6001 (17714726),,false,0.95,2015-10-22 17:59:40 +0200,2015-01-05 22:26:18 +0100
195.39.168.253,"",KW,Kuwait City,Microsoft DNS 6.1.7600 (1DB04001),,false,0.9,2015-10-22 18:01:11 +0200,2015-01-05 23:21:26 +0100
62.150.12.251,"",KW,"","",,false,0.97,2015-10-22 18:01:47 +0200,2015-01-05 23:41:44 +0100
213.34.195.14,"",KW,"",dnsmasq-2.15,,true,0.15,2015-10-22 18:05:12 +0200,2015-01-06 01:41:33 +0100
168.187.234.58,"",KW,"",dnsmasq-2.45,,false,0.98,2015-10-22 18:05:27 +0200,2015-01-06 01:51:14 +0100
91.140.153.154,"",KW,Kuwait City,dnsmasq-2.52,,false,0.98,2015-10-22 18:19:45 +0200,2015-01-06 08:53:58 +0100
91.140.208.65,"",KW,Kuwait City,dnsmasq-2.52,,false,0.91,2015-10-22 18:20:26 +0200,2015-01-06 09:13:07 +0100
91.140.207.184,"",KW,Kuwait City,dnsmasq-2.52,,false,1.0,2015-10-22 18:20:57 +0200,2015-01-06 09:30:28 +0100
185.19.76.173,"",KW,As Salimiyah,"",,false,0.68,2015-10-22 18:24:51 +0200,2015-01-06 11:13:57 +0100
195.226.251.42,mail.saracollection.com.kw.,KW,"","",,false,0.98,2015-10-22 18:37:14 +0200,2015-01-06 16:33:16 +0100
193.200.40.50,"",KW,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-22 18:41:48 +0200,2015-01-06 18:32:04 +0100
193.33.224.253,"",KW,Kuwait City,Microsoft DNS 6.1.7600 (1DB04001),,false,0.99,2015-10-22 18:44:37 +0200,2015-01-06 19:43:21 +0100
139.141.236.131,ns2.cba.edu.kw.,KW,Kuwait City,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-22 18:48:21 +0200,2015-01-06 21:16:24 +0100
62.215.53.56,mail.munshaat.com.,KW,"","",,false,0.99,2015-10-22 18:48:37 +0200,2015-01-06 21:22:13 +0100
188.231.1.4,"",KW,"","",,false,0.99,2015-10-22 18:49:26 +0200,2015-01-06 21:39:22 +0100
91.140.210.95,"",KW,Kuwait City,dnsmasq-2.52,,false,0.99,2015-10-22 18:54:17 +0200,2015-01-06 23:19:27 +0100
168.187.97.57,"",KW,"",You Must Be Kidding,,false,0.99,2015-10-22 18:57:27 +0200,2015-01-07 01:54:23 +0100
62.150.72.26,"",KW,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,1.0,2015-10-22 19:07:14 +0200,2015-01-07 07:01:58 +0100
168.187.46.242,"",KW,"",You Must Be Kidding,,false,0.99,2015-10-22 19:13:30 +0200,2015-01-07 10:21:05 +0100
91.140.233.236,"",KW,Kuwait City,"",,false,0.91,2015-10-22 19:17:52 +0200,2015-01-07 12:27:30 +0100
62.215.97.10,"",KW,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.96,2015-10-22 19:28:01 +0200,2015-01-07 17:36:05 +0100
168.187.111.18,"",KW,"",You Must Be Kidding,,false,0.55,2015-10-22 19:46:54 +0200,2015-01-08 02:04:59 +0100
168.187.46.241,"",KW,"",You Must Be Kidding,,false,0.99,2015-10-22 19:49:54 +0200,2015-01-08 03:19:35 +0100
91.140.150.32,"",KW,Kuwait City,dnsmasq-2.52,,false,0.98,2015-10-22 19:54:55 +0200,2015-01-08 05:37:22 +0100
168.187.185.129,"",KW,"",You Must Be Kidding,,false,0.99,2015-10-22 20:01:01 +0200,2015-01-08 09:55:17 +0100
168.187.185.18,"",KW,"",You Must Be Kidding,,false,1.0,2015-10-22 20:02:39 +0200,2015-01-08 11:09:31 +0100
213.34.207.67,"",KW,"","",,false,1.0,2015-10-22 20:03:09 +0200,2015-01-08 11:27:07 +0100
62.215.181.250,"",KW,"",dnsmasq-2.45,,false,1.0,2015-10-22 20:04:48 +0200,2015-01-08 12:27:10 +0100
168.187.161.250,"",KW,"","",,false,1.0,2015-10-22 20:15:44 +0200,2015-01-08 18:03:06 +0100
62.150.42.245,"",KW,"",Microsoft DNS 6.0.6001 (17714726),,false,0.76,2015-10-22 20:41:45 +0200,2015-01-09 07:08:33 +0100
82.115.27.108,"",KW,"","",,false,0.75,2015-10-22 20:46:14 +0200,2015-01-09 09:08:35 +0100
