ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
88.151.176.11,"",KZ,"",DNS Server,,false,0.97,2015-09-30 20:08:36 +0200,2011-01-12 02:08:45 +0100
212.19.128.4,ns.itte.kz.,KZ,"",BIND 8.2.4,,false,0.84,2015-09-30 20:11:58 +0200,2014-05-19 07:29:55 +0200
212.19.149.226,ns1.online.kz.,KZ,"","",,false,0.98,2015-09-30 20:11:57 +0200,2014-06-24 22:07:26 +0200
77.245.99.170,smtp.uog.kz.,KZ,"","",,false,0.96,2015-09-30 20:20:56 +0200,2014-12-29 13:17:03 +0100
95.161.224.186,95-161-224-186.obit.kz.,KZ,"","",,false,0.97,2015-09-30 20:21:17 +0200,2014-12-29 13:20:26 +0100
5.63.67.28,"",KZ,"","",,false,0.91,2015-09-30 20:24:01 +0200,2014-12-29 13:44:41 +0100
91.185.22.34,ns.railways.kz.,KZ,"","",,false,1.0,2015-09-30 20:29:53 +0200,2014-12-29 14:30:17 +0100
79.142.54.242,"",KZ,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.99,2015-09-30 11:56:15 +0200,2014-12-29 14:48:19 +0100
95.57.215.130,"",KZ,"",ZyWALL DNS,,false,0.98,2015-09-30 11:57:13 +0200,2014-12-29 14:53:55 +0100
92.46.62.53,www.astananpf.kz.,KZ,"","",,false,0.97,2015-09-30 11:58:41 +0200,2014-12-29 15:02:13 +0100
178.91.50.50,"",KZ,"","",,false,0.94,2015-09-30 12:00:56 +0200,2014-12-29 15:16:27 +0100
92.47.161.86,"",KZ,"",dnsmasq-2.52,,false,0.97,2015-09-30 12:01:13 +0200,2014-12-29 15:18:08 +0100
79.142.57.107,"",KZ,"",DNSochka,,false,0.99,2015-09-30 12:01:23 +0200,2014-12-29 15:18:54 +0100
88.204.172.202,"",KZ,"",dnsmasq-2.55,,true,1.0,2015-09-30 12:02:31 +0200,2014-12-29 15:25:36 +0100
92.47.143.78,"",KZ,"",dnsmasq-2.52,,false,0.99,2015-09-30 12:02:44 +0200,2014-12-29 15:26:54 +0100
93.185.71.166,"",KZ,"","",,false,1.0,2015-09-30 12:02:50 +0200,2014-12-29 15:27:23 +0100
94.247.67.67,ns.buzachi.kz.,KZ,"","",,false,1.0,2015-09-30 12:05:54 +0200,2014-12-29 15:44:54 +0100
95.59.27.182,"",KZ,"",dnsmasq-2.49,,false,1.0,2015-09-30 12:06:53 +0200,2014-12-29 15:50:31 +0100
212.154.131.115,mail.kgnt.kz.,KZ,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-09-30 12:13:10 +0200,2014-12-29 16:23:06 +0100
89.218.210.83,"",KZ,Aqtau,Microsoft DNS 6.1.7600 (1DB04001),,false,0.99,2015-09-30 12:17:10 +0200,2014-12-29 16:45:55 +0100
89.218.2.94,mx2.zakon.kz.,KZ,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,1.0,2015-09-30 12:27:56 +0200,2014-12-29 18:28:23 +0100
212.154.150.116,ns.ularumit.kz.,KZ,"","",,false,0.4,2015-09-30 12:37:39 +0200,2014-12-29 19:55:37 +0100
89.218.214.172,"",KZ,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.96,2015-09-30 12:37:57 +0200,2014-12-29 19:59:56 +0100
5.63.67.100,"",KZ,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,0.92,2015-09-30 12:39:35 +0200,2014-12-29 20:19:13 +0100
178.88.174.130,"",KZ,"",9.3.4-P1,,false,0.97,2015-09-30 12:42:17 +0200,2014-12-29 20:49:04 +0100
