ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
89.17.125.91,"",LB,"","",,false,0.97,2015-10-29 11:30:04 +0100,2014-12-27 00:42:01 +0100
89.17.125.30,"",LB,"","",,false,0.98,2015-10-29 11:31:07 +0100,2014-12-27 15:27:11 +0100
77.42.250.78,"",LB,"","",,false,0.99,2015-10-29 11:32:42 +0100,2014-12-29 12:20:12 +0100
178.135.59.85,"",LB,"","",,false,1.0,2015-10-29 11:40:57 +0100,2014-12-29 13:40:39 +0100
178.135.59.44,"",LB,"","",,false,0.99,2015-10-29 11:41:32 +0100,2014-12-29 13:45:49 +0100
77.42.223.214,"",LB,"","",,false,0.23,2015-10-29 11:43:39 +0100,2014-12-29 14:05:23 +0100
77.42.216.130,"",LB,"","",,false,0.99,2015-10-29 11:43:50 +0100,2014-12-29 14:07:02 +0100
77.42.223.179,"",LB,"","",,false,0.8,2015-10-29 11:44:50 +0100,2014-12-29 14:14:32 +0100
94.187.28.228,"",LB,"","",,false,0.27,2015-10-29 11:51:56 +0100,2014-12-29 14:57:57 +0100
77.42.223.173,"",LB,"","",,false,0.34,2015-10-29 11:52:47 +0100,2014-12-29 15:03:27 +0100
212.98.131.45,mail.dataflow.com.lb.,LB,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.95,2015-10-29 11:54:49 +0100,2014-12-29 15:16:30 +0100
77.42.223.239,"",LB,"","",,false,0.4,2015-10-29 11:55:14 +0100,2014-12-29 15:18:09 +0100
77.42.223.131,"",LB,"","",,false,0.59,2015-10-29 11:59:16 +0100,2014-12-29 15:41:03 +0100
178.135.63.242,"",LB,"","",,false,1.0,2015-10-29 11:59:46 +0100,2014-12-29 15:43:54 +0100
89.108.129.77,ns2.sodetel.net.lb.,LB,"","",,false,0.99,2015-10-29 12:02:23 +0100,2014-12-29 15:58:26 +0100
94.187.29.203,"",LB,Beirut,"",,false,0.14,2015-10-29 12:02:54 +0100,2014-12-29 16:01:06 +0100
77.42.223.245,"",LB,"","",,false,0.86,2015-10-29 12:03:58 +0100,2014-12-29 16:07:03 +0100
178.135.63.244,"",LB,"","",,false,1.0,2015-10-29 12:06:02 +0100,2014-12-29 16:17:12 +0100
178.135.51.106,"",LB,"","",,false,0.98,2015-10-29 12:10:33 +0100,2014-12-29 16:41:38 +0100
193.227.187.94,"",LB,Beirut,"",,false,0.98,2015-10-29 12:14:57 +0100,2014-12-29 17:10:47 +0100
212.98.145.250,rev-212-98-145-250.terra.net.lb.,LB,"",9.8.2rc1-RedHat-9.8.2-0.23.rc1.el6_5.1,,false,1.0,2015-10-29 12:22:39 +0100,2014-12-29 18:30:55 +0100
62.84.74.36,Fiberlink.74-36.lynx.net.lb.,LB,"","",,false,0.93,2015-10-29 12:31:02 +0100,2014-12-29 19:43:58 +0100
94.187.62.102,"",LB,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-29 12:38:04 +0100,2014-12-29 21:01:49 +0100
77.42.217.29,"",LB,"","",,false,1.0,2015-10-29 12:38:05 +0100,2014-12-29 21:01:49 +0100
185.4.252.58,"",LB,Beirut,"",,false,0.98,2015-10-29 12:42:09 +0100,2014-12-29 21:33:29 +0100
62.84.67.178,FiberLink433.lynx.net.lb.,LB,Beirut,"",,false,0.73,2015-10-29 12:42:57 +0100,2014-12-29 21:40:03 +0100
62.84.67.50,FiberLink305.lynx.net.lb.,LB,Beirut,"",,false,0.64,2015-10-29 12:47:13 +0100,2014-12-29 22:14:20 +0100
94.187.60.160,"",LB,Beirut,"",,false,0.01,2015-10-29 12:47:13 +0100,2014-12-29 22:14:23 +0100
77.42.222.84,"",LB,Beirut,"",,false,0.28,2015-10-29 12:53:09 +0100,2014-12-29 23:12:43 +0100
46.20.101.196,ns4.smartelecom.org.,LB,"",9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6_6.3,,false,1.0,2015-10-29 12:58:08 +0100,2014-12-30 01:02:53 +0100
89.108.128.43,"",LB,Sidon,"",,false,1.0,2015-10-29 12:58:28 +0100,2014-12-30 01:10:50 +0100
89.108.128.44,ns1.sodetel.net.lb.,LB,Sidon,"",,false,1.0,2015-10-29 12:59:49 +0100,2014-12-30 01:39:29 +0100
94.187.60.97,"",LB,Beirut,"",,false,0.33,2015-10-29 13:05:11 +0100,2014-12-30 10:08:20 +0100
212.40.132.3,"",LB,"","",,false,0.95,2015-10-29 13:13:20 +0100,2014-12-30 11:46:30 +0100
94.187.61.194,"",LB,"","",,false,0.48,2015-10-29 13:14:49 +0100,2014-12-30 11:59:01 +0100
212.98.131.44,sgfl-lb.com.,LB,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-29 13:18:16 +0100,2014-12-30 12:31:23 +0100
94.187.61.182,"",LB,"","",,false,0.12,2015-10-29 13:19:42 +0100,2014-12-30 12:45:36 +0100
212.36.199.130,mail.kmco.com.lb.,LB,"","",,false,0.91,2015-10-29 13:24:30 +0100,2014-12-30 13:25:17 +0100
94.187.61.207,"",LB,"","",,false,0.6,2015-10-29 13:28:45 +0100,2014-12-30 14:00:45 +0100
94.187.61.60,"",LB,"","",,false,0.63,2015-10-29 13:28:56 +0100,2014-12-30 14:01:09 +0100
94.187.61.66,"",LB,"","",,false,0.72,2015-10-29 13:31:50 +0100,2014-12-30 14:22:36 +0100
94.187.61.101,"",LB,"","",,false,0.74,2015-10-29 13:32:09 +0100,2014-12-30 14:25:29 +0100
