ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
85.94.224.2,"",LU,"","",,false,1.0,2015-10-22 23:46:39 +0200,2013-03-23 01:10:16 +0100
85.94.224.1,"",LU,"","",,false,1.0,2015-10-22 23:46:39 +0200,2013-03-23 01:10:16 +0100
94.242.250.239,ip-static-94-242-250-239.server.lu.,LU,"",dnsmasq-2.62,,false,0.98,2015-10-22 23:50:14 +0200,2014-12-27 01:12:38 +0100
94.242.210.2,ip-static-94-242-210-2.server.lu.,LU,"","",,false,0.92,2015-10-22 23:54:13 +0200,2014-12-29 12:37:11 +0100
195.46.239.58,mx.ondernemen.lu.,LU,Luxembourg,Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-23 00:10:20 +0200,2014-12-29 14:47:38 +0100
212.117.171.84,mojo.linkscape.net.,LU,"",dnsmasq-2.55,,false,1.0,2015-10-23 00:42:05 +0200,2014-12-29 18:15:08 +0100
176.65.73.119,"",LU,"",Microsoft DNS 6.1.7601 (1DB1446A),,false,1.0,2015-10-23 00:45:47 +0200,2014-12-29 18:47:36 +0100
85.93.212.64,"",LU,"","",,false,1.0,2015-10-23 02:14:06 +0200,2014-12-30 17:43:02 +0100
85.93.212.69,"",LU,"","",,false,1.0,2015-10-23 02:25:11 +0200,2014-12-30 19:55:27 +0100
213.135.238.121,ip-213-135-238-121.static.luxdsl.pt.lu.,LU,Luxembourg,"",,false,1.0,2015-10-22 17:50:05 +0200,2014-12-31 23:47:13 +0100
212.117.167.60,mrxsys.com.,LU,Steinsel,Microsoft DNS 6.1.7600 (1DB04228),,false,1.0,2015-10-22 17:55:42 +0200,2015-01-05 20:22:12 +0100
94.242.197.190,dc2.hosted.rollinger.com.,LU,"","",,false,1.0,2015-10-22 19:16:45 +0200,2015-01-07 11:56:48 +0100
195.24.77.80,mailout.metaph.com.,LU,"",9.3.4-P1.2,,false,0.97,2015-10-22 19:37:08 +0200,2015-01-07 21:57:10 +0100
195.24.77.79,metaph.com.,LU,"",9.3.4-P1.2,,false,0.97,2015-10-22 19:37:24 +0200,2015-01-07 22:05:26 +0100
213.135.233.26,remote.devlop.eu.,LU,"","",,false,0.88,2015-10-22 19:40:52 +0200,2015-01-07 23:35:43 +0100
195.218.6.16,16.static6.internet.lu.,LU,"","",,false,0.99,2015-10-22 20:13:55 +0200,2015-01-08 17:06:59 +0100
85.93.217.159,"",LU,"","",,false,1.0,2015-10-22 21:08:31 +0200,2015-01-09 22:05:43 +0100
85.93.217.12,"",LU,"","",,false,0.99,2015-10-22 21:09:24 +0200,2015-01-09 22:43:29 +0100
85.93.217.105,"",LU,"","",,false,1.0,2015-10-22 21:10:52 +0200,2015-01-09 23:37:15 +0100
195.24.75.100,ip-static-195-24-75-100.server.lu.,LU,"",Microsoft DNS 6.1.7601 (1DB14556),,false,1.0,2015-10-22 22:16:33 +0200,2015-01-11 11:35:29 +0100
85.93.215.125,"",LU,"","",,false,1.0,2015-10-22 22:19:59 +0200,2015-01-11 13:29:48 +0100
213.135.237.4,remote.hopargest.lu.,LU,Luxembourg,Microsoft DNS 6.0.6002 (1772487D),,false,1.0,2015-10-22 22:37:20 +0200,2015-01-11 22:09:25 +0100
195.46.251.49,"",LU,"",dnsmasq-2.70,,false,1.0,2015-10-22 22:37:29 +0200,2015-01-11 22:12:59 +0100
94.242.203.17,gw.pheos.net.,LU,"","",,false,0.9,2015-10-22 22:50:50 +0200,2015-01-12 04:32:00 +0100
85.93.212.2,"",LU,"","",,false,1.0,2015-10-22 23:10:27 +0200,2015-01-12 16:43:09 +0100
85.93.212.59,photon.ion.lu.,LU,"","",,false,1.0,2015-10-22 23:13:10 +0200,2015-01-12 18:09:49 +0100
