ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
194.187.100.2,a.mx.interlain.lv.,LV,"",interlain,,false,0.99,2015-10-29 11:27:00 +0100,2013-04-23 02:23:05 +0200
80.250.58.102,"",LV,"","",,false,0.94,2015-10-29 11:34:07 +0100,2014-12-29 12:37:19 +0100
159.148.92.120,"",LV,Riga,9.9.3-rpz2+rl.156.01-P2,,false,1.0,2015-10-29 11:34:30 +0100,2014-12-29 12:42:43 +0100
84.38.143.133,"",LV,"","",,false,0.92,2015-10-29 11:36:40 +0100,2014-12-29 13:02:20 +0100
87.99.65.152,"",LV,"","",,false,1.0,2015-10-29 11:39:42 +0100,2014-12-29 13:30:10 +0100
193.238.223.91,"",LV,"","",,false,1.0,2015-10-29 11:41:14 +0100,2014-12-29 13:43:07 +0100
159.148.77.103,"",LV,Riga,"",,false,1.0,2015-10-29 11:44:18 +0100,2014-12-29 14:10:43 +0100
81.198.62.139,ns.vmr.lv.,LV,"",9.8.4-rpz2+rl005.12-P1,,true,0.9,2015-10-29 11:45:33 +0100,2014-12-29 14:19:46 +0100
80.90.24.126,ip24-126.starnet.lv.,LV,Rēzekne,"",,false,1.0,2015-10-29 11:50:55 +0100,2014-12-29 14:52:19 +0100
77.241.167.236,"",LV,"","",,false,1.0,2015-10-29 11:51:06 +0100,2014-12-29 14:53:31 +0100
80.232.185.251,"",LV,"","",,false,0.98,2015-10-29 11:53:10 +0100,2014-12-29 15:06:20 +0100
195.13.250.30,mail.vejmars.lv.,LV,"","",,false,0.99,2015-10-29 11:54:13 +0100,2014-12-29 15:12:32 +0100
95.130.37.82,centrs.nikewomen.lv.,LV,"",dnsmasq-2.47,,false,1.0,2015-10-29 11:57:40 +0100,2014-12-29 15:32:32 +0100
89.191.127.234,ip-127-234.zb.lv.,LV,"",9.8.2rc1-RedHat-9.8.2-0.23.rc1.el6_5.1,,true,1.0,2015-10-29 11:58:10 +0100,2014-12-29 15:35:14 +0100
81.198.165.150,"",LV,"","",,false,0.9,2015-10-29 11:59:19 +0100,2014-12-29 15:41:28 +0100
78.28.210.97,"",LV,Dobele,"",,false,0.92,2015-10-29 12:04:07 +0100,2014-12-29 16:07:56 +0100
217.199.127.60,127-60.zlt2.4nets.lv.,LV,"",dnsmasq-2.62,,false,1.0,2015-10-29 12:05:07 +0100,2014-12-29 16:12:47 +0100
80.232.221.29,"",LV,"","",,false,0.98,2015-10-29 12:05:56 +0100,2014-12-29 16:16:49 +0100
83.241.17.123,mpe-17-123.mpe.lv.,LV,"",9.3.6-P1-RedHat-9.3.6-20.P1.el5,,false,0.99,2015-10-29 12:15:53 +0100,2014-12-29 17:22:39 +0100
193.138.189.182,b182.csc.lv.,LV,"","",,false,1.0,2015-10-29 12:16:19 +0100,2014-12-29 17:26:47 +0100
159.148.47.195,"",LV,Riga,"",,false,1.0,2015-10-29 12:17:37 +0100,2014-12-29 17:39:34 +0100
80.232.179.66,"",LV,"","",,false,0.3,2015-10-29 12:28:14 +0100,2014-12-29 19:17:29 +0100
80.233.199.175,"",LV,"","",,false,0.77,2015-10-29 12:28:25 +0100,2014-12-29 19:19:03 +0100
80.232.250.13,"",LV,Riga,"",,false,1.0,2015-10-29 12:29:32 +0100,2014-12-29 19:28:28 +0100
213.180.100.189,"",LV,"",dnsmasq-2.62,,false,0.74,2015-10-29 12:41:50 +0100,2014-12-29 21:31:07 +0100
178.236.192.213,178-236-192-213.csc.lv.,LV,"","",,false,0.76,2015-10-29 12:51:53 +0100,2014-12-29 22:57:52 +0100
159.148.76.114,"",LV,Riga,"",,false,0.99,2015-10-29 12:52:05 +0100,2014-12-29 23:00:31 +0100
178.236.192.222,178-236-192-222.csc.lv.,LV,"","",,false,1.0,2015-10-29 12:54:16 +0100,2014-12-29 23:33:22 +0100
87.246.137.134,"",LV,"","",,false,0.91,2015-10-29 12:54:50 +0100,2014-12-29 23:48:42 +0100
195.244.135.97,"",LV,Riga,"",,false,1.0,2015-10-29 12:57:52 +0100,2014-12-30 01:00:28 +0100
77.240.244.81,77-240-244-81.csc.lv.,LV,Riga,"",,false,0.98,2015-10-29 12:58:52 +0100,2014-12-30 01:18:34 +0100
159.148.116.81,"",LV,Riga,"",,false,0.92,2015-10-29 12:59:29 +0100,2014-12-30 01:32:24 +0100
87.246.137.49,"",LV,"","",,false,1.0,2015-10-29 13:00:42 +0100,2014-12-30 01:54:24 +0100
212.142.125.177,balticom-142-125-177.balticom.lv.,LV,"","",,false,0.99,2015-10-29 13:01:13 +0100,2014-12-30 02:05:52 +0100
83.136.136.147,"",LV,"","",,false,0.83,2015-10-29 13:05:24 +0100,2014-12-30 10:11:28 +0100
83.241.37.12,mpe-37-12.mpe.lv.,LV,"","",,false,0.85,2015-10-29 13:10:35 +0100,2014-12-30 11:22:07 +0100
94.100.8.65,"",LV,"","",,false,0.98,2015-10-29 13:12:28 +0100,2014-12-30 11:38:54 +0100
78.28.231.254,"",LV,"","",,false,1.0,2015-10-29 13:18:14 +0100,2014-12-30 12:30:52 +0100
83.243.88.108,"",LV,Carnikava,"",,false,1.0,2015-10-29 13:18:23 +0100,2014-12-30 12:32:13 +0100
83.243.88.126,"",LV,Carnikava,"",,false,1.0,2015-10-29 13:18:54 +0100,2014-12-30 12:37:05 +0100
92.49.26.220,26-220.elektrons-k.lv.,LV,"","",,false,1.0,2015-10-29 13:22:53 +0100,2014-12-30 13:11:37 +0100
94.100.8.199,"",LV,"","",,true,1.0,2015-10-29 13:23:08 +0100,2014-12-30 13:14:08 +0100
178.236.192.225,178-236-192-225.csc.lv.,LV,"","",,false,1.0,2015-10-29 13:23:11 +0100,2014-12-30 13:14:35 +0100
62.84.10.70,"",LV,"","",,false,0.99,2015-10-29 13:24:46 +0100,2014-12-30 13:28:08 +0100
178.236.192.233,178-236-192-233.csc.lv.,LV,"","",,false,1.0,2015-10-29 13:25:13 +0100,2014-12-30 13:31:57 +0100
178.236.192.237,178-236-192-237.csc.lv.,LV,"","",,false,1.0,2015-10-29 13:25:27 +0100,2014-12-30 13:34:26 +0100
85.254.57.35,"",LV,"","",,false,0.98,2015-10-29 13:25:47 +0100,2014-12-30 13:36:44 +0100
178.236.192.234,178-236-192-234.csc.lv.,LV,"","",,false,1.0,2015-10-29 13:26:46 +0100,2014-12-30 13:44:15 +0100
178.236.192.243,178-236-192-243.csc.lv.,LV,"","",,false,1.0,2015-10-29 13:27:01 +0100,2014-12-30 13:46:09 +0100
84.237.213.118,"",LV,"","",,false,1.0,2015-10-29 13:28:44 +0100,2014-12-30 14:00:33 +0100
178.16.25.93,rev-178-16-25-93.deac.net.,LV,Centrs,Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-29 13:30:43 +0100,2014-12-30 14:14:01 +0100
136.169.30.113,home-136.169.30.113.mits.lv.,LV,"",dnsmasq-2.40,,true,0.79,2015-10-29 13:32:01 +0100,2014-12-30 14:24:07 +0100
178.236.192.226,178-236-192-226.csc.lv.,LV,"","",,false,1.0,2015-10-29 13:32:03 +0100,2014-12-30 14:24:22 +0100
84.38.139.189,"",LV,"","",,false,0.98,2015-10-29 13:33:02 +0100,2014-12-30 14:35:35 +0100
80.233.141.90,"",LV,"","",,false,0.53,2015-10-29 13:37:00 +0100,2014-12-30 15:16:28 +0100
217.199.126.2,ns.4nets.lv.,LV,"",9.9.4-P1,,false,1.0,2015-10-29 13:37:20 +0100,2014-12-30 15:20:06 +0100
80.232.223.210,"",LV,Riga,"",,false,0.98,2015-10-29 13:38:39 +0100,2014-12-30 15:31:55 +0100
83.241.17.137,mpe-17-137.mpe.lv.,LV,"",9.3.6-P1-RedHat-9.3.6-20.P1.el5,,false,1.0,2015-10-29 13:46:51 +0100,2014-12-30 16:44:41 +0100
85.254.5.230,"",LV,"","",,false,0.84,2015-10-29 13:47:22 +0100,2014-12-30 16:49:02 +0100
95.130.37.18,centrs.sportland.lv.,LV,"",dnsmasq-2.47,,false,0.99,2015-10-29 13:47:31 +0100,2014-12-30 16:50:04 +0100
95.130.37.86,origo.citysport.lv.,LV,"",dnsmasq-2.47,,true,0.99,2015-10-29 13:47:54 +0100,2014-12-30 16:53:24 +0100
87.110.206.5,mail3.tsr.lv.,LV,"",9.3.0,,false,0.99,2015-10-29 13:52:11 +0100,2014-12-30 17:48:25 +0100
159.148.22.132,"",LV,Riga,"",,false,0.99,2015-10-29 13:53:13 +0100,2014-12-30 18:01:32 +0100
159.148.175.189,"",LV,Riga,"",,false,0.99,2015-10-29 13:57:51 +0100,2014-12-30 19:01:09 +0100
81.198.65.195,"",LV,"","",,false,1.0,2015-10-29 13:57:59 +0100,2014-12-30 19:02:34 +0100
81.198.67.22,"",LV,"","",,false,0.99,2015-10-29 14:00:58 +0100,2014-12-30 19:37:21 +0100
84.245.216.160,customer-216.160.livas.lv.,LV,"","",,false,1.0,2015-10-29 14:01:09 +0100,2014-12-30 19:38:42 +0100
217.28.51.8,host08.sp.optron.lv.,LV,"","",,false,1.0,2015-10-29 14:04:50 +0100,2014-12-30 20:27:31 +0100
94.101.224.118,"",LV,Riga,"",,false,0.99,2015-10-29 14:06:43 +0100,2014-12-31 19:09:21 +0100
94.101.224.139,"",LV,Riga,"",,false,1.0,2015-10-29 14:07:35 +0100,2014-12-31 19:37:38 +0100
80.70.30.132,"",LV,"","",,false,0.99,2015-10-29 14:09:10 +0100,2014-12-31 20:24:34 +0100
80.233.225.73,"",LV,"",9.3.2-P2,,false,0.99,2015-10-29 14:11:18 +0100,2014-12-31 21:28:48 +0100
81.198.126.36,mail.tehnoinform.lv.,LV,"","",,false,0.99,2015-10-29 14:14:10 +0100,2014-12-31 22:37:34 +0100
109.73.109.193,balticom-73-109-193.balticom.lv.,LV,Riga,"",,false,0.99,2015-10-29 14:17:16 +0100,2015-01-01 00:16:38 +0100
84.245.225.71,datacenter.alfait.lv.,LV,"","",,false,0.99,2015-10-29 14:17:17 +0100,2015-01-01 00:19:18 +0100
85.15.220.211,"",LV,"","",,false,0.99,2015-10-29 14:20:59 +0100,2015-01-05 19:59:17 +0100
87.246.138.183,"",LV,"","",,false,0.91,2015-10-29 14:21:16 +0100,2015-01-05 20:09:19 +0100
80.70.30.193,"",LV,"","",,false,0.99,2015-10-29 14:21:32 +0100,2015-01-05 20:19:03 +0100
89.111.63.170,SMTP.5-55.ru.,LV,Centrs,"",,false,1.0,2015-10-29 14:29:59 +0100,2015-01-06 01:06:16 +0100
80.90.15.34,ip15-34.demvar.lv.,LV,"",dnsmasq-2.32,,false,1.0,2015-10-29 14:32:44 +0100,2015-01-06 02:42:12 +0100
195.13.222.179,"",LV,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2015-10-29 14:36:09 +0100,2015-01-06 04:25:19 +0100
93.177.235.97,rev-93-177-235-97.gammanet.lv.,LV,"","",,false,1.0,2015-10-29 14:37:14 +0100,2015-01-06 04:56:06 +0100
80.233.234.136,"",LV,"","",,false,0.99,2015-10-29 14:46:18 +0100,2015-01-06 09:29:42 +0100
78.28.238.238,"",LV,Cēsis,"",,false,0.99,2015-10-29 14:50:36 +0100,2015-01-06 11:27:17 +0100
195.244.128.42,"",LV,"","",,false,1.0,2015-10-29 14:50:38 +0100,2015-01-06 11:28:01 +0100
79.132.67.189,ip-79-132-67-189.ngn.lv.,LV,"","",,false,0.99,2015-10-29 14:52:35 +0100,2015-01-06 12:22:11 +0100
89.248.90.164,"",LV,"","",,false,0.98,2015-10-29 14:52:52 +0100,2015-01-06 12:31:05 +0100
80.233.146.1,"",LV,"","",,false,0.77,2015-10-29 14:54:52 +0100,2015-01-06 13:24:35 +0100
84.237.194.84,mail.vaeriga.lv.,LV,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.74,2015-10-29 14:55:07 +0100,2015-01-06 13:30:26 +0100
92.49.27.122,27-122.elektrons-k.lv.,LV,"","",,false,1.0,2015-10-29 14:56:19 +0100,2015-01-06 14:03:15 +0100
80.233.146.65,"",LV,"","",,false,0.99,2015-10-29 14:56:37 +0100,2015-01-06 14:12:19 +0100
80.233.236.9,"",LV,"","",,false,1.0,2015-10-29 14:57:55 +0100,2015-01-06 14:44:24 +0100
80.233.236.33,"",LV,"","",,false,0.99,2015-10-29 14:58:12 +0100,2015-01-06 14:53:05 +0100
80.233.235.225,"",LV,"","",,false,0.98,2015-10-29 14:59:41 +0100,2015-01-06 15:31:46 +0100
87.226.1.154,"",LV,"","",,false,0.95,2015-10-29 14:59:44 +0100,2015-01-06 15:33:04 +0100
91.190.52.212,"",LV,"",dnsmasq-2.40,,true,0.75,2015-10-29 15:01:02 +0100,2015-01-06 16:06:20 +0100
80.233.235.183,"",LV,"","",,false,0.99,2015-10-29 15:01:19 +0100,2015-01-06 16:13:08 +0100
80.233.236.1,"",LV,"","",,false,0.95,2015-10-29 15:01:21 +0100,2015-01-06 16:14:09 +0100
80.233.235.177,"",LV,"","",,false,0.86,2015-10-29 15:02:14 +0100,2015-01-06 16:33:30 +0100
91.203.69.170,static-91.203.69.170.nano.lv.,LV,"","",,false,0.94,2015-10-29 15:06:21 +0100,2015-01-06 18:20:03 +0100
81.198.66.174,"",LV,"","",,false,1.0,2015-10-29 15:07:25 +0100,2015-01-06 18:46:36 +0100
91.203.69.187,static-91.203.69.187.nano.lv.,LV,"","",,false,0.99,2015-10-29 15:07:30 +0100,2015-01-06 18:48:46 +0100
81.198.66.247,"",LV,"","",,false,1.0,2015-10-29 15:13:32 +0100,2015-01-06 21:23:35 +0100
80.90.19.254,ip19-254.starnet.lv.,LV,Rēzekne,"",,false,0.98,2015-10-29 15:22:24 +0100,2015-01-07 02:01:56 +0100
136.169.69.17,home-136.169.69.17.mits.lv.,LV,"","",,false,0.99,2015-10-29 15:26:43 +0100,2015-01-07 04:17:08 +0100
85.15.202.251,"",LV,"","",,false,1.0,2015-10-29 15:29:00 +0100,2015-01-07 05:24:21 +0100
46.183.221.117,ip-221-117.dataclub.biz.,LV,"","",,false,1.0,2015-10-29 15:30:08 +0100,2015-01-07 06:01:46 +0100
91.90.237.146,"",LV,"","",,false,1.0,2015-10-29 15:31:38 +0100,2015-01-07 06:55:47 +0100
94.100.11.34,mail.milleradarbnica.lv.,LV,"",9.8.2rc1-RedHat-9.8.2-0.30.rc1.el6,,false,1.0,2015-10-29 15:33:45 +0100,2015-01-07 08:09:00 +0100
