ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
41.143.254.140,"",MA,"","",,false,1.0,2015-10-29 11:32:11 +0100,2014-12-29 12:13:21 +0100
41.141.254.140,"",MA,"",dnsmasq-2.23,,false,0.97,2015-10-29 11:32:22 +0100,2014-12-29 12:15:31 +0100
41.214.132.14,"",MA,"","",,false,0.95,2015-10-29 11:32:55 +0100,2014-12-29 12:17:35 +0100
41.249.253.3,srv1-tcfes.ma.,MA,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.94,2015-10-29 11:32:34 +0100,2014-12-29 12:18:10 +0100
41.214.131.126,"",MA,"",no version,,true,0.99,2015-10-29 11:33:39 +0100,2014-12-29 12:30:34 +0100
41.87.142.51,"",MA,"","",,true,0.98,2015-10-29 11:38:20 +0100,2014-12-29 13:16:16 +0100
212.217.47.3,ll212-3-47-217-212.ll212.iam.net.ma.,MA,"","",,false,0.47,2015-10-29 11:39:08 +0100,2014-12-29 13:24:28 +0100
196.12.214.253,wana-253-214-12-196.wanamaroc.com.,MA,"",dnsmasq-2.66,,false,1.0,2015-10-29 11:51:07 +0100,2014-12-29 14:53:52 +0100
194.204.251.129,ll194-129-251-204-194.ll194.iam.net.ma.,MA,"",9.2.4,,false,1.0,2015-10-29 12:03:57 +0100,2014-12-29 16:07:00 +0100
194.204.199.173,mail.timar.ma.,MA,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.6,2015-10-29 12:13:32 +0100,2014-12-29 17:01:19 +0100
41.205.214.115,srv3.editinfo.ma.,MA,"",9.3.4-P1.1,,false,0.9,2015-10-29 12:46:55 +0100,2014-12-29 22:11:19 +0100
41.87.143.174,"",MA,"",no version,,true,0.98,2015-10-29 12:52:19 +0100,2014-12-29 23:03:15 +0100
41.87.143.22,"",MA,"",9.5.0-P2,,false,0.73,2015-10-29 12:52:40 +0100,2014-12-29 23:07:01 +0100
194.204.225.18,mailsrv.adi.ma.,MA,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.94,2015-10-29 12:56:39 +0100,2014-12-30 00:33:55 +0100
41.248.245.69,static41-69-245-248-245.adsl41-16.iam.net.ma.,MA,"","",,true,0.99,2015-10-29 12:57:34 +0100,2014-12-30 00:53:29 +0100
41.87.146.2,"",MA,"",no version,,true,0.92,2015-10-29 13:22:47 +0100,2014-12-30 13:10:27 +0100
41.250.251.59,static41-59-251-250-251.static41-16.iam.net.ma.,MA,"","",,true,0.99,2015-10-29 13:25:53 +0100,2014-12-30 13:37:35 +0100
81.192.160.133,ll81-133-160-192-81.ll81.iam.net.ma.,MA,Casablanca,"",,false,0.42,2015-10-29 13:27:00 +0100,2014-12-30 13:45:14 +0100
81.192.48.150,mail.elanonline.net.ma.,MA,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.95,2015-10-29 13:36:03 +0100,2014-12-30 15:09:01 +0100
81.192.48.165,static-165-48-192-81.adsl.iam.net.ma.,MA,"","",,false,0.98,2015-10-29 13:39:27 +0100,2014-12-30 15:38:45 +0100
196.217.243.74,srv1-3tech.ma.,MA,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.97,2015-10-29 13:41:54 +0100,2014-12-30 16:04:21 +0100
41.137.222.131,"",MA,"","",,false,0.99,2015-10-29 13:52:41 +0100,2014-12-30 17:54:26 +0100
41.214.135.19,"",MA,"",no version,,true,0.99,2015-10-29 13:59:16 +0100,2014-12-30 19:16:59 +0100
196.12.232.142,mail.morocco.xceedcc.com.,MA,Casablanca,"",,false,1.0,2015-10-29 14:04:17 +0100,2014-12-30 20:12:44 +0100
