ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
87.255.68.242,arx68-242.araxinfo.com.,MD,"",9.2.1,,false,0.69,2015-10-29 11:27:22 +0100,2013-04-23 03:27:58 +0200
77.89.228.26,static.77.89.228.26.tmg.md.,MD,Chişinău,"",,false,0.98,2015-10-29 11:28:49 +0100,2013-11-19 03:24:10 +0100
37.233.9.129,37-233-9-129.starnet.md.,MD,"","",,false,0.93,2015-10-29 11:30:44 +0100,2014-12-27 15:21:30 +0100
93.113.78.194,host-78-194.city.md.,MD,Chişinău,"",,false,1.0,2015-10-29 11:32:34 +0100,2014-12-29 12:18:19 +0100
195.22.243.2,static.195.22.243.2.mdl.net.,MD,Chişinău,"",,false,0.95,2015-10-29 11:36:06 +0100,2014-12-29 12:55:36 +0100
77.89.199.162,static.77.89.199.162.tmg.md.,MD,"","",,false,0.86,2015-10-29 11:37:10 +0100,2014-12-29 13:07:30 +0100
37.233.39.96,37-233-39-96.starnet.md.,MD,"","",,false,0.93,2015-10-29 11:37:50 +0100,2014-12-29 13:12:35 +0100
212.56.195.74,static-212.56.195.74.mldnet.com.,MD,"","",,false,0.85,2015-10-29 11:40:12 +0100,2014-12-29 13:33:31 +0100
84.247.45.123,static-host-84-247-45-123.scortel.md.,MD,Chişinău,"",,false,0.79,2015-10-29 11:40:32 +0100,2014-12-29 13:36:55 +0100
178.168.16.166,mail.neosan.md.,MD,"",9.6.1-P1-RedHat-9.6.1-11.P1.fc12,,true,0.34,2015-10-29 11:41:58 +0100,2014-12-29 13:49:58 +0100
109.185.177.182,host-static-109-185-177-182.moldtelecom.md.,MD,Chişinău,"",,false,0.35,2015-10-29 11:43:05 +0100,2014-12-29 13:59:58 +0100
37.233.5.126,37-233-5-126.starnet.md.,MD,"","",,false,0.99,2015-10-29 11:44:44 +0100,2014-12-29 14:14:16 +0100
77.89.200.182,static.77.89.200.182.tmg.md.,MD,"",dnsmasq-2.68,,true,0.55,2015-10-29 11:46:53 +0100,2014-12-29 14:27:22 +0100
77.89.197.126,static.77.89.197.126.tmg.md.,MD,"","",,false,0.3,2015-10-29 11:47:55 +0100,2014-12-29 14:33:53 +0100
212.28.76.21,pppoe-212.28.76.21.araxinfo.com.,MD,Chişinău,"",,false,0.73,2015-10-29 11:48:43 +0100,2014-12-29 14:40:14 +0100
77.89.196.242,static.77.89.196.242.tmg.md.,MD,"","",,false,0.92,2015-10-29 11:49:09 +0100,2014-12-29 14:42:54 +0100
188.212.115.137,"",MD,"","",,false,0.97,2015-10-29 11:53:11 +0100,2014-12-29 15:06:25 +0100
178.168.10.151,178-168-10-151.starnet.md.,MD,"","",,false,0.83,2015-10-29 11:56:38 +0100,2014-12-29 15:26:18 +0100
109.185.161.4,host-static-109-185-161-4.moldtelecom.md.,MD,Chişinău,"",,false,0.76,2015-10-29 11:57:52 +0100,2014-12-29 15:33:49 +0100
89.28.81.142,89-28-81-142.starnet.md.,MD,"","",,false,0.93,2015-10-29 11:58:30 +0100,2014-12-29 15:37:21 +0100
77.89.224.10,static.77.89.224.10.tmg.md.,MD,"","",,false,1.0,2015-10-29 12:00:10 +0100,2014-12-29 15:46:50 +0100
93.116.142.193,host-static-93-116-142-193.moldtelecom.md.,MD,Chişinău,EDINETGAZ.MD DNS v.1.0,,false,0.85,2015-10-29 12:01:50 +0100,2014-12-29 15:55:15 +0100
80.245.89.50,80.245.89.50.danisnet.md.,MD,"","",,false,1.0,2015-10-29 12:03:46 +0100,2014-12-29 16:05:55 +0100
195.22.238.26,static.195.22.238.26.mdl.net.,MD,Singera,"",,false,1.0,2015-10-29 12:03:54 +0100,2014-12-29 16:06:40 +0100
89.28.102.98,89-28-102-98.starnet.md.,MD,"","",,false,0.79,2015-10-29 12:05:10 +0100,2014-12-29 16:12:59 +0100
89.28.12.6,89-28-12-6.starnet.md.,MD,"","",,false,0.99,2015-10-29 12:06:29 +0100,2014-12-29 16:19:48 +0100
188.138.202.152,188-138-202-152.starnet.md.,MD,Chişinău,dnsmasq-2.49,,false,0.84,2015-10-29 12:08:12 +0100,2014-12-29 16:27:56 +0100
95.65.38.196,95-65-38-196.starnet.md.,MD,"","",,false,0.99,2015-10-29 12:15:33 +0100,2014-12-29 17:18:16 +0100
212.56.216.19,static-212.56.216.19.mldnet.com.,MD,"","",,false,1.0,2015-10-29 12:17:35 +0100,2014-12-29 17:38:51 +0100
92.39.60.207,92-39-60-207.medianet.md.,MD,Chişinău,"",,false,0.35,2015-10-29 12:18:03 +0100,2014-12-29 17:43:58 +0100
178.168.58.2,mail.tessa-service.com.,MD,Chişinău,"",,false,0.99,2015-10-29 12:18:08 +0100,2014-12-29 17:44:38 +0100
92.39.60.203,92-39-60-203.medianet.md.,MD,Chişinău,"",,false,0.42,2015-10-29 12:21:37 +0100,2014-12-29 18:21:47 +0100
92.39.60.220,92-39-60-220.medianet.md.,MD,Chişinău,"",,false,0.28,2015-10-29 12:23:55 +0100,2014-12-29 18:41:42 +0100
89.28.62.56,89-28-62-56.starnet.md.,MD,"","",,false,0.8,2015-10-29 12:27:53 +0100,2014-12-29 19:15:24 +0100
86.105.81.50,host-static-86-105-81-50.moldtelecom.md.,MD,Chişinău,"",,false,0.47,2015-10-29 12:35:47 +0100,2014-12-29 20:41:28 +0100
95.65.122.67,95-65-122-67.starnet.md.,MD,"","",,false,0.95,2015-10-29 12:37:06 +0100,2014-12-29 20:53:12 +0100
87.255.77.196,arx77-196.araxinfo.com.,MD,Chişinău,"",,false,1.0,2015-10-29 12:38:37 +0100,2014-12-29 21:07:14 +0100
89.32.225.22,89-32-225-22.sta.cts.md.,MD,Chişinău,"",,false,1.0,2015-10-29 12:42:08 +0100,2014-12-29 21:32:21 +0100
178.168.39.12,178-168-39-12.starnet.md.,MD,"","",,false,0.77,2015-10-29 12:44:58 +0100,2014-12-29 21:56:05 +0100
178.168.39.37,178-168-39-37.starnet.md.,MD,"","",,false,0.9,2015-10-29 12:45:25 +0100,2014-12-29 21:59:39 +0100
212.56.193.194,static-212.56.193.194.mldnet.com.,MD,"","",,false,1.0,2015-10-29 12:45:26 +0100,2014-12-29 21:59:52 +0100
77.89.232.186,static.77.89.232.186.tmg.md.,MD,Chişinău,dnsmasq-2.71,,false,1.0,2015-10-29 12:46:51 +0100,2014-12-29 22:11:45 +0100
89.28.109.102,89-28-109-102.starnet.md.,MD,"","",,false,0.9,2015-10-29 12:47:52 +0100,2014-12-29 22:19:05 +0100
77.89.232.86,static.77.89.232.86.tmg.md.,MD,Chişinău,"",,false,1.0,2015-10-29 12:48:42 +0100,2014-12-29 22:25:02 +0100
95.65.58.61,95-65-58-61.starnet.md.,MD,"","",,false,0.85,2015-10-29 12:49:31 +0100,2014-12-29 22:30:44 +0100
89.41.126.76,host-static-89-41-126-76.moldtelecom.md.,MD,Chişinău,"",,false,0.47,2015-10-29 12:50:27 +0100,2014-12-29 22:41:47 +0100
212.56.193.98,static-212.56.193.98.mldnet.com.,MD,"","",,false,1.0,2015-10-29 12:51:55 +0100,2014-12-29 22:58:36 +0100
93.116.204.234,host-static-93-116-204-234.moldtelecom.md.,MD,Chişinău,"",,false,0.5,2015-10-29 12:52:15 +0100,2014-12-29 23:02:19 +0100
178.168.48.152,178-168-48-152.starnet.md.,MD,"","",,false,1.0,2015-10-29 12:52:32 +0100,2014-12-29 23:05:21 +0100
178.168.48.133,178-168-48-133.starnet.md.,MD,"","",,false,0.83,2015-10-29 12:56:26 +0100,2014-12-30 00:29:55 +0100
77.89.237.138,static.77.89.237.138.tmg.md.,MD,Chişinău,"",,false,0.86,2015-10-29 12:57:09 +0100,2014-12-30 00:44:57 +0100
77.89.246.122,static.77.89.246.122.tmg.md.,MD,Chişinău,"",,false,1.0,2015-10-29 12:58:11 +0100,2014-12-30 01:05:26 +0100
77.89.236.178,static.77.89.236.178.tmg.md.,MD,Chişinău,"",,false,0.99,2015-10-29 12:58:21 +0100,2014-12-30 01:08:48 +0100
89.41.68.152,host-static-89-41-68-152.moldtelecom.md.,MD,Chişinău,dnsmasq-2.71,,false,1.0,2015-10-29 12:58:27 +0100,2014-12-30 01:11:22 +0100
195.22.243.134,static.195.22.243.134.mdl.net.243.22.195.in-addr.arpa.,MD,Chişinău,"",,false,1.0,2015-10-29 12:59:29 +0100,2014-12-30 01:32:24 +0100
195.22.239.194,static.195.22.239.194.mdl.net.,MD,"","",,false,1.0,2015-10-29 12:59:49 +0100,2014-12-30 01:39:59 +0100
89.33.30.1,"",MD,Drochia,"",,false,1.0,2015-10-29 13:02:02 +0100,2014-12-30 09:20:23 +0100
188.138.205.204,188-138-205-204.starnet.md.,MD,Chişinău,"",,false,0.98,2015-10-29 13:05:54 +0100,2014-12-30 10:19:12 +0100
95.65.52.69,95-65-52-69.starnet.md.,MD,"","",,false,1.0,2015-10-29 13:06:17 +0100,2014-12-30 10:24:44 +0100
95.65.116.114,95-65-116-114.starnet.md.,MD,"","",,false,0.78,2015-10-29 13:06:38 +0100,2014-12-30 10:30:03 +0100
