ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
41.204.105.78,static-105-78.blueline.mg.,MG,"","",,false,0.94,2015-10-23 00:25:50 +0200,2014-12-29 16:11:03 +0100
41.188.25.17,tgn.188.25.17.dts.mg.,MG,"","",,false,0.98,2015-10-23 01:52:06 +0200,2014-12-30 14:09:01 +0100
41.188.46.84,tgn.188.46.84.dts.mg.,MG,"","",,false,0.7,2015-10-23 01:58:49 +0200,2014-12-30 15:12:48 +0100
41.207.40.120,fttx-41.207.40.120.dts.mg.,MG,"","",,false,0.97,2015-10-23 02:24:27 +0200,2014-12-30 19:46:38 +0100
41.207.40.33,fttx-41.207.40.33.dts.mg.,MG,"","",,true,1.0,2015-10-23 02:25:44 +0200,2014-12-30 20:00:53 +0100
196.192.42.116,"",MG,Antananarivo,"",,false,0.96,2015-10-22 18:24:37 +0200,2015-01-06 11:08:40 +0100
197.149.11.134,madagascar.vms-services.mg.,MG,"","",,false,0.9,2015-10-22 18:50:18 +0200,2015-01-06 21:55:06 +0100
197.149.11.106,tgn.149.11.106.dts.mg.,MG,"","",,false,0.96,2015-10-22 18:52:54 +0200,2015-01-06 22:50:27 +0100
41.188.49.167,tgn.188.49.167.dts.mg.,MG,"","",,false,0.92,2015-10-22 19:02:35 +0200,2015-01-07 04:30:24 +0100
41.188.49.170,tgn.188.49.170.dts.mg.,MG,"","",,false,1.0,2015-10-22 19:05:21 +0200,2015-01-07 05:54:48 +0100
41.188.49.184,tgn.188.49.184.dts.mg.,MG,"","",,false,0.99,2015-10-22 19:06:26 +0200,2015-01-07 06:35:04 +0100
41.188.49.153,tgn.188.49.153.dts.mg.,MG,"","",,false,0.95,2015-10-22 19:08:45 +0200,2015-01-07 07:53:28 +0100
41.188.46.250,tgn.188.46.250.dts.mg.,MG,"",dnsmasq-2.72,,false,0.98,2015-10-22 19:29:04 +0200,2015-01-07 18:03:40 +0100
41.188.46.249,tgn.188.46.249.dts.mg.,MG,"","",,false,0.82,2015-10-22 19:30:51 +0200,2015-01-07 18:58:57 +0100
41.188.3.141,tgn.188.3.141.dts.mg.,MG,"","",,false,0.84,2015-10-22 20:50:22 +0200,2015-01-09 11:03:42 +0100
41.188.56.150,tgn.188.56.150.dts.mg.,MG,"","",,false,1.0,2015-10-22 20:52:48 +0200,2015-01-09 12:16:40 +0100
41.188.56.192,tgn.188.56.192.dts.mg.,MG,"","",,false,0.95,2015-10-22 20:53:05 +0200,2015-01-09 12:24:14 +0100
41.188.56.181,tgn.188.56.181.dts.mg.,MG,"","",,false,0.95,2015-10-22 20:54:56 +0200,2015-01-09 13:13:19 +0100
41.207.40.117,fttx-41.207.40.117.dts.mg.,MG,"","",,false,0.99,2015-10-22 21:01:20 +0200,2015-01-09 17:41:09 +0100
41.188.49.206,tgn.188.49.206.dts.mg.,MG,"","",,false,1.0,2015-10-22 21:06:28 +0200,2015-01-09 20:49:48 +0100
41.188.49.248,tgn.188.49.248.dts.mg.,MG,"","",,false,1.0,2015-10-22 21:09:49 +0200,2015-01-09 22:58:05 +0100
41.188.18.104,tgn.188.18.104.dts.mg.,MG,"","",,false,0.9,2015-10-22 21:43:56 +0200,2015-01-10 16:56:56 +0100
41.188.18.86,tgn.188.18.86.dts.mg.,MG,"","",,false,0.99,2015-10-22 21:46:51 +0200,2015-01-10 18:19:57 +0100
41.188.18.132,tgn.188.18.132.dts.mg.,MG,"","",,false,1.0,2015-10-22 21:47:02 +0200,2015-01-10 18:24:12 +0100
197.158.66.21,4G-business-16d-197-158-66.blueline.mg.,MG,"",dnsmasq-2.40,,true,0.91,2015-10-22 21:47:52 +0200,2015-01-10 18:43:33 +0100
41.188.18.185,tgn.188.18.185.dts.mg.,MG,"","",,false,0.65,2015-10-22 21:48:09 +0200,2015-01-10 18:51:43 +0100
