ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
77.28.97.164,"",MK,"","",,false,1.0,2015-10-29 11:48:19 +0100,2014-12-29 14:37:35 +0100
85.30.88.131,"",MK,Gostivar,"",,false,0.95,2015-10-29 11:52:15 +0100,2014-12-29 15:00:09 +0100
217.16.76.146,mx.exe.com.mk.,MK,"","",,false,0.94,2015-10-29 12:00:33 +0100,2014-12-29 15:48:49 +0100
212.110.75.1,"",MK,Skopje,"",,false,0.93,2015-10-29 12:02:23 +0100,2014-12-29 15:58:26 +0100
217.16.76.145,"",MK,"","",,false,0.97,2015-10-29 12:06:10 +0100,2014-12-29 16:18:11 +0100
146.255.82.74,dc2.delco.com.mk.,MK,"",Microsoft DNS 6.1.7601 (1DB14556),,false,0.98,2015-10-29 12:15:09 +0100,2014-12-29 17:13:09 +0100
89.205.24.86,89.205.24.86.robi.com.mk.,MK,Shtip,dnsmasq-2.40,,true,1.0,2015-10-29 12:23:01 +0100,2014-12-29 18:33:32 +0100
95.180.178.225,"",MK,"",dnsmasq-2.40,,true,0.99,2015-10-29 12:40:43 +0100,2014-12-29 21:23:24 +0100
79.125.191.173,"",MK,"","",,false,1.0,2015-10-29 12:47:32 +0100,2014-12-29 22:16:13 +0100
141.136.14.161,"",MK,"","",,false,1.0,2015-10-29 12:51:08 +0100,2014-12-29 22:51:11 +0100
89.205.106.220,89.205.106.220.robi.com.mk.,MK,Veles,dnsmasq-2.40,,true,0.98,2015-10-29 12:54:29 +0100,2014-12-29 23:39:24 +0100
92.55.71.170,"",MK,"","",,false,0.99,2015-10-29 13:02:49 +0100,2014-12-30 09:33:22 +0100
80.77.153.126,"",MK,"","",,false,0.83,2015-10-29 13:25:57 +0100,2014-12-30 13:37:59 +0100
146.255.65.120,"",MK,"",dnsmasq-2.40,,false,0.63,2015-10-29 13:26:33 +0100,2014-12-30 13:42:29 +0100
85.30.88.147,"",MK,Gostivar,"",,false,0.99,2015-10-29 13:30:16 +0100,2014-12-30 14:11:49 +0100
141.136.9.10,"",MK,"","",,false,0.99,2015-10-29 13:30:23 +0100,2014-12-30 14:12:18 +0100
185.2.191.66,ctel-185-2-191-66.blizoo.mk.,MK,Skopje,dnsmasq-2.40,,false,0.91,2015-10-29 13:42:38 +0100,2014-12-30 16:11:20 +0100
151.236.247.3,"",MK,Gevgelija,"",,false,0.92,2015-10-29 13:47:24 +0100,2014-12-30 16:49:21 +0100
31.11.69.249,ctel-31-11-69-249.cabletel.com.mk.,MK,Lisice,dnsmasq-2.40,,false,0.95,2015-10-29 13:49:33 +0100,2014-12-30 17:13:40 +0100
62.162.127.253,"",MK,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.95,2015-10-29 13:50:55 +0100,2014-12-30 17:31:07 +0100
92.55.85.200,"",MK,"",9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.4,,true,0.97,2015-10-29 13:52:40 +0100,2014-12-30 17:54:06 +0100
78.157.19.244,ctel-78-157-19-244.cabletel.com.mk.,MK,Skopje,dnsmasq-2.40,,false,0.98,2015-10-29 13:54:00 +0100,2014-12-30 18:11:23 +0100
141.136.15.242,"",MK,"","",,false,0.99,2015-10-29 13:56:56 +0100,2014-12-30 18:47:04 +0100
141.136.15.245,"",MK,"","",,false,0.99,2015-10-29 14:04:03 +0100,2014-12-30 20:10:36 +0100
77.28.97.249,"",MK,"","",,false,0.9,2015-10-29 14:06:22 +0100,2014-12-31 19:02:19 +0100
62.162.228.66,"",MK,"","",,false,0.97,2015-10-29 14:11:19 +0100,2014-12-31 21:29:06 +0100
77.28.103.74,"",MK,"","",,false,1.0,2015-10-29 14:20:56 +0100,2015-01-05 19:57:52 +0100
77.28.103.73,"",MK,"","",,false,1.0,2015-10-29 14:21:40 +0100,2015-01-05 20:23:59 +0100
85.30.87.12,"",MK,"","",,false,0.99,2015-10-29 14:36:03 +0100,2015-01-06 04:21:23 +0100
89.205.36.7,89.205.36.7.robi.com.mk.,MK,Shtip,"",,false,0.94,2015-10-29 14:36:08 +0100,2015-01-06 04:25:15 +0100
217.16.81.142,"",MK,"","",,false,1.0,2015-10-29 14:50:01 +0100,2015-01-06 11:10:43 +0100
217.16.81.136,"",MK,"","",,false,0.99,2015-10-29 14:51:01 +0100,2015-01-06 11:39:16 +0100
85.30.112.98,server2.usje.com.mk.,MK,"",Microsoft DNS 6.0.6002 (1772487D),,false,0.97,2015-10-29 14:56:38 +0100,2015-01-06 14:13:09 +0100
89.205.71.15,89.205.71.15.robi.com.mk.,MK,Shtip,dnsmasq-2.40,,true,0.99,2015-10-29 15:02:48 +0100,2015-01-06 16:48:00 +0100
89.205.65.200,89.205.65.200.robi.com.mk.,MK,Shtip,dnsmasq-2.40,,true,0.99,2015-10-29 15:03:47 +0100,2015-01-06 17:13:20 +0100
62.162.153.129,"",MK,"","",,false,1.0,2015-10-29 15:18:56 +0100,2015-01-06 23:16:09 +0100
194.149.145.132,designer.designer.,MK,"","",,false,0.52,2015-10-29 15:36:52 +0100,2015-01-07 09:50:48 +0100
95.128.184.3,dns1.telesmart.mk.,MK,"",9.9.5-9-Debian,,true,1.0,2015-10-29 15:39:40 +0100,2015-01-07 11:13:43 +0100
78.157.16.56,ns1.cabletel.com.mk.,MK,Skopje,unknown,,false,0.95,2015-10-29 15:51:05 +0100,2015-01-07 17:00:01 +0100
62.162.166.219,"",MK,"",dnsmasq-2.40,,true,0.99,2015-10-29 15:57:05 +0100,2015-01-07 20:04:09 +0100
95.128.185.150,"",MK,"","",,false,1.0,2015-10-29 07:24:16 +0100,2015-01-07 23:51:25 +0100
31.11.119.173,ctel-31-11-119-173.cabletel.com.mk.,MK,Skopje,"",,false,0.95,2015-10-29 07:27:09 +0100,2015-01-08 01:03:38 +0100
79.125.161.119,"",MK,"","",,false,0.95,2015-10-29 07:33:01 +0100,2015-01-08 03:37:25 +0100
79.125.161.17,"",MK,"","",,false,1.0,2015-10-29 07:33:14 +0100,2015-01-08 03:41:56 +0100
