ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
203.194.113.142,"",MN,Ulan Bator,"",,false,0.99,2015-10-29 11:40:50 +0100,2014-12-29 13:39:26 +0100
203.194.113.146,"",MN,Ulan Bator,"",,false,1.0,2015-10-29 11:43:21 +0100,2014-12-29 14:02:43 +0100
203.194.113.106,"",MN,Ulan Bator,"",,false,0.97,2015-10-29 11:50:23 +0100,2014-12-29 14:49:38 +0100
112.72.8.238,"",MN,Ulan Bator,"",,false,0.93,2015-10-29 11:53:13 +0100,2014-12-29 15:06:27 +0100
122.201.19.102,com18-102.mcscom.mn.,MN,Ulan Bator,Microsoft DNS 6.1.7601 (1DB1446A),,false,1.0,2015-10-29 11:58:25 +0100,2014-12-29 15:36:32 +0100
203.194.113.11,"",MN,Ulan Bator,"",,false,0.99,2015-10-29 13:56:40 +0100,2014-12-30 18:43:03 +0100
183.81.169.102,"",MN,Sühbaatar,9.8.1-P1,,false,1.0,2015-10-29 14:29:38 +0100,2015-01-06 00:53:54 +0100
203.194.112.2,"",MN,"",9.6.1-P1,,false,1.0,2015-10-29 14:52:11 +0100,2015-01-06 12:10:59 +0100
202.170.66.204,"",MN,Ovoot,[Secured],,false,0.99,2015-10-29 15:08:07 +0100,2015-01-06 19:03:56 +0100
202.9.47.25,ns1.telemax.mn.,MN,"",9.8.2rc1-RedHat-9.8.2-0.10.rc1.el6_3.6,,true,1.0,2015-10-29 15:21:54 +0100,2015-01-07 01:43:58 +0100
103.9.88.57,"",MN,"","",,false,0.4,2015-10-29 15:30:55 +0100,2015-01-07 06:27:49 +0100
202.70.42.102,"",MN,Ulan Bator,"",,false,0.84,2015-10-29 08:30:20 +0100,2015-01-09 10:03:28 +0100
103.9.88.51,"",MN,"","",,false,0.46,2015-10-29 08:33:54 +0100,2015-01-09 11:41:24 +0100
202.170.81.131,"",MN,Ulan Bator,"",,false,0.96,2015-10-29 08:58:12 +0100,2015-01-10 02:26:41 +0100
203.34.37.17,mail.smartv.mn.37.34.203.in-addr.arpa.,MN,Dalandzadgad,dnsmasq-2.45,,true,1.0,2015-10-29 09:35:08 +0100,2015-01-10 21:11:24 +0100
124.158.78.77,"",MN,"","",,false,0.99,2015-10-29 09:36:39 +0100,2015-01-10 21:50:36 +0100
203.34.37.13,mail.smarket.mn.,MN,Dalandzadgad,dnsmasq-2.45,,true,1.0,2015-10-29 09:37:12 +0100,2015-01-10 22:08:17 +0100
203.34.37.15,"",MN,Dalandzadgad,dnsmasq-2.45,,true,1.0,2015-10-29 09:38:24 +0100,2015-01-10 22:38:15 +0100
202.70.41.82,"",MN,"",dnsmasq-2.40,,false,0.96,2015-10-29 09:57:32 +0100,2015-01-11 11:19:06 +0100
